t,V_e,V_m
-2.5e-06,8.32,4.24
-2.498e-06,8.28,4.24
-2.4960000000000003e-06,8.36,4.24
-2.494e-06,8.4,4.28
-2.492e-06,8.36,4.24
-2.4900000000000003e-06,8.36,4.24
-2.488e-06,8.4,4.36
-2.486e-06,8.36,4.28
-2.4840000000000003e-06,8.32,4.28
-2.482e-06,8.28,4.28
-2.4800000000000004e-06,8.32,4.32
-2.4780000000000002e-06,8.32,4.24
-2.476e-06,8.32,4.28
-2.4740000000000004e-06,8.32,4.28
-2.4720000000000002e-06,8.28,4.28
-2.47e-06,8.36,4.28
-2.4680000000000003e-06,8.36,4.24
-2.466e-06,8.36,4.24
-2.464e-06,8.32,4.32
-2.4620000000000003e-06,8.32,4.32
-2.46e-06,8.36,4.36
-2.458e-06,8.36,4.28
-2.4560000000000003e-06,8.32,4.28
-2.454e-06,8.32,4.32
-2.4520000000000004e-06,8.32,4.32
-2.4500000000000003e-06,8.28,4.28
-2.448e-06,8.28,4.32
-2.4460000000000004e-06,8.32,4.32
-2.4440000000000002e-06,8.32,4.28
-2.442e-06,8.36,4.32
-2.4400000000000004e-06,8.28,4.28
-2.438e-06,8.32,4.28
-2.436e-06,8.36,4.24
-2.4340000000000003e-06,8.36,4.28
-2.432e-06,8.36,4.28
-2.43e-06,8.32,4.24
-2.4280000000000003e-06,8.36,4.32
-2.426e-06,8.36,4.32
-2.424e-06,8.32,4.32
-2.4220000000000003e-06,8.28,4.28
-2.42e-06,8.32,4.28
-2.4180000000000004e-06,8.28,4.24
-2.4160000000000002e-06,8.36,4.32
-2.414e-06,8.32,4.32
-2.4120000000000004e-06,8.36,4.24
-2.4100000000000002e-06,8.32,4.28
-2.408e-06,8.32,4.32
-2.4060000000000003e-06,8.36,4.32
-2.404e-06,8.36,4.28
-2.402e-06,8.36,4.28
-2.4000000000000003e-06,8.36,4.28
-2.398e-06,8.32,4.32
-2.396e-06,8.32,4.28
-2.3940000000000003e-06,8.36,4.28
-2.392e-06,8.36,4.32
-2.39e-06,8.4,4.28
-2.3880000000000003e-06,8.32,4.32
-2.386e-06,8.32,4.28
-2.3840000000000004e-06,8.32,4.28
-2.3820000000000002e-06,8.32,4.28
-2.38e-06,8.28,4.28
-2.3780000000000004e-06,8.28,4.28
-2.376e-06,8.36,4.24
-2.374e-06,8.36,4.28
