t,V_out,V_in
-0.0001048,0.12,3.04
-0.0001047,0.08,3.04
-0.00010460000000000001,0.08,3.04
-0.0001045,0.08,3.04
-0.0001044,0.12,2.96
-0.0001043,0.04,3.04
-0.00010420000000000001,0.08,3.12
-0.00010410000000000001,0.04,3.04
-0.00010400000000000001,0.08,3.04
-0.0001039,0.08,3.04
-0.0001038,0.04,3.04
-0.0001037,0.08,2.96
-0.0001036,0.04,0.08
-0.00010350000000000001,0.04,0.08
-0.0001034,0.08,0.16
-0.0001033,0.08,0.08
-0.0001032,0.04,0.08
-0.0001031,0.08,0.16
-0.00010300000000000001,0.12,0.08
-0.00010290000000000001,0.08,0.0
-0.0001028,0.08,0.08
-0.0001027,0.16,0.08
-0.0001026,0.2,0.08
-0.0001025,0.24,0.08
-0.0001024,0.32,0.0
-0.0001023,0.44,0.08
-0.0001022,0.52,0.08
-0.0001021,0.56,0.08
-0.000102,0.64,0.0
-0.00010190000000000001,0.68,0.08
-0.00010180000000000001,0.72,0.0
-0.0001017,0.84,0.08
-0.0001016,0.88,0.08
-0.0001015,0.92,0.08
-0.0001014,1.0,0.08
-0.0001013,0.96,0.08
-0.00010120000000000001,1.04,0.0
-0.0001011,1.0,0.08
-0.000101,1.08,0.08
-0.0001009,1.04,0.08
-0.00010080000000000001,1.08,0.08
-0.00010070000000000001,1.08,0.0
-0.0001006,1.08,0.08
-0.0001005,1.08,0.08
-0.0001004,1.08,0.0
-0.0001003,1.08,0.16
-0.0001002,1.08,0.0
-0.00010010000000000001,1.04,0.08
-0.0001,1.12,0.08
-9.99e-05,1.04,0.08
-9.98e-05,1.12,0.08
-9.970000000000001e-05,1.04,0.08
-9.960000000000001e-05,1.04,0.0
-9.95e-05,1.08,0.08
-9.94e-05,1.08,0.08
-9.93e-05,1.0,0.08
-9.92e-05,1.08,0.08
-9.91e-05,1.08,0.0
-9.900000000000001e-05,1.12,0.08
-9.89e-05,1.08,0.08
-9.88e-05,1.12,0.08
-9.87e-05,1.08,0.0
-9.860000000000001e-05,1.08,0.08
-9.850000000000001e-05,1.04,-0.08
-9.84e-05,1.12,0.0
-9.83e-05,1.08,0.08
-9.82e-05,1.12,0.08
-9.81e-05,1.08,0.08
-9.8e-05,1.08,0.0
-9.790000000000001e-05,1.04,0.08
-9.78e-05,1.08,-0.08
-9.77e-05,1.08,0.08
-9.76e-05,1.08,0.08
-9.750000000000001e-05,1.12,0.0
-9.740000000000001e-05,1.08,-0.08
-9.730000000000001e-05,1.12,0.0
-9.72e-05,1.08,0.0
-9.71e-05,1.04,0.0
-9.7e-05,1.04,0.0
-9.69e-05,1.04,0.08
-9.680000000000001e-05,1.08,0.0
-9.67e-05,1.04,0.08
-9.66e-05,1.08,0.08
-9.65e-05,1.12,-0.08
-9.640000000000001e-05,1.12,0.0
-9.630000000000001e-05,1.08,0.0
-9.620000000000001e-05,1.12,0.0
-9.61e-05,1.08,0.08
-9.6e-05,1.08,0.08
-9.59e-05,1.08,0.0
-9.58e-05,1.12,0.08
-9.570000000000001e-05,1.12,0.08
-9.56e-05,1.08,0.08
-9.55e-05,1.08,0.08
-9.54e-05,1.12,0.08
-9.53e-05,1.08,0.0
-9.520000000000001e-05,1.08,0.08
-9.510000000000001e-05,1.08,0.08
-9.5e-05,1.08,0.0
-9.49e-05,1.12,0.08
-9.48e-05,1.08,0.08
-9.47e-05,1.08,0.08
-9.46e-05,1.12,0.08
-9.45e-05,1.04,0.0
-9.44e-05,1.08,0.08
-9.43e-05,1.08,0.08
-9.420000000000001e-05,1.08,0.08
-9.410000000000001e-05,1.08,0.0
-9.400000000000001e-05,1.08,0.0
-9.39e-05,1.12,0.0
-9.38e-05,1.08,0.0
-9.37e-05,1.08,-0.08
-9.36e-05,1.08,0.08
-9.35e-05,1.08,0.08
-9.340000000000001e-05,1.08,0.0
-9.33e-05,1.04,0.16
-9.32e-05,1.08,0.0
-9.310000000000001e-05,1.12,0.0
-9.300000000000001e-05,1.12,0.0
-9.290000000000001e-05,1.08,0.08
-9.28e-05,1.08,0.0
-9.27e-05,1.08,0.0
-9.26e-05,1.08,0.08
-9.25e-05,1.08,0.08
-9.24e-05,1.08,0.0
-9.230000000000001e-05,1.12,0.0
-9.22e-05,1.08,0.0
-9.21e-05,1.08,0.08
-9.200000000000001e-05,1.08,0.08
-9.190000000000001e-05,1.04,0.08
-9.180000000000001e-05,1.08,0.0
-9.17e-05,1.12,0.08
-9.16e-05,1.12,0.0
-9.15e-05,1.12,0.0
-9.14e-05,1.08,0.0
-9.13e-05,1.08,0.08
-9.12e-05,1.08,0.08
-9.11e-05,1.12,0.0
-9.1e-05,1.08,0.0
-9.090000000000001e-05,1.12,0.0
-9.080000000000001e-05,1.08,0.0
-9.070000000000001e-05,1.12,0.0
-9.06e-05,1.12,0.08
-9.05e-05,1.08,0.0
-9.04e-05,1.08,0.08
-9.03e-05,1.08,0.08
-9.02e-05,1.08,0.0
-9.01e-05,1.08,0.08
-9e-05,1.08,0.08
-8.99e-05,1.08,0.0
-8.98e-05,1.04,0.08
-8.970000000000001e-05,1.04,0.0
-8.960000000000001e-05,1.04,0.08
-8.950000000000001e-05,1.08,0.0
-8.94e-05,1.08,0.08
-8.93e-05,1.08,0.08
-8.92e-05,1.08,0.08
-8.91e-05,1.08,0.0
-8.9e-05,1.08,0.0
-8.89e-05,1.08,0.08
-8.88e-05,1.04,0.08
-8.87e-05,1.04,0.0
-8.860000000000001e-05,1.08,0.0
-8.850000000000001e-05,1.08,0.16
-8.840000000000001e-05,1.08,0.0
-8.83e-05,1.08,-0.08
-8.82e-05,1.04,0.0
-8.81e-05,1.12,0.08
-8.8e-05,1.12,0.0
-8.79e-05,1.04,0.0
-8.78e-05,1.08,0.08
-8.77e-05,1.08,0.16
-8.76e-05,1.08,0.08
-8.750000000000001e-05,1.12,0.08
-8.740000000000001e-05,1.12,0.0
-8.730000000000001e-05,1.08,0.0
-8.72e-05,1.08,0.0
-8.71e-05,1.04,0.0
-8.7e-05,1.12,0.0
-8.69e-05,1.08,0.08
-8.68e-05,1.08,0.08
-8.67e-05,1.08,0.0
-8.66e-05,1.12,0.0
-8.65e-05,1.12,0.08
-8.640000000000001e-05,1.12,0.0
-8.630000000000001e-05,1.08,0.0
-8.620000000000001e-05,1.12,0.08
-8.61e-05,1.04,0.08
-8.6e-05,1.12,0.0
-8.59e-05,1.08,0.08
-8.58e-05,1.12,0.0
-8.57e-05,1.08,0.0
