w1,w2,w,errw,dn11,dn12,dn1,err1,dn21,dn22,dn2,err2
330.05,330.06,330.055,0.005,38.5,38.4,38.45,0.05,90,89.8,89.9,0.1
109.8,110,109.9,0.1,0,0,0,0,90,89.8,89.9,0.1
549.4,550.2,549.8,0.4,27.5,28.3,27.9,0.4,59,59.4,59.2,0.2
770.07,769.08,769.575,0.495,23,23.5,23.25,0.25,45.5,44,44.75,0.75
989.6,990,989.8,0.2,20.5,21,20.75,0.25,38.2,38.5,38.35,0.15
1212,1210,1211,1,33.5,34,33.75,0.25,47.6,48.5,48.05,0.45
1431,1428,1429.5,1.5,41.5,42,41.75,0.25,53.1,54,53.55,0.45
1649,1653,1651,2,48.1,48.6,48.35,0.25,58.5,58.9,58.7,0.2
