f1,f2,f,ferr,d,errd
14.497,14.502,14.4995,0.0025,203.9,0.1
29.101,29.098,29.0995,0.0015,198.3,0.1
43.602,43.599,43.6005,0.0015,195.6,0.1
58.099,58.104,58.1015,0.0025,194.6,0.1
72.604,72.599,72.6015,0.0025,195.3,0.1
87.103,87.099,87.101,0.002,195.4,0.1
