f1,f2,f,errf,d,errd
35.503,35.499,35.501,0.002,204,0.1
71.997,72.004,72.0005,0.0035,204,0.1
106.505,106.5,106.5025,0.0025,204,0.1
142.003,142,142.0015,0.0015,202,0.1
177.505,177.501,177.503,0.002,201.4,0.1
213.007,213.001,213.004,0.003,204.4,0.1
