f1,f2,f,ferr,d,errd
17.503,17.498,17.5005,0.0025,203.9,0.1
36.001,35.998,35.9995,0.0015,199.5,0.1
52.502,52.499,52.5005,0.0015,196.7,0.1
70.003,69.999,70.001,0.002,195.5,0.1
87.499,87.502,87.5005,0.0015,196.5,0.1
105.004,104.998,105.001,0.003,196.2,0.1
