f1,f2,f,ferr,d,errd
18.502,18.498,18.5,0.002,204,0.1
37.002,37.999,37.5005,0.4985,204,0.1
55.502,55.498,55.5,0.002,204,0.1
74.002,74.998,74.5,0.498,203,0.1
92.502,92.498,92.5,0.002,203.6,0.1
111.003,111,111.0015,0.0015,199,0.1
