date/time: ,26/10/2022,05:17 p.m.
Run 1

time	(N)
1,620000	2,248894E+0
1,626667	2,335044E+0
1,633333	2,400519E+0
1,640000	2,434979E+0
1,646667	2,541806E+0
1,653333	2,627956E+0
1,660000	2,738229E+0
1,666667	2,869177E+0
1,673333	2,944990E+0
1,680000	3,051816E+0
1,686667	3,155197E+0
1,693333	3,255132E+0
1,700000	3,310268E+0
1,706667	3,382634E+0
1,713333	3,451555E+0
1,720000	3,510137E+0
1,726667	3,575611E+0
1,733333	3,630748E+0
1,740000	3,682438E+0
1,746667	3,751358E+0
1,753333	3,834063E+0
1,760000	3,896091E+0
1,766667	3,954673E+0
1,773333	4,006364E+0
1,780000	4,040824E+0
1,786667	4,051162E+0
1,793333	4,064946E+0
1,800000	4,075284E+0
1,806667	4,082176E+0
1,813333	4,064946E+0
1,820000	4,040824E+0
1,826667	4,009810E+0
1,833333	4,006364E+0
1,840000	3,996026E+0
1,846667	3,992580E+0
1,853333	3,954673E+0
1,860000	3,954673E+0
1,866667	3,906429E+0
1,873333	3,823725E+0
1,880000	3,782372E+0
1,886667	3,716898E+0
1,893333	3,634194E+0
1,900000	3,554935E+0
1,906667	3,458447E+0
1,913333	3,372296E+0
1,920000	3,282700E+0
1,926667	3,196549E+0
1,933333	3,158643E+0
1,940000	3,069046E+0
1,946667	2,996680E+0
1,953333	2,900192E+0
1,960000	2,841609E+0
1,966667	2,741675E+0
1,973333	2,638294E+0
1,980000	2,565928E+0
1,986667	2,445317E+0
1,993333	2,345383E+0
2,000000	2,252340E+0
2,006667	2,166190E+0
2,013333	2,090377E+0
2,020000	2,042133E+0
2,026667	1,980105E+0
2,033333	1,938752E+0
2,040000	1,904292E+0
2,046667	1,866386E+0
2,053333	1,807804E+0
2,060000	1,769897E+0
2,066667	1,718207E+0
2,073333	1,683747E+0
2,080000	1,635503E+0
2,086667	1,590704E+0
2,093333	1,573474E+0
2,100000	1,566582E+0
2,106667	1,545906E+0
2,113333	1,594150E+0
2,120000	1,611380E+0
2,126667	1,656179E+0
2,133333	1,707869E+0
2,140000	1,738883E+0
2,146667	1,790573E+0
2,153333	1,794019E+0
2,160000	1,845710E+0
2,166667	1,883616E+0
2,173333	1,928414E+0
2,180000	1,959428E+0
2,186667	2,049025E+0
2,193333	2,100715E+0
2,200000	2,166190E+0
2,206667	2,276462E+0
2,213333	2,366059E+0
2,220000	2,483223E+0
2,226667	2,579712E+0
2,233333	2,672754E+0
2,240000	2,755459E+0
2,246667	2,841609E+0
2,253333	2,903638E+0
2,260000	2,986342E+0
2,266667	3,062154E+0
2,273333	3,103507E+0
2,280000	3,199995E+0
2,286667	3,293038E+0
2,293333	3,365404E+0
2,300000	3,475677E+0
2,306667	3,575611E+0
2,313333	3,641086E+0
2,320000	3,734128E+0
2,326667	3,803049E+0
2,333333	3,834063E+0
2,340000	3,889199E+0
2,346667	3,927105E+0
2,353333	3,927105E+0
2,360000	3,958119E+0
2,366667	3,982241E+0
2,373333	3,999472E+0
2,380000	4,040824E+0
2,386667	4,027040E+0
2,393333	4,075284E+0
2,400000	4,089068E+0
2,406667	4,102852E+0
2,413333	4,099406E+0
2,420000	4,095960E+0
2,426667	4,030486E+0
2,433333	3,989134E+0
2,440000	3,930551E+0
2,446667	3,875415E+0
2,453333	3,816833E+0
2,460000	3,744466E+0
2,466667	3,675546E+0
2,473333	3,634194E+0
2,480000	3,565273E+0
2,486667	3,517029E+0
2,493333	3,448109E+0
2,500000	3,403310E+0
2,506667	3,310268E+0
2,513333	3,234455E+0
2,520000	3,124183E+0
2,526667	3,044924E+0
2,533333	2,910530E+0
2,540000	2,831271E+0
2,546667	2,727891E+0
2,553333	2,624510E+0
2,560000	2,548698E+0
2,566667	2,483223E+0
2,573333	2,383289E+0
2,580000	2,314368E+0
2,586667	2,269570E+0
2,593333	2,197204E+0
2,600000	2,135175E+0
2,606667	2,086931E+0
2,613333	1,983551E+0
2,620000	1,918076E+0
2,626667	1,842264E+0
2,633333	1,773343E+0
2,640000	1,707869E+0
2,646667	1,666517E+0
2,653333	1,642395E+0
2,660000	1,628611E+0
2,666667	1,614826E+0
2,673333	1,611380E+0
2,680000	1,621719E+0
2,686667	1,649287E+0
2,693333	1,669963E+0
2,700000	1,666517E+0
2,706667	1,649287E+0
2,713333	1,652733E+0
