t,V_out,V_in
-0.0025,-4.2,0.5
-0.0024980000000000002,-4.0,0.5
-0.002496,-4.0,0.48
-0.002494,-4.0,0.48
-0.002492,-4.0,0.48
-0.00249,-4.0,0.48
-0.002488,-4.0,0.48
-0.002486,-4.0,0.48
-0.002484,-4.0,0.48
-0.0024820000000000003,-4.0,0.48
-0.00248,-4.0,0.48
-0.002478,-3.8000000000000003,0.48
-0.002476,-4.0,0.46
-0.002474,-4.0,0.46
-0.0024720000000000002,-4.0,0.46
-0.00247,-3.8000000000000003,0.46
-0.002468,-3.8000000000000003,0.46
-0.002466,-3.8000000000000003,0.46
-0.002464,-3.8000000000000003,0.44
-0.002462,-3.8000000000000003,0.44
-0.00246,-3.8000000000000003,0.46
-0.002458,-3.8000000000000003,0.46
-0.002456,-3.8000000000000003,0.46
-0.002454,-3.8000000000000003,0.44
-0.002452,-3.6,0.44
-0.00245,-3.6,0.44
-0.002448,-3.6,0.44
-0.0024460000000000003,-3.6,0.42
-0.002444,-3.6,0.42
-0.002442,-3.6,0.42
-0.00244,-3.4000000000000004,0.42
-0.002438,-3.6,0.42
-0.0024360000000000002,-3.4000000000000004,0.42
-0.002434,-3.4000000000000004,0.42
-0.002432,-3.4000000000000004,0.4
-0.00243,-3.4000000000000004,0.4
-0.002428,-3.4000000000000004,0.42
-0.002426,-3.4000000000000004,0.4
-0.002424,-3.2,0.4
-0.002422,-3.4000000000000004,0.38
-0.0024200000000000003,-3.2,0.4
-0.002418,-3.2,0.38
-0.002416,-3.2,0.38
-0.002414,-3.2,0.4
-0.002412,-3.2,0.38
-0.0024100000000000002,-3.0,0.4
-0.002408,-3.2,0.36
-0.002406,-3.0,0.36
-0.002404,-3.0,0.36
-0.002402,-3.2,0.36
-0.0024000000000000002,-3.0,0.34
-0.002398,-3.0,0.38
-0.002396,-3.0,0.36
-0.002394,-2.8000000000000003,0.36
-0.002392,-2.8000000000000003,0.32
-0.00239,-2.8000000000000003,0.34
-0.002388,-2.8000000000000003,0.34
-0.002386,-2.8000000000000003,0.34
