,t,V1,V2,V3
0,1.5166051387786865,-8.6749e-05,-0.000189251,0.30784491
1,3.0390985012054443,-8.4066e-05,-0.000192979,0.35070851
2,4.557652711868286,-8.1844e-05,-0.000195135,0.3705409
3,6.078521966934204,-8.0283e-05,-0.000196633,0.3799312
4,7.592005014419556,-7.9654e-05,-0.000197669,0.38447851
5,9.11409306526184,-7.9277e-05,-0.000198486,0.38674915
6,10.627304315567017,-7.8753e-05,-0.000199386,0.38793562
7,12.15286374092102,-7.87e-05,-0.000200025,0.38859692
8,13.67036509513855,-7.8868e-05,-0.000200873,0.3889914
9,15.188642024993896,-7.8292e-05,-0.000201428,0.38925484
10,16.704211235046387,-7.8197e-05,-0.000202129,0.38944276
11,18.221126556396484,-7.8418e-05,-0.000203061,0.38959339
12,19.735016345977783,-7.8187e-05,-0.000204014,0.3897162
13,21.26376509666443,-7.8533e-05,-0.000204307,0.38982047
14,22.780232906341553,-7.804e-05,-0.000205186,0.38991235
15,24.294162034988403,-7.8072e-05,-0.000205616,0.39000224
16,25.816112756729126,-7.8533e-05,-0.000206307,0.39008027
17,27.33396553993225,-7.7894e-05,-0.000207375,0.39015027
18,28.849703073501587,-7.7862e-05,-0.000207814,0.390216
19,30.366780757904053,-7.7998e-05,-0.000208798,0.39027704
20,31.885226249694824,-7.7537e-05,-0.000208997,0.39033568
21,33.40744948387146,-7.7998e-05,-0.000209856,0.39039464
22,34.92490363121033,-7.804e-05,-0.000210327,0.39045339
23,36.4401912689209,-7.7548e-05,-0.000210955,0.39050714
24,37.962358713150024,-7.7915e-05,-0.000211856,0.39055829
25,39.47691059112549,-7.7778e-05,-0.00021239,0.3906085
26,40.99775791168213,-7.7967e-05,-0.000213018,0.39065246
27,42.51564049720764,-7.782e-05,-0.000213908,0.39069371
28,44.03142499923706,-7.7904e-05,-0.000214159,0.3907386
29,45.55498194694519,-7.7401e-05,-0.000215028,0.39078392
30,47.07381343841553,-7.8156e-05,-0.000215384,0.39082715
31,48.596004009246826,-7.7883e-05,-0.000216075,0.39086652
32,50.11049938201904,-7.7684e-05,-0.000216735,0.39091277
33,51.62723183631897,-7.7946e-05,-0.000217122,0.39095538
34,53.146599531173706,-7.7873e-05,-0.000217792,0.39100048
35,54.664642333984375,-7.8187e-05,-0.000218284,0.39104329
36,56.185402631759644,-7.759e-05,-0.000218745,0.3910859
37,57.70082068443298,-7.7778e-05,-0.000219561,0.39112569
38,59.22241139411926,-7.7736e-05,-0.000219938,0.39116819
39,60.734312534332275,-7.8218e-05,-0.000220556,0.39120621
40,62.25802803039551,-7.8365e-05,-0.000220985,0.39123975
41,63.77416753768921,-7.8019e-05,-0.000221603,0.39127819
42,65.29431581497192,-7.781e-05,-0.000222168,0.39131163
43,66.8166241645813,-7.8082e-05,-0.000222545,0.39134767
44,68.3335473537445,-7.7977e-05,-0.000222975,0.39138111
