obs_wl_air(nm),unc_obs_wl,intens
470.43949,0.00004,15000
470.88594,0.0002,12000
471.0065,0.0002,10000
471.04881,0.0002,300
471.20633,0.0002,15000
471.21406,0.0002,150
471.21406,0.0002,150
471.28,0.002,100
471.43397,0.0002,700
471.51248,0.0002,300
471.5258,0.0002,300
471.5344,0.0001,15000
471.76085,0.0002,700
472.15337,0.0002,700
472.215,0.002,50
472.2714,0.002,150
472.381,0.002,700
472.381,0.002,700
472.4162,0.002,50
472.5145,0.0001,700
474.95754,0.00004,3000
475.06826,0.0002,300
475.1802,0.002,300
475.2732,0.00004,5000
475.3123,0.002,10
475.444,0.002,1000
475.8728,0.0001,1500
478.0338,0.0001,3000
478.0884,0.002,300
478.1239,0.002,20
478.4022,0.002,20
478.89258,0.0001,10000
478.95982,0.0002,1000
479.02195,0.0002,5000
479.0728,0.002,300
480.0111,0.0001,150
480.1076,0.002,20
480.2363,0.002,100
480.3225,0.002,10
480.95,0.002,100
481.0064,0.00004,1500
481.06392,0.0002,1000
481.4338,0.002,500
481.69,0.002,10
481.76386,0.00004,3000
481.87847,0.0002,1500
481.9937,0.002,700
482.19218,0.0002,3000
482.31725,0.0002,1000
482.337,0.002,500
482.5529,0.002,500
482.7338,0.0001,10000
482.7587,0.0001,3000
482.9288,0.002,50
483.73139,0.00004,5000
484.2566,0.002,100
484.2941,0.002,500
484.5145,0.002,150
484.5767,0.002,50
484.953,0.002,300
485.1501,0.002,600
485.2655,0.0001,1000
485.9604,0.002,150
486.3081,0.0002,1000
486.43729,0.0002,300
486.55065,0.0002,1000
486.6476,0.0001,800
486.70189,0.0002,700
486.82766,0.0002,700
488.3403,0.002,150
488.4917,0.00004,10000
488.50971,0.0002,1000
488.8365,0.002,50
489.209,0.0001,5000
489.2228,0.002,100
489.7924,0.002,700
489.9013,0.002,500
492.8235,0.0001,700
493.0944,0.002,500
493.9041,0.0001,1000
494.4987,0.0001,1000
495.53905,0.0002,1500
495.70335,0.00004,10000
495.7122,0.0001,1500
497.35555,0.0002,1000
497.476,0.002,500
497.5961,0.002,100
