f1,f2,f,ferr,d,derr
30.001,29.998,29.9995,0.0015,204,0.1
60.002,59.999,60.0005,0.0015,204,0.1
90.004,89.999,90.0015,0.0025,204,0.1
120.004,119.999,120.0015,0.0025,202.5,0.1
150.007,150,150.0035,0.0035,201.7,0.1
180.005,180.001,180.003,0.002,201.9,0.1
