f1,f2,f,ferr,d,derr
23.998,24.003,24.0005,0.0025,196,0.1
48.002,47.999,48.0005,0.0015,197.5,0.1
72.002,71.999,72.0005,0.0015,199.1,0.1
96.007,95.997,96.002,0.005,197.8,0.1
120.004,120,120.002,0.002,197.5,0.1
143.998,144.003,144.0005,0.0025,197.3,0.1
