Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.05
Label,,
TIME,CH1,CH2
-2.61040e-04,-9.85313,0.00258594
-2.60960e-04,-9.8,0.00280469
-2.60880e-04,-9.8,0.00219531
-2.60800e-04,-9.82188,0.00264063
-2.60720e-04,-9.8,0.0025625
-2.60640e-04,-9.80313,0.00210938
-2.60560e-04,-9.8,0.00253906
-2.60480e-04,-9.80625,0.00251563
-2.60400e-04,-9.78906,0.0025625
-2.60320e-04,-9.8,0.00207031
-2.60240e-04,-9.8,0.00241406
-2.60160e-04,-9.83906,0.00266406
-2.60080e-04,-9.8,0.00224219
-2.60000e-04,-9.80156,0.00272656
-2.59920e-04,-9.80859,0.00264844
-2.59840e-04,-9.80313,0.00230469
-2.59760e-04,-9.82188,0.00202344
-2.59680e-04,-9.8,0.00282813
-2.59600e-04,-9.82109,0.00223438
-2.59520e-04,-9.8375,0.00214844
-2.59440e-04,-9.8,0.00269531
-2.59360e-04,-9.8,0.00233594
-2.59280e-04,-9.8125,0.00273438
-2.59200e-04,-9.85,0.00225781
-2.59120e-04,-9.81875,0.00226563
-2.59040e-04,-9.82422,0.00279688
-2.58960e-04,-9.8,0.00214063
-2.58880e-04,-9.80078,0.00202344
-2.58800e-04,-9.79609,0.00240625
-2.58720e-04,-9.80469,0.00230469
-2.58640e-04,-9.8,0.00228125
-2.58560e-04,-9.80313,0.00203906
-2.58480e-04,-9.81641,0.00205469
-2.58400e-04,-9.81563,0.0026875
-2.58320e-04,-9.8,0.00208594
-2.58240e-04,-9.80703,0.00205469
-2.58160e-04,-9.8,0.00216406
-2.58080e-04,-9.80313,0.00260938
-2.58000e-04,-9.8,0.00292188
-2.57920e-04,-9.8,0.0031875
-2.57840e-04,-9.8,0.00240625
-2.57760e-04,-9.80625,0.00204688
-2.57680e-04,-9.80859,0.00296875
-2.57600e-04,-9.81328,0.00202344
-2.57520e-04,-9.80469,0.00235156
-2.57440e-04,-9.83672,0.00292188
-2.57360e-04,-9.8,0.00232031
-2.57280e-04,-9.8,0.00202344
-2.57200e-04,-9.80078,0.00224219
-2.57120e-04,-9.8,0.00215625
-2.57040e-04,-9.8,0.0025
-2.56960e-04,-9.8,0.00223438
-2.56880e-04,-9.8,0.00210938
-2.56800e-04,-9.8,0.002375
-2.56720e-04,-9.8,0.00292188
-2.56640e-04,-9.8,0.00230469
-2.56560e-04,-9.8,0.00214063
-2.56480e-04,-9.8,0.00253906
-2.56400e-04,-9.8,0.00253125
-2.56320e-04,-9.8,0.00267969
-2.56240e-04,-9.8,0.00214063
-2.56160e-04,-9.80313,0.0021875
-2.56080e-04,-9.8375,0.00230469
-2.56000e-04,-9.8,0.00208594
-2.55920e-04,-9.80938,0.00228125
-2.55840e-04,-9.80859,0.00258594
-2.55760e-04,-9.8,0.00239063
-2.55680e-04,-9.80703,0.00232031
-2.55600e-04,-9.82109,0.00222656
-2.55520e-04,-9.80234,0.00239844
-2.55440e-04,-9.80313,0.00242969
-2.55360e-04,-9.8,0.00244531
-2.55280e-04,-9.79688,0.0021875
-2.55200e-04,-9.79766,0.00265625
-2.55120e-04,-9.8,0.00276563
-2.55040e-04,-9.80859,0.00214063
-2.54960e-04,-9.8,0.00295313
-2.54880e-04,-9.81563,0.0021875
-2.54800e-04,-9.84609,0.00217188
-2.54720e-04,-9.80078,0.00260156
-2.54640e-04,-9.79688,0.00232813
-2.54560e-04,-9.8,0.00205469
-2.54480e-04,-9.81172,0.00258594
-2.54400e-04,-9.8,0.00204688
-2.54320e-04,-9.8,0.00332031
-2.54240e-04,-9.80859,0.00225
-2.54160e-04,-9.80625,0.00251563
-2.54080e-04,-9.8,0.00244531
-2.54000e-04,-9.8,0.00239844
-2.53920e-04,-9.8,0.00253125
-2.53840e-04,-9.82422,0.00210938
-2.53760e-04,-9.8375,0.002125
-2.53680e-04,-9.80234,0.00339063
-2.53600e-04,-9.8,0.00253125
-2.53520e-04,-9.8,0.00252344
-2.53440e-04,-9.8,0.00242188
-2.53360e-04,-9.81172,0.00202344
-2.53280e-04,-9.8,0.00229688
-2.53200e-04,-9.8,0.0021875
-2.53120e-04,-9.80313,0.00208594
-2.53040e-04,-9.8,0.00235156
-2.52960e-04,-9.83984,0.00295313
-2.52880e-04,-9.81094,0.00205469
-2.52800e-04,-9.79609,0.00252344
-2.52720e-04,-9.80156,0.00209375
-2.52640e-04,-9.81641,0.00224219
-2.52560e-04,-9.81641,0.0029375
-2.52480e-04,-9.78828,0.00260156
-2.52400e-04,-9.84219,0.00239063
-2.52320e-04,-9.8,0.00210938
-2.52240e-04,-9.80859,0.00216406
-2.52160e-04,-9.8375,0.00213281
-2.52080e-04,-9.82422,0.00221094
-2.52000e-04,-9.80703,0.00232031
-2.51920e-04,-9.80625,0.00207813
-2.51840e-04,-9.84063,0.00275
-2.51760e-04,-9.82812,0.0021875
-2.51680e-04,-9.80313,0.00259375
-2.51600e-04,-9.84688,0.00226563
-2.51520e-04,-9.80078,0.00248438
-2.51440e-04,-9.84297,0.00202344
-2.51360e-04,-9.80469,0.00283594
-2.51280e-04,-9.8,0.00224219
-2.51200e-04,-9.80703,0.00242188
-2.51120e-04,-9.80078,0.00202344
-2.51040e-04,-9.80625,0.00202344
-2.50960e-04,-9.80234,0.00219531
-2.50880e-04,-9.84766,0.00209375
-2.50800e-04,-9.80859,0.00229688
-2.50720e-04,-9.8,0.00240625
-2.50640e-04,-9.82109,0.00225781
-2.50560e-04,-9.80938,0.00207031
-2.50480e-04,-9.81563,0.00267188
-2.50400e-04,-9.80469,0.00308594
-2.50320e-04,-9.81875,0.00257031
-2.50240e-04,-9.82656,0.00270313
-2.50160e-04,-9.80469,0.00217969
-2.50080e-04,-9.80156,0.00225781
-2.50000e-04,-9.80625,0.00202344
-2.49920e-04,-9.79453,0.00275
-2.49840e-04,-9.80469,0.00202344
-2.49760e-04,-9.80469,0.00279688
-2.49680e-04,-9.80078,0.00240625
-2.49600e-04,-9.80078,0.00229688
-2.49520e-04,-9.8375,0.00227344
-2.49440e-04,-9.8,0.00254688
-2.49360e-04,-9.83047,0.00205469
-2.49280e-04,-9.8,0.00250781
-2.49200e-04,-9.79766,0.0028125
-2.49120e-04,-9.8,0.00276563
-2.49040e-04,-9.83438,0.00325
-2.48960e-04,-9.79297,0.00242188
-2.48880e-04,-9.82188,0.00204688
-2.48800e-04,-9.8,0.00224219
-2.48720e-04,-9.83516,0.00207813
-2.48640e-04,-9.83984,0.00252344
-2.48560e-04,-9.80859,0.00213281
-2.48480e-04,-9.80703,0.00202344
-2.48400e-04,-9.81406,0.00203125
-2.48320e-04,-9.82188,0.00226563
-2.48240e-04,-9.8,0.00260938
-2.48160e-04,-9.80313,0.00225
-2.48080e-04,-9.83203,0.00214063
-2.48000e-04,-9.8,0.00242969
-2.47920e-04,-9.80625,0.00205469
-2.47840e-04,-9.81016,0.00202344
-2.47760e-04,-9.8,0.00239063
-2.47680e-04,-9.82344,0.00214063
-2.47600e-04,-9.80156,0.0021875
-2.47520e-04,-9.88828,0.00232813
-2.47440e-04,-9.75,0.00249219
-2.47360e-04,-9.80156,0.00202344
-2.47280e-04,-9.8,0.00213281
-2.47200e-04,-9.8,0.00225781
-2.47120e-04,-9.8,0.00217969
-2.47040e-04,-9.8,0.00274219
-2.46960e-04,-9.81641,0.00273438
-2.46880e-04,-9.8,0.00216406
-2.46800e-04,-9.81094,0.00202344
-2.46720e-04,-9.8,0.00251563
-2.46640e-04,-9.8,0.0023125
-2.46560e-04,-9.79453,0.00253125
-2.46480e-04,-9.77891,0.00260156
-2.46400e-04,-9.78828,0.00248438
-2.46320e-04,-9.79688,0.00202344
-2.46240e-04,-9.8,0.00222656
-2.46160e-04,-9.79531,0.00210938
-2.46080e-04,-9.80156,0.00292969
-2.46000e-04,-9.8,0.00251563
-2.45920e-04,-9.79297,0.00217188
-2.45840e-04,-9.81875,0.00205469
-2.45760e-04,-9.8,0.00248438
-2.45680e-04,-9.80078,0.00211719
-2.45600e-04,-9.80313,0.00242188
-2.45520e-04,-9.8,0.00251563
-2.45440e-04,-9.8,0.00221094
-2.45360e-04,-9.8125,0.00232813
-2.45280e-04,-9.80234,0.00252344
-2.45200e-04,-9.81875,0.002625
-2.45120e-04,-9.80703,0.00228125
-2.45040e-04,-9.80078,0.00220313
-2.44960e-04,-9.8,0.00202344
-2.44880e-04,-9.87578,0.00205469
-2.44800e-04,-9.8,0.00216406
-2.44720e-04,-9.79688,0.00214063
-2.44640e-04,-9.81953,0.00297656
-2.44560e-04,-9.80156,0.00226563
-2.44480e-04,-9.79688,0.00219531
-2.44400e-04,-9.80156,0.002125
-2.44320e-04,-9.8,0.00254688
-2.44240e-04,-9.8,0.00248438
-2.44160e-04,-9.82109,0.00242188
-2.44080e-04,-9.8,0.00272656
-2.44000e-04,-9.81875,0.00223438
-2.43920e-04,-9.82188,0.00225781
-2.43840e-04,-9.80625,0.00257813
-2.43760e-04,-9.79766,0.00210938
-2.43680e-04,-9.81172,0.00209375
-2.43600e-04,-9.7875,0.002375
-2.43520e-04,-9.80469,0.00245313
-2.43440e-04,-9.80078,0.00209375
-2.43360e-04,-9.8,0.00314063
-2.43280e-04,-9.8,0.00204688
-2.43200e-04,-9.83281,0.00226563
-2.43120e-04,-9.8,0.00267969
-2.43040e-04,-9.8,0.00239844
-2.42960e-04,-9.79688,0.00303906
-2.42880e-04,-9.8,0.00204688
-2.42800e-04,-9.83516,0.00230469
-2.42720e-04,-9.82109,0.00223438
-2.42640e-04,-9.8,0.00282031
-2.42560e-04,-9.79766,0.00229688
-2.42480e-04,-9.79063,0.00236719
-2.42400e-04,-9.80625,0.00203125
-2.42320e-04,-9.80078,0.00230469
-2.42240e-04,-9.80078,0.00209375
-2.42160e-04,-9.81563,0.00202344
-2.42080e-04,-9.77188,0.00332031
-2.42000e-04,-9.80313,0.00217969
-2.41920e-04,-9.80234,0.00251563
-2.41840e-04,-9.80859,0.002375
-2.41760e-04,-9.82812,0.0025
-2.41680e-04,-9.8,0.00223438
-2.41600e-04,-9.80625,0.00239844
-2.41520e-04,-9.79766,0.00239844
-2.41440e-04,-9.80703,0.00253125
-2.41360e-04,-9.8375,0.0025625
-2.41280e-04,-9.80078,0.00301563
-2.41200e-04,-9.87813,0.00247656
-2.41120e-04,-9.81094,0.00241406
-2.41040e-04,-9.8,0.00246094
-2.40960e-04,-9.82188,0.00232031
-2.40880e-04,-9.80078,0.00254688
-2.40800e-04,-9.80625,0.00225
-2.40720e-04,-9.8,0.00251563
-2.40640e-04,-9.8,0.00203906
-2.40560e-04,-9.82734,0.00203906
-2.40480e-04,-9.8,0.00202344
-2.40400e-04,-9.80078,0.00241406
-2.40320e-04,-9.80234,0.00230469
-2.40240e-04,-9.8,0.00225
-2.40160e-04,-9.80625,0.00266406
-2.40080e-04,-9.80625,0.00230469
-2.40000e-04,-9.80625,0.00235156
-2.39920e-04,-9.8,0.00257031
-2.39840e-04,-9.79141,0.00257031
-2.39760e-04,-9.8375,0.00209375
-2.39680e-04,-9.81641,0.00230469
-2.39600e-04,-9.80234,0.00204688
-2.39520e-04,-9.80078,0.00329688
-2.39440e-04,-9.8,0.00214063
-2.39360e-04,-9.79766,0.00244531
-2.39280e-04,-9.84922,0.00250781
-2.39200e-04,-9.81875,0.00215625
-2.39120e-04,-9.85,0.002125
-2.39040e-04,-9.8,0.003
-2.38960e-04,-9.8,0.00239844
-2.38880e-04,-9.8,0.00220313
-2.38800e-04,-9.78594,0.00284375
-2.38720e-04,-9.8,0.00209375
-2.38640e-04,-9.82734,0.00202344
-2.38560e-04,-9.79297,0.00272656
-2.38480e-04,-9.80703,0.00278906
-2.38400e-04,-9.79063,0.00209375
-2.38320e-04,-9.82812,0.00214063
-2.38240e-04,-9.80625,0.00203125
-2.38160e-04,-9.8,0.00239844
-2.38080e-04,-9.8,0.00260156
-2.38000e-04,-9.8,0.00217969
-2.37920e-04,-9.8,0.00205469
-2.37840e-04,-9.79766,0.00204688
-2.37760e-04,-9.81563,0.00303906
-2.37680e-04,-9.80313,0.00210938
-2.37600e-04,-9.8,0.00224219
-2.37520e-04,-9.82109,0.00327344
-2.37440e-04,-9.8,0.00258594
-2.37360e-04,-9.82812,0.00217969
-2.37280e-04,-9.8,0.00260156
-2.37200e-04,-9.83125,0.00204688
-2.37120e-04,-9.8,0.00238281
-2.37040e-04,-9.79766,0.00208594
-2.36960e-04,-9.80703,0.00225
-2.36880e-04,-9.81563,0.00223438
-2.36800e-04,-9.80313,0.00253906
-2.36720e-04,-9.80469,0.00225
-2.36640e-04,-9.79688,0.002125
-2.36560e-04,-9.82422,0.00202344
-2.36480e-04,-9.8,0.00255469
-2.36400e-04,-9.75234,0.002375
-2.36320e-04,-9.82812,0.002125
-2.36240e-04,-9.80078,0.00220313
-2.36160e-04,-9.8,0.00239844
-2.36080e-04,-9.8,0.0021875
-2.36000e-04,-9.80703,0.00255469
-2.35920e-04,-9.80625,0.00265625
-2.35840e-04,-9.8,0.00203125
-2.35760e-04,-9.79063,0.00221094
-2.35680e-04,-9.79766,0.00214063
-2.35600e-04,-9.8,0.00258594
-2.35520e-04,-9.81563,0.00305469
