Freq.	V(out)
1.22674303516584e+01	(-1.78809639877690e-02dB,-1.77516568418187e+00°)
1.25531755121443e+01	(-1.87218540152225e-02dB,-1.86052843877769e+00°)
1.28455765324476e+01	(-1.96021994980458e-02dB,-1.94786224068752e+00°)
1.31447884474598e+01	(-2.05238431595402e-02dB,-2.03721177126146e+00°)
1.34509699032986e+01	(-2.14887129628289e-02dB,-2.12862266553855e+00°)
1.37642832414248e+01	(-2.24988259749092e-02dB,-2.22214152834401e+00°)
1.40848945847174e+01	(-2.35562923983049e-02dB,-2.31781595033731e+00°)
1.44129739255544e+01	(-2.46633197767973e-02dB,-2.41569452398108e+00°)
1.47486952159451e+01	(-2.58222173820061e-02dB,-2.51582685939855e+00°)
1.50922364597613e+01	(-2.70354007876562e-02dB,-2.61826360008420e+00°)
1.54437798071178e+01	(-2.83053966386701e-02dB,-2.72305643842962e+00°)
1.58035116509507e+01	(-2.96348476222236e-02dB,-2.83025813102336e+00°)
1.61716227258451e+01	(-3.10265176482463e-02dB,-2.93992251368029e+00°)
1.65483082091655e+01	(-3.24832972468926e-02dB,-3.05210451615238e+00°)
1.69337678245411e+01	(-3.40082091906527e-02dB,-3.16686017646936e+00°)
1.73282059477622e+01	(-3.56044143489707e-02dB,-3.28424665485332e+00°)
1.77318317151428e+01	(-3.72752177832957e-02dB,-3.40432224714755e+00°)
1.81448591344072e+01	(-3.90240750906122e-02dB,-3.52714639769510e+00°)
1.85675071981603e+01	(-4.08545990036094e-02dB,-3.65277971159818e+00°)
1.89999999999999e+01	(-4.27705662556248e-02dB,-3.78128396628408e+00°)
1.94425668533343e+01	(-4.47759247186532e-02dB,-3.91272212229852e+00°)
1.98954424129670e+01	(-4.68748008226187e-02dB,-4.04715833324129e+00°)
2.03588667995144e+01	(-4.90715072641282e-02dB,-4.18465795475352e+00°)
2.08330857267204e+01	(-5.13705510128700e-02dB,-4.32528755245958e+00°)
2.13183506317372e+01	(-5.37766416236945e-02dB,-4.46911490875995e+00°)
2.18149188084407e+01	(-5.62946998622708e-02dB,-4.61620902836492e+00°)
2.23230535438510e+01	(-5.89298666520686e-02dB,-4.76664014245137e+00°)
2.28430242577308e+01	(-6.16875123500868e-02dB,-4.92047971131765e+00°)
2.33751066454352e+01	(-6.45732463584469e-02dB,-5.07780042540351e+00°)
2.39195828240891e+01	(-6.75929270786957e-02dB,-5.23867620453394e+00°)
2.44767414821695e+01	(-7.07526722150079e-02dB,-5.40318219523704e+00°)
2.50468780325716e+01	(-7.40588694321408e-02dB,-5.57139476597720e+00°)
2.56302947692413e+01	(-7.75181873732068e-02dB,-5.74339150013554e+00°)
2.62273010274547e+01	(-8.11375870417020e-02dB,-5.91925118655990e+00°)
2.68382133478322e+01	(-8.49243335513075e-02dB,-6.09905380749684e+00°)
2.74633556441725e+01	(-8.88860082460975e-02dB,-6.28288052370764e+00°)
2.81030593751958e+01	(-9.30305211926577e-02dB,-6.47081365655990e+00°)
2.87576637202878e+01	(-9.73661240443847e-02dB,-6.66293666687555e+00°)
2.94275157593370e+01	(-1.01901423276915e-01dB,-6.85933413030468e+00°)
3.01129706567610e+01	(-1.06645393792026e-01dB,-7.06009170898403e+00°)
3.08143918498195e+01	(-1.11607392885713e-01dB,-7.26529611922674e+00°)
3.15321512413135e+01	(-1.16797174574188e-01dB,-7.47503509497923e+00°)
3.22666293967730e+01	(-1.22224904269501e-01dB,-7.68939734676921e+00°)
3.30182157462380e+01	(-1.27901173794140e-01dB,-7.90847251585731e+00°)
3.37873087907394e+01	(-1.33837016721443e-01dB,-8.13235112329376e+00°)
3.45743163135895e+01	(-1.40043924025896e-01dB,-8.36112451357033e+00°)
3.53796555965943e+01	(-1.46533860024334e-01dB,-8.59488479254678e+00°)
3.62037536413015e+01	(-1.53319278585802e-01dB,-8.83372475932151e+00°)
3.70470473954027e+01	(-1.60413139584211e-01dB,-9.07773783170537e+00°)
3.79099839844086e+01	(-1.67828925564117e-01dB,-9.32701796494992e+00°)
3.87930209487209e+01	(-1.75580658585715e-01dB,-9.58165956337240e+00°)
3.96966264862266e+01	(-1.83682917210691e-01dB,-9.84175738451384e+00°)
4.06212797005422e+01	(-1.92150853585771e-01dB,-1.01074064354604e+01°)
4.15674708550413e+01	(-2.01000210575600e-01dB,-1.03787018609550e+01°)
4.25357016327983e+01	(-2.10247338891201e-01dB,-1.06557388229239e+01°)
4.35264854025875e+01	(-2.19909214154342e-01dB,-1.09386123710428e+01°)
4.45403474910783e+01	(-2.30003453832026e-01dB,-1.12274173039701e+01°)
4.55778254613701e+01	(-2.40548333968821e-01dB,-1.15222480208794e+01°)
4.66394693980154e+01	(-2.51562805637917e-01dB,-1.18231983629335e+01°)
4.77258421986818e+01	(-2.63066511024614e-01dB,-1.21303614443510e+01°)
4.88375198726082e+01	(-2.75079799048563e-01dB,-1.24438294727347e+01°)
4.99750918460120e+01	(-2.87623740423319e-01dB,-1.27636935583501e+01°)
5.11391612746112e+01	(-3.00720142043838e-01dB,-1.30900435120662e+01°)
5.23303453634249e+01	(-3.14391560584367e-01dB,-1.34229676317008e+01°)
5.35492756940244e+01	(-3.28661315180896e-01dB,-1.37625524765476e+01°)
5.47965985594053e+01	(-3.43553499063842e-01dB,-1.41088826299022e+01°)
5.60729753066611e+01	(-3.59092989998336e-01dB,-1.44620404494537e+01°)
5.73790826876381e+01	(-3.75305459380927e-01dB,-1.48221058054591e+01°)
5.87156132177580e+01	(-3.92217379833340e-01dB,-1.51891558066830e+01°)
6.00832755431989e+01	(-4.09856031125890e-01dB,-1.55632645141497e+01°)
6.14827948166291e+01	(-4.28249504255424e-01dB,-1.59445026428350e+01°)
6.29149130816920e+01	(-4.47426703495510e-01dB,-1.63329372515077e+01°)
6.43803896664482e+01	(-4.67417346229945e-01dB,-1.67286314210239e+01°)
6.58800015859807e+01	(-4.88251960374892e-01dB,-1.71316439214812e+01°)
6.74145439543790e+01	(-5.09961879189979e-01dB,-1.75420288687477e+01°)
6.89848304063189e+01	(-5.32579233274974e-01dB,-1.79598353710012e+01°)
7.05916935284624e+01	(-5.56136939546131e-01dB,-1.83851071660415e+01°)
7.22359853009063e+01	(-5.80668686985298e-01dB,-1.88178822502731e+01°)
7.39185775489129e+01	(-6.06208918955588e-01dB,-1.92581925004005e+01°)
7.56403624051641e+01	(-6.32792811880055e-01dB,-1.97060632890267e+01°)
7.74022527827810e+01	(-6.60456250084502e-01dB,-2.01615130955029e+01°)
7.92051828593633e+01	(-6.89235796612702e-01dB,-2.06245531135390e+01°)
8.10501085723022e+01	(-7.19168659831849e-01dB,-2.10951868572484e+01°)
8.29380081256311e+01	(-7.50292655658508e-01dB,-2.15734097674697e+01°)
8.48698825086826e+01	(-7.82646165250629e-01dB,-2.20592088203749e+01°)
8.68467560268258e+01	(-8.16268088029508e-01dB,-2.25525621405403e+01°)
8.88696768445672e+01	(-8.51197789917341e-01dB,-2.30534386208206e+01°)
9.09397175413008e+01	(-8.87475046700915e-01dB,-2.35617975515222e+01°)
9.30579756800043e+01	(-9.25139982460372e-01dB,-2.40775882615187e+01°)
9.52255743891813e+01	(-9.64233003033873e-01dB,-2.46007497740918e+01°)
9.74436629583588e+01	(-1.00479472452411e+00dB,-2.51312104803960e+01°)
9.97134174474563e+01	(-1.04686589689122e+00dB,-2.56688878335547e+01°)
1.02036041310347e+02	(-1.09048732271831e+00dB,-2.62136880664740e+01°)
1.04412766032948e+02	(-1.13569977128040e+00dB,-2.67655059365171e+01°)
1.06844851786166e+02	(-1.18254388809474e+00dB,-2.73242245002141e+01°)
1.09333588094059e+02	(-1.23106010018005e+00dB,-2.78897149211775e+01°)
1.11880294517561e+02	(-1.28128851730331e+00dB,-2.84618363143597e+01°)
1.14486321354127e+02	(-1.33326882954508e+00dB,-2.90404356297122e+01°)
1.17153050353681e+02	(-1.38704020156771e+00dB,-2.96253475781995e+01°)
1.19881895451236e+02	(-1.44264116402317e+00dB,-3.02163946029602e+01°)
1.22674303516584e+02	(-1.50010950258989e+00dB,-3.08133868982173e+01°)
1.25531755121443e+02	(-1.55948214517777e+00dB,-3.14161224782965e+01°)
1.28455765324476e+02	(-1.62079504788883e+00dB,-3.20243872988312e+01°)
1.31447884474597e+02	(-1.68408308036507e+00dB,-3.26379554319037e+01°)
1.34509699032985e+02	(-1.74937991119514e+00dB,-3.32565892965110e+01°)
1.37642832414247e+02	(-1.81671789408620e+00dB,-3.38800399453323e+01°)
1.40848945847174e+02	(-1.88612795553605e+00dB,-3.45080474083422e+01°)
1.44129739255544e+02	(-1.95763948476208e+00dB,-3.51403410933369e+01°)
1.47486952159451e+02	(-2.03128022665779e+00dB,-3.57766402429496e+01°)
1.50922364597613e+02	(-2.10707617855304e+00dB,-3.64166544472119e+01°)
1.54437798071178e+02	(-2.18505149155108e+00dB,-3.70600842101933e+01°)
1.58035116509507e+02	(-2.26522837720269e+00dB,-3.77066215687131e+01°)
1.61716227258451e+02	(-2.34762702025572e+00dB,-3.83559507605935e+01°)
1.65483082091654e+02	(-2.43226549818677e+00dB,-3.90077489393966e+01°)
1.69337678245411e+02	(-2.51915970818027e+00dB,-3.96616869320919e+01°)
1.73282059477622e+02	(-2.60832330217008e+00dB,-4.03174300356259e+01°)
1.77318317151427e+02	(-2.69976763049958e+00dB,-4.09746388479264e+01°)
1.81448591344072e+02	(-2.79350169468900e+00dB,-4.16329701284837e+01°)
1.85675071981603e+02	(-2.88953210972456e+00dB,-4.22920776833044e+01°)
1.89999999999999e+02	(-2.98786307620332e+00dB,-4.29516132687497e+01°)
1.94425668533342e+02	(-3.08849636258226e+00dB,-4.36112275085456e+01°)
1.98954424129670e+02	(-3.19143129769049e+00dB,-4.42705708180947e+01°)
2.03588667995144e+02	(-3.29666477357213e+00dB,-4.49292943301328e+01°)
2.08330857267204e+02	(-3.40419125863394e+00dB,-4.55870508157576e+01°)
2.13183506317372e+02	(-3.51400282098010e+00dB,-4.62434955949106e+01°)
2.18149188084406e+02	(-3.62608916172523e+00dB,-4.68982874305214e+01°)
2.23230535438509e+02	(-3.74043765798981e+00dB,-4.75510894007163e+01°)
2.28430242577307e+02	(-3.85703341519887e+00dB,-4.82015697437531e+01°)
2.33751066454351e+02	(-3.97585932822791e+00dB,-4.88494026706595e+01°)
2.39195828240890e+02	(-4.09689615086922e+00dB,-4.94942691409286e+01°)
2.44767414821694e+02	(-4.22012257302915e+00dB,-5.01358575970395e+01°)
2.50468780325716e+02	(-4.34551530501243e+00dB,-5.07738646540321e+01°)
2.56302947692412e+02	(-4.47304916820440e+00dB,-5.14079957408528e+01°)
2.62273010274546e+02	(-4.60269719142579e+00dB,-5.20379656907012e+01°)
2.68382133478321e+02	(-4.73443071220848e+00dB,-5.26634992781351e+01°)
2.74633556441724e+02	(-4.86821948222376e+00dB,-5.32843317012242e+01°)
2.81030593751957e+02	(-5.00403177608714e+00dB,-5.39002090075742e+01°)
2.87576637202877e+02	(-5.14183450276554e+00dB,-5.45108884635656e+01°)
2.94275157593369e+02	(-5.28159331882289e+00dB,-5.51161388666569e+01°)
3.01129706567609e+02	(-5.42327274275842e+00dB,-5.57157408010848e+01°)
3.08143918498194e+02	(-5.56683626971772e+00dB,-5.63094868377481e+01°)
3.15321512413134e+02	(-5.71224648588844e+00dB,-5.68971816794831e+01°)
3.22666293967729e+02	(-5.85946518193051e+00dB,-5.74786422533220e+01°)
3.30182157462379e+02	(-6.00845346483314e+00dB,-5.80536977516709e+01°)
3.37873087907393e+02	(-6.15917186763730e+00dB,-5.86221896246452e+01°)
3.45743163135894e+02	(-6.31158045651160e+00dB,-5.91839715260599e+01°)
3.53796555965942e+02	(-6.46563893472111e+00dB,-5.97389092157875e+01°)
3.62037536413014e+02	(-6.62130674308093e+00dB,-6.02868804213696e+01°)
3.70470473954026e+02	(-6.77854315653982e+00dB,-6.08277746618977e+01°)
3.79099839844084e+02	(-6.93730737659161e+00dB,-6.13614930372720e+01°)
3.87930209487208e+02	(-7.09755861926413e+00dB,-6.18879479859950e+01°)
3.96966264862264e+02	(-7.25925619848564e+00dB,-6.24070630146786e+01°)
4.06212797005421e+02	(-7.42235960467707e+00dB,-6.29187724024248e+01°)
4.15674708550412e+02	(-7.58682857846404e+00dB,-6.34230208831951e+01°)
4.25357016327981e+02	(-7.75262317944588e+00dB,-6.39197633092151e+01°)
4.35264854025874e+02	(-7.91970384999864e+00dB,-6.44089642983629e+01°)
4.45403474910782e+02	(-8.08803147412589e+00dB,-6.48905978683799e+01°)
4.55778254613700e+02	(-8.25756743140452e+00dB,-6.53646470606102e+01°)
4.66394693980152e+02	(-8.42827364610251e+00dB,-6.58311035558336e+01°)
4.77258421986817e+02	(-8.60011263157236e+00dB,-6.62899672846021e+01°)
4.88375198726080e+02	(-8.77304753004696e+00dB,-6.67412460343319e+01°)
4.99750918460119e+02	(-8.94704214798425e+00dB,-6.71849550552346e+01°)
5.11391612746110e+02	(-9.12206098712414e+00dB,-6.76211166670061e+01°)
5.23303453634247e+02	(-9.29806927143454e+00dB,-6.80497598680222e+01°)
5.35492756940242e+02	(-9.47503297013418e+00dB,-6.84709199486248e+01°)
5.47965985594051e+02	(-9.65291881698829e+00dB,-6.88846381099172e+01°)
5.60729753066609e+02	(-9.83169432607878e+00dB,-6.92909610893306e+01°)
5.73790826876378e+02	(-1.00113278042543e+01dB,-6.96899407940692e+01°)
5.87156132177577e+02	(-1.01917883604666e+01dB,-7.00816339433965e+01°)
6.00832755431987e+02	(-1.03730459122009e+01dB,-7.04661017205830e+01°)
6.14827948166289e+02	(-1.05550711892026e+01dB,-7.08434094352098e+01°)
6.29149130816918e+02	(-1.07378357347050e+01dB,-7.12136261963944e+01°)
6.43803896664479e+02	(-1.09213119043525e+01dB,-7.15768245973934e+01°)
6.58800015859805e+02	(-1.11054728630117e+01dB,-7.19330804119314e+01°)
6.74145439543788e+02	(-1.12902925796562e+01dB,-7.22824723025068e+01°)
6.89848304063187e+02	(-1.14757458205037e+01dB,-7.26250815408378e+01°)
7.05916935284622e+02	(-1.16618081405745e+01dB,-7.29609917405306e+01°)
7.22359853009060e+02	(-1.18484558738369e+01dB,-7.32902886019813e+01°)
7.39185775489127e+02	(-1.20356661220929e+01dB,-7.36130596694561e+01°)
7.56403624051638e+02	(-1.22234167427507e+01dB,-7.39293941002389e+01°)
7.74022527827807e+02	(-1.24116863356226e+01dB,-7.42393824456847e+01°)
7.92051828593630e+02	(-1.26004542288778e+01dB,-7.45431164439738e+01°)
8.10501085723019e+02	(-1.27897004642714e+01dB,-7.48406888243233e+01°)
8.29380081256308e+02	(-1.29794057817616e+01dB,-7.51321931223809e+01°)
8.48698825086822e+02	(-1.31695516036226e+01dB,-7.54177235065012e+01°)
8.68467560268255e+02	(-1.33601200181472e+01dB,-7.56973746145788e+01°)
8.88696768445669e+02	(-1.35510937630307e+01dB,-7.59712414010994e+01°)
9.09397175413005e+02	(-1.37424562085187e+01dB,-7.62394189940537e+01°)
9.30579756800039e+02	(-1.39341913403917e+01dB,-7.65020025613508e+01°)
9.52255743891809e+02	(-1.41262837428586e+01dB,-7.67590871863593e+01°)
9.74436629583584e+02	(-1.43187185814185e+01dB,-7.70107677522033e+01°)
9.97134174474559e+02	(-1.45114815857482e+01dB,-7.72571388344365e+01°)
1.02036041310347e+03	(-1.47045590326675e+01dB,-7.74982946017204e+01°)
1.04412766032948e+03	(-1.48979377292255e+01dB,-7.77343287241353e+01°)
1.06844851786165e+03	(-1.50916049959494e+01dB,-7.79653342887577e+01°)
1.09333588094059e+03	(-1.52855486502926e+01dB,-7.81914037221424e+01°)
1.11880294517561e+03	(-1.54797569903119e+01dB,-7.84126287193586e+01°)
1.14486321354127e+03	(-1.56742187786023e+01dB,-7.86291001792328e+01°)
1.17153050353681e+03	(-1.58689232265137e+01dB,-7.88409081454652e+01°)
1.19881895451236e+03	(-1.60638599786685e+01dB,-7.90481417532942e+01°)
1.22674303516583e+03	(-1.62590190977991e+01dB,-7.92508891813929e+01°)
1.25531755121442e+03	(-1.64543910499178e+01dB,-7.94492376086956e+01°)
1.28455765324475e+03	(-1.66499666898327e+01dB,-7.96432731758610e+01°)
1.31447884474597e+03	(-1.68457372470174e+01dB,-7.98330809510911e+01°)
1.34509699032985e+03	(-1.70416943118431e+01dB,-8.00187449000360e+01°)
1.37642832414247e+03	(-1.72378298221763e+01dB,-8.02003478595267e+01°)
1.40848945847173e+03	(-1.74341360503481e+01dB,-8.03779715148893e+01°)
1.44129739255544e+03	(-1.76306055904937e+01dB,-8.05516963806053e+01°)
1.47486952159450e+03	(-1.78272313462658e+01dB,-8.07216017840929e+01°)
1.50922364597612e+03	(-1.80240065189178e+01dB,-8.08877658523976e+01°)
1.54437798071177e+03	(-1.82209245957572e+01dB,-8.10502655015879e+01°)
1.58035116509506e+03	(-1.84179793389641e+01dB,-8.12091764286652e+01°)
1.61716227258450e+03	(-1.86151647747720e+01dB,-8.13645731058042e+01°)
1.65483082091654e+03	(-1.88124751830058e+01dB,-8.15165287767539e+01°)
1.69337678245410e+03	(-1.90099050869711e+01dB,-8.16651154552332e+01°)
1.73282059477621e+03	(-1.92074492436894e+01dB,-8.18104039251703e+01°)
1.77318317151427e+03	(-1.94051026344721e+01dB,-8.19524637426385e+01°)
1.81448591344071e+03	(-1.96028604558264e+01dB,-8.20913632393539e+01°)
1.85675071981602e+03	(-1.98007181106862e+01dB,-8.22271695276037e+01°)
1.89999999999998e+03	(-1.99986711999597e+01dB,-8.23599485064875e+01°)
1.94425668533341e+03	(-2.01967155143867e+01dB,-8.24897648693548e+01°)
1.98954424129669e+03	(-2.03948470266965e+01dB,-8.26166821123347e+01°)
2.03588667995143e+03	(-2.05930618840602e+01dB,-8.27407625438564e+01°)
2.08330857267203e+03	(-2.07913564008262e+01dB,-8.28620672950676e+01°)
2.13183506317371e+03	(-2.09897270515341e+01dB,-8.29806563310628e+01°)
2.18149188084406e+03	(-2.11881704641964e+01dB,-8.30965884628401e+01°)
2.23230535438508e+03	(-2.13866834138401e+01dB,-8.32099213599104e+01°)
2.28430242577306e+03	(-2.15852628163012e+01dB,-8.33207115634868e+01°)
2.33751066454350e+03	(-2.17839057222627e+01dB,-8.34290145001878e+01°)
2.39195828240889e+03	(-2.19826093115291e+01dB,-8.35348844961943e+01°)
2.44767414821693e+03	(-2.21813708875286e+01dB,-8.36383747917999e+01°)
2.50468780325715e+03	(-2.23801878720361e+01dB,-8.37395375563030e+01°)
2.56302947692412e+03	(-2.25790578001087e+01dB,-8.38384239031913e+01°)
2.62273010274546e+03	(-2.27779783152267e+01dB,-8.39350839055705e+01°)
2.68382133478321e+03	(-2.29769471646324e+01dB,-8.40295666117973e+01°)
2.74633556441724e+03	(-2.31759621948605e+01dB,-8.41219200612750e+01°)
2.81030593751957e+03	(-2.33750213474510e+01dB,-8.42121913003764e+01°)
2.87576637202877e+03	(-2.35741226548410e+01dB,-8.43004263984606e+01°)
2.94275157593369e+03	(-2.37732642364250e+01dB,-8.43866704639509e+01°)
3.01129706567609e+03	(-2.39724442947813e+01dB,-8.44709676604478e+01°)
3.08143918498194e+03	(-2.41716611120545e+01dB,-8.45533612228490e+01°)
3.15321512413133e+03	(-2.43709130464909e+01dB,-8.46338934734528e+01°)
3.22666293967728e+03	(-2.45701985291190e+01dB,-8.47126058380232e+01°)
3.30182157462378e+03	(-2.47695160605709e+01dB,-8.47895388617962e+01°)
3.37873087907392e+03	(-2.49688642080378e+01dB,-8.48647322254093e+01°)
3.45743163135893e+03	(-2.51682416023548e+01dB,-8.49382247607368e+01°)
3.53796555965941e+03	(-2.53676469352104e+01dB,-8.50100544666165e+01°)
3.62037536413013e+03	(-2.55670789564749e+01dB,-8.50802585244535e+01°)
3.70470473954025e+03	(-2.57665364716429e+01dB,-8.51488733136890e+01°)
3.79099839844083e+03	(-2.59660183393860e+01dB,-8.52159344271225e+01°)
3.87930209487207e+03	(-2.61655234692107e+01dB,-8.52814766860782e+01°)
3.96966264862263e+03	(-2.63650508192166e+01dB,-8.53455341554057e+01°)
4.06212797005420e+03	(-2.65645993939528e+01dB,-8.54081401583076e+01°)
4.15674708550411e+03	(-2.67641682423654e+01dB,-8.54693272909872e+01°)
4.25357016327980e+03	(-2.69637564558353e+01dB,-8.55291274371092e+01°)
4.35264854025872e+03	(-2.71633631663006e+01dB,-8.55875717820697e+01°)
4.45403474910781e+03	(-2.73629875444606e+01dB,-8.56446908270690e+01°)
4.55778254613698e+03	(-2.75626287980585e+01dB,-8.57005144029845e+01°)
4.66394693980151e+03	(-2.77622861702386e+01dB,-8.57550716840400e+01°)
4.77258421986815e+03	(-2.79619589379755e+01dB,-8.58083912012691e+01°)
4.88375198726079e+03	(-2.81616464105720e+01dB,-8.58605008557693e+01°)
4.99750918460117e+03	(-2.83613479282226e+01dB,-8.59114279317471e+01°)
5.11391612746109e+03	(-2.85610628606407e+01dB,-8.59611991093510e+01°)
5.23303453634246e+03	(-2.87607906057450e+01dB,-8.60098404772923e+01°)
5.35492756940240e+03	(-2.89605305884047e+01dB,-8.60573775452537e+01°)
5.47965985594049e+03	(-2.91602822592393e+01dB,-8.61038352560851e+01°)
5.60729753066607e+03	(-2.93600450934714e+01dB,-8.61492379977869e+01°)
5.73790826876377e+03	(-2.95598185898307e+01dB,-8.61936096152815e+01°)
5.87156132177576e+03	(-2.97596022695048e+01dB,-8.62369734219735e+01°)
