,V_H,V_Bnint,V_B,V_pt,V_pr
0,2.283045732909412,-0.00706331239794547,-0.041617707149451344,-2.0615681421965038,-0.04556678065899042
1,2.213936805644554,-0.013480557349733177,-0.03980771511232212,-2.030633694034164,-0.04507314647224485
2,2.1385751878274317,-0.013480557349733177,-0.04309860971970374,-1.9978892552098,-0.044250422826434196
3,2.055973614085522,-0.006898767654300822,-0.04112407295825171,-1.9664611791680506,-0.04392133336767749
4,1.9686002627729422,-0.01693599689865298,-0.04030134930501142,-1.9335522025237977,-0.04293406498992339
5,1.8757969568694433,1.2111637389039531e-05,-0.03947862565021858,-1.8983396013686555,-0.041946796609941064
6,1.7780573332421845,-0.01677145215886859,-0.039149536187866374,-1.863456093750638,-0.04145316241911348
7,1.6790013779683928,-0.011012386226030887,-0.03816226779931671,-1.828408044976056,-0.04063043876649375
8,1.5792872681110732,-0.004266051747173746,-0.03832681253089726,-1.793359999775763,-0.03947862565021858
9,1.4808895374474864,-0.01479691527646386,-0.03783317833596882,-1.7563374205610964,-0.039149536187866374
10,1.381998191198944,-0.01891053377108165,-0.03849135726241555,-1.7176693973302801,-0.037997723067673905
11,1.2832714053339995,-0.026808681169167084,-0.0365168204800843,-1.6808113702801883,-0.037010454676508625
12,1.1842155431436259,-0.01249328890198853,-0.03684590994442957,-1.6418142649685104,-0.0365168204800843
13,1.084995146512501,-0.011999654677248409,-0.03668136521228811,-1.602488073805094,-0.03552955208555049
14,0.985116578877846,-0.01891053377108165,-0.0350359178874403,-1.5634909755477449,-0.03470682842172096
15,0.8867189170355539,-0.0021269700603940983,-0.035694096818128906,-1.523671157053617,-0.033719560023061465
16,0.788979435163471,-0.005911499191073019,-0.033719560023061465,-1.4825349842897038,-0.03306138108936958
17,0.6909108630196326,-0.007721491371877026,-0.03437773895575143,-1.441234270074527,-0.032238657420844516
18,0.5926777424297512,-0.01874598903206373,-0.03306138108936958,-1.3987817462802663,-0.03125138901654395
19,0.49214099069221895,-0.01183510993553974,-0.03273229162214765,-1.3566583147745144,-0.030264120609982056
20,0.39143968443338334,-0.007556946628491171,-0.03207411268695133,-1.3138767074417685,-0.029276852201156056
21,0.2917256331839396,-0.010683296741776593,-0.033555015289732454,-1.2715887365812943,-0.02828958379006312
22,0.19579609400838588,-0.011012386226030887,-0.03256774688844266,-1.2269971433423903,-0.027137770640919143
23,0.10315743206124052,-0.01496146001701655,-0.03125138901654395,-1.1827346416335238,-0.026150502224904906
24,0.014467825795166117,-0.001797880569144386,-0.03256774688844266,-1.1384721419442716,-0.02532777854315471
25,-0.0709309035749609,-0.00854421508783651,-0.032403202154674945,-1.093880554824385,-0.024175965386046258
26,-0.15649419684782834,-0.015619638978586495,-0.029770486405852253,-1.0487953354589814,-0.023188696963196226
27,-0.2432093251029258,-0.017758720596615957,-0.028947762731043755,-1.0035455728072813,-0.022201428538062007
28,-0.33008902171267196,-0.004266051747173746,-0.028947762731043755,-0.9574730882682381,-0.021214160110640784
29,-0.4168041988176959,-0.003772417512738213,-0.02828958379006312,-0.9104133370237498,-0.020226891680929768
