t,V_out,V_R
-0.05,13.600000000000001,0.4
-0.049960000000000004,13.600000000000001,0.2
-0.049920000000000006,13.4,0.2
-0.04988,13.4,0.2
-0.04984,13.600000000000001,0.0
-0.049800000000000004,13.4,0.0
-0.049760000000000006,13.4,0.0
-0.04972,13.4,0.0
-0.04968,13.200000000000001,0.0
-0.049640000000000004,13.200000000000001,0.0
-0.049600000000000005,13.200000000000001,0.0
-0.04956,13.0,-0.2
-0.04952,13.200000000000001,-0.2
-0.04948,13.0,-0.2
-0.049440000000000005,13.0,-0.4
-0.0494,13.0,-0.4
-0.04936,13.0,-0.4
-0.04932,13.0,-0.4
-0.049280000000000004,13.0,-0.4
-0.049240000000000006,12.8,-0.4
-0.0492,12.8,-0.4
-0.04916,12.8,-0.4
-0.049120000000000004,12.600000000000001,-0.6000000000000001
-0.049080000000000006,12.600000000000001,-0.6000000000000001
-0.04904,12.600000000000001,-0.6000000000000001
-0.049,12.600000000000001,-0.6000000000000001
-0.048960000000000004,12.600000000000001,-0.8
-0.048920000000000005,12.4,-0.8
-0.04888,12.4,-0.8
-0.04884,12.4,-0.8
-0.0488,12.4,-0.8
-0.048760000000000005,12.4,-1.0
-0.04872,12.4,-1.0
-0.04868,12.200000000000001,-1.0
-0.04864,12.4,-1.0
-0.048600000000000004,12.200000000000001,-1.2000000000000002
-0.048560000000000006,12.200000000000001,-1.2000000000000002
-0.04852,12.200000000000001,-1.2000000000000002
-0.04848,12.200000000000001,-1.2000000000000002
-0.048440000000000004,12.200000000000001,-1.2000000000000002
-0.048400000000000006,12.0,-1.2000000000000002
-0.04836,12.0,-1.4000000000000001
-0.04832,12.0,-1.4000000000000001
-0.04828,11.8,-1.4000000000000001
-0.048240000000000005,11.8,-1.4000000000000001
-0.0482,12.0,-1.6
-0.04816,11.8,-1.4000000000000001
-0.04812,11.8,-1.6
-0.048080000000000005,11.8,-1.6
-0.04804,11.8,-1.6
-0.048,11.600000000000001,-1.6
-0.04796,11.600000000000001,-1.6
-0.047920000000000004,11.600000000000001,-1.8
-0.047880000000000006,11.600000000000001,-1.8
-0.04784,11.4,-1.8
-0.0478,11.4,-1.8
-0.047760000000000004,11.4,-2.0
-0.047720000000000005,11.4,-1.8
-0.04768,11.4,-2.0
-0.04764,11.4,-2.0
-0.0476,11.4,-2.0
-0.047560000000000005,11.200000000000001,-2.0
-0.04752,11.200000000000001,-2.0
-0.04748,11.200000000000001,-2.2
-0.04744,11.200000000000001,-2.2
-0.047400000000000005,11.200000000000001,-2.2
-0.04736,11.0,-2.2
-0.04732,11.200000000000001,-2.2
-0.04728,11.0,-2.2
-0.047240000000000004,11.0,-2.4000000000000004
-0.047200000000000006,10.8,-2.4000000000000004
-0.04716,11.0,-2.4000000000000004
-0.04712,11.0,-2.4000000000000004
-0.047080000000000004,10.8,-2.4000000000000004
-0.047040000000000005,10.8,-2.4000000000000004
-0.047,10.8,-2.6
-0.04696,10.8,-2.6
-0.04692,10.600000000000001,-2.6
-0.046880000000000005,10.8,-2.6
-0.04684,10.600000000000001,-2.6
-0.0468,10.600000000000001,-2.8000000000000003
-0.04676,10.600000000000001,-2.8000000000000003
-0.046720000000000005,10.600000000000001,-2.8000000000000003
-0.04668,10.4,-2.8000000000000003
-0.04664,10.4,-2.8000000000000003
-0.0466,10.4,-2.8000000000000003
