t,V_R
-0.002118,-10.4
-0.002116,-10.0
-0.002114,-10.0
-0.002112,-10.0
-0.00211,-10.0
-0.002108,-10.0
-0.0021060000000000002,-9.600000000000001
-0.002104,-9.600000000000001
-0.002102,-9.600000000000001
-0.0021000000000000003,-9.600000000000001
-0.002098,-9.600000000000001
-0.002096,-9.600000000000001
-0.002094,-9.200000000000001
-0.002092,-9.200000000000001
-0.00209,-9.200000000000001
-0.002088,-9.200000000000001
-0.002086,-9.200000000000001
-0.002084,-8.8
-0.002082,-8.8
-0.0020800000000000003,-8.8
-0.002078,-8.8
-0.002076,-8.8
-0.002074,-8.4
-0.002072,-8.4
-0.0020700000000000002,-8.4
-0.002068,-8.4
-0.002066,-8.4
-0.002064,-8.0
-0.002062,-8.0
-0.00206,-8.0
-0.002058,-8.0
-0.002056,-8.0
-0.0020540000000000003,-8.0
-0.002052,-7.6000000000000005
-0.00205,-7.6000000000000005
-0.002048,-7.6000000000000005
-0.002046,-7.6000000000000005
-0.0020440000000000002,-7.6000000000000005
-0.002042,-7.6000000000000005
-0.00204,-7.2
-0.002038,-7.2
-0.002036,-7.2
-0.0020340000000000002,-7.2
-0.002032,-7.2
-0.00203,-7.2
-0.0020280000000000003,-6.800000000000001
-0.002026,-6.800000000000001
-0.002024,-6.800000000000001
-0.002022,-6.800000000000001
-0.00202,-6.800000000000001
-0.0020180000000000003,-6.800000000000001
-0.002016,-6.800000000000001
-0.002014,-6.4
-0.002012,-6.4
-0.00201,-6.4
-0.0020080000000000002,-6.4
-0.002006,-6.4
-0.002004,-6.4
-0.0020020000000000003,-6.4
-0.002,-6.0
-0.001998,-6.0
-0.001996,-6.0
-0.001994,-6.0
-0.001992,-6.0
-0.00199,-6.0
-0.001988,-6.0
-0.001986,-5.6000000000000005
-0.001984,-5.6000000000000005
-0.0019820000000000003,-5.6000000000000005
-0.00198,-5.6000000000000005
-0.001978,-5.6000000000000005
-0.0019760000000000003,-5.6000000000000005
-0.001974,-5.6000000000000005
-0.0019720000000000002,-5.6000000000000005
-0.00197,-5.6000000000000005
-0.001968,-5.6000000000000005
-0.001966,-5.2
-0.001964,-5.2
-0.001962,-5.2
-0.00196,-5.2
-0.001958,-5.2
