t,V_R
-0.002074,-8.8
-0.002072,-8.8
-0.0020700000000000002,-9.200000000000001
-0.002068,-8.8
-0.002066,-8.8
-0.002064,-8.8
-0.002062,-8.8
-0.00206,-8.4
-0.002058,-8.4
-0.002056,-8.4
-0.0020540000000000003,-8.0
-0.002052,-8.0
-0.00205,-8.0
-0.002048,-8.0
-0.002046,-8.0
-0.0020440000000000002,-7.6000000000000005
-0.002042,-7.6000000000000005
-0.00204,-7.6000000000000005
-0.002038,-7.6000000000000005
-0.002036,-7.6000000000000005
-0.0020340000000000002,-7.6000000000000005
-0.002032,-7.2
-0.00203,-7.2
-0.0020280000000000003,-7.2
-0.002026,-7.6000000000000005
-0.002024,-7.2
-0.002022,-7.2
-0.00202,-6.800000000000001
-0.0020180000000000003,-6.800000000000001
-0.002016,-6.800000000000001
-0.002014,-6.800000000000001
-0.002012,-6.800000000000001
-0.00201,-6.800000000000001
-0.0020080000000000002,-6.4
-0.002006,-6.800000000000001
-0.002004,-6.4
-0.0020020000000000003,-6.4
-0.002,-6.4
-0.001998,-6.4
-0.001996,-6.0
-0.001994,-6.4
-0.001992,-6.4
-0.00199,-6.0
-0.001988,-6.0
-0.001986,-6.0
-0.001984,-5.6000000000000005
-0.0019820000000000003,-6.0
-0.00198,-6.0
-0.001978,-6.0
-0.0019760000000000003,-5.6000000000000005
-0.001974,-6.0
-0.0019720000000000002,-5.6000000000000005
-0.00197,-5.6000000000000005
-0.001968,-5.2
-0.001966,-5.6000000000000005
-0.001964,-5.6000000000000005
-0.001962,-5.6000000000000005
-0.00196,-5.6000000000000005
-0.001958,-5.2
-0.0019560000000000003,-5.2
-0.001954,-5.2
-0.0019520000000000002,-5.2
-0.0019500000000000001,-5.2
-0.001948,-5.2
-0.001946,-4.800000000000001
-0.001944,-4.800000000000001
-0.0019420000000000001,-4.800000000000001
-0.00194,-4.800000000000001
-0.001938,-4.800000000000001
-0.0019360000000000002,-4.800000000000001
-0.001934,-4.800000000000001
-0.0019320000000000001,-4.4
-0.00193,-4.800000000000001
-0.001928,-4.4
-0.0019260000000000002,-4.4
-0.001924,-4.4
-0.001922,-4.4
-0.00192,-4.4
-0.001918,-4.0
-0.0019160000000000002,24.8
-0.0019140000000000001,24.400000000000002
-0.001912,24.400000000000002
-0.0019100000000000002,24.0
-0.001908,24.0
-0.0019060000000000001,24.0
-0.001904,23.6
-0.001902,23.6
-0.0019000000000000002,23.200000000000003
-0.001898,23.200000000000003
-0.0018960000000000001,22.8
-0.001894,22.8
-0.001892,22.8
-0.0018900000000000002,22.400000000000002
-0.001888,22.400000000000002
-0.001886,22.0
-0.001884,22.0
-0.001882,21.6
-0.0018800000000000002,21.6
-0.0018780000000000001,21.6
-0.001876,21.200000000000003
-0.0018740000000000002,21.200000000000003
-0.001872,20.8
-0.0018700000000000001,20.400000000000002
-0.001868,20.400000000000002
-0.001866,20.400000000000002
-0.0018640000000000002,20.0
-0.001862,20.0
-0.00186,20.0
-0.001858,20.0
-0.001856,19.200000000000003
-0.0018540000000000002,19.200000000000003
-0.0018520000000000001,19.200000000000003
-0.00185,18.8
-0.001848,18.8
-0.001846,18.8
-0.0018440000000000002,18.400000000000002
-0.001842,18.400000000000002
-0.00184,18.400000000000002
-0.0018380000000000002,18.0
-0.001836,18.0
-0.0018340000000000001,18.0
-0.001832,17.6
-0.00183,17.2
-0.0018280000000000002,17.6
-0.001826,17.2
-0.001824,17.2
-0.001822,16.8
-0.00182,16.8
-0.0018180000000000002,16.8
-0.0018160000000000001,16.400000000000002
-0.001814,16.400000000000002
-0.0018120000000000002,16.0
-0.00181,16.0
-0.0018080000000000001,16.0
-0.001806,16.0
-0.001804,15.600000000000001
-0.0018020000000000002,15.600000000000001
-0.0018,15.600000000000001
-0.0017980000000000001,15.200000000000001
-0.001796,15.200000000000001
-0.001794,14.8
-0.0017920000000000002,14.8
-0.00179,14.8
-0.001788,14.4
-0.001786,14.4
-0.001784,14.4
-0.0017820000000000002,14.4
-0.0017800000000000001,14.0
-0.001778,14.0
-0.0017760000000000002,14.0
-0.001774,13.600000000000001
-0.0017720000000000001,13.600000000000001
-0.00177,13.600000000000001
-0.001768,13.200000000000001
-0.0017660000000000002,13.200000000000001
-0.001764,13.200000000000001
-0.0017620000000000001,13.200000000000001
-0.00176,13.200000000000001
-0.001758,12.8
-0.0017560000000000002,12.8
-0.0017540000000000001,12.4
-0.001752,12.4
-0.00175,12.4
