1757738903,0000008000000040,27102287447,4839,1053
1757738904,0000000100000080,27113169842,4499,1054
1757738905,0000008000000020,27121776583,4228,1055
1757738905,0000000800000002,27125343537,4116,1056
1757738910,0000002000000010,27177267611,2501,1057
1757738911,0000000800000004,27182044636,2354,1058
1757738912,0000004000000001,27190341587,2103,1059
1757738913,0000000200000001,27200397719,1800,1060
1757738913,0000000800000001,27202730815,1728,1061
1757738915,0000000400000001,27221696567,1133,1062
1757738916,0000000200000010,27231734026,817,1063
1757738919,0000004000000080,27258506042,5159,1064
1757738927,0000000100000008,27342851854,2527,1065
1757738927,0000004000000002,27344621711,2474,1066
1757738930,0000008000000020,27368860019,1738,1067
1757738930,0000008000000004,27371616147,1653,1068
1757738930,0000008000000001,27374421062,1566,1069
1757738930,0000000800000080,27376397491,1504,1070
1757738935,0000000100000010,27421166482,5279,1071
1757738938,0000000800000020,27455905069,4191,1072
1757738948,0000000800000002,27550723606,1255,1073
1757738950,0000000400000001,27575114483,491,1074
1757738955,0000008000000080,27620402284,4254,1075
1757738958,0000000400000008,27656562676,3126,1076
1757738959,0000000400000020,27658765795,3058,1077
1757738959,0000002000000020,27667391907,2788,1078
1757738963,0000000800000080,27707986356,1547,1079
1757738966,0000000100000010,27732647717,771,1080
1757738968,0000000800000002,27753453457,5301,1081
1757738969,0000008000000010,27763009995,5000,1082
1757738969,0000000800000010,27765039237,4935,1083
1757738970,0000008000000002,27771541328,4734,1084
1757738972,0000000400000080,27788629651,4198,1085
1757738975,0000000100000002,27825206778,3059,1086
1757738976,0000000400000080,27836712815,2700,1087
1757738977,0000008000000040,27846641141,2393,1088
1757738981,0000000200000008,27884095425,1243,1089
1757738982,0000000200000020,27888450298,1106,1090
1757738982,0000000200000020,27893342785,952,1091
1757738986,0000000400000004,27936582798,4778,1092
1757738988,0000008000000001,27949331325,4380,1093
1757738990,0000008000000080,27971117600,3693,1094
1757738991,0000008000000020,27984890407,3268,1095
1757738992,0000000800000080,27991390010,3068,1096
1757738992,0000000800000004,27993032597,3016,1097
1757738993,0000004000000008,28001631987,2748,1098
1757738993,0000002000000080,28003643068,2686,1099
1757738995,0000000100000008,28019997086,2185,1100
1757738995,0000000800000020,28021595262,2136,1101
1757738999,0000000200000004,28066530282,741,1102
1757739000,0000008000000010,28069843773,638,1103
1757739001,0000000800000080,28082169853,249,1104
1757739002,0000000200000040,28088478630,5236,1105
1757739003,0000000400000001,28106375785,4674,1106
1757739012,0000008000000010,28188424633,2125,1107
1757739012,0000000800000008,28195443304,1913,1108
1757739013,0000002000000008,28203196108,1677,1109
1757739017,0000001000000002,28244874772,367,1110
1757739018,0000001000000040,28250164933,201,1111
1757739021,0000000200000002,28282282352,4380,1112
1757739022,0000000800000010,28290197097,4130,1113
1757739024,0000000800000020,28316191862,3318,1114
1757739025,0000008000000010,28328123907,2949,1115
1757739027,0000000800000002,28344313020,2446,1116
1757739027,0000008200000001,28345452269,2412,1117
1757739036,0000000200000008,28434378537,4828,1118
1757739041,0000001000000010,28483571597,3291,1119
1757739042,0000008000000080,28495754440,2914,1120
1757739042,0000000400000004,28496241709,2898,1121
1757739046,0000000200000004,28531009429,1834,1122
1757739047,0000001000000040,28547133716,1335,1123
1757739053,0000008000000001,28603631775,4742,1124
1757739054,0000002000000020,28609502157,4559,1125
1757739054,0000008000000008,28613156530,4445,1126
1757739055,0000004000000080,28618526928,4275,1127
1757739056,0000000200000002,28632977623,3817,1128
1757739057,0000000100000040,28643062646,3504,1129
1757739059,0000000200000008,28666413438,2782,1130
1757739062,0000002000000010,28689044313,2088,1131
1757739069,0000000400000080,28765140877,4895,1132
1757739072,0000002000000001,28789751327,4125,1133
1757739076,0000004000000040,28828908513,2907,1134
1757739079,0000008000000040,28861143317,1919,1135
1757739079,0000000800000040,28862136817,1889,1136
1757739080,0000004000000040,28877483676,1415,1137
1757739088,0000000100000020,28955195500,4157,1138
1757739088,0000000800000080,28956119867,4127,1139
1757739093,0000000100000008,29002014744,2699,1140
1757739095,0000000100000080,29019047112,2177,1141
1757739096,0000000800000080,29033225426,1748,1142
1757739096,0000004000000001,29034915088,1696,1143
1757739096,0000002000000008,29035721909,1672,1144
1757739098,0000000400000080,29049433399,1240,1145
1757739100,0000004000000080,29077454942,359,1146
1757739104,0000002000000008,29113073905,4427,1147
1757739106,0000000200000040,29134129479,3762,1148
1757739107,0000000100000001,29144114419,3454,1149
1757739108,0000000800000008,29151790260,3218,1150
1757739108,0000001000000020,29153440418,3167,1151
1757739112,0000000200000008,29190224586,2036,1152
1757739113,0000000200000001,29199782500,1746,1153
1757739114,0000000100000020,29211137571,1391,1154
1757739121,0000008000000020,29284850285,4260,1155
1757739121,0000000200000001,29286139495,4219,1156
1757739123,0000002000000008,29303441944,3675,1157
1757739124,0000000200000002,29314177436,3344,1158
1757739125,0000004000000001,29325012414,3009,1159
