,V_e,V_m,fase,Re,Im
68,0.24747474747474785,9.13054e-13,96.768,-1.07914e-13,9.06834e-13
69,0.28787878787878807,6.83901e-13,89.556,5.3291e-15,6.83901e-13
70,0.32828282828282873,1.01519e-12,103.938,-2.44695e-13,9.85441e-13
71,0.36868686868686895,7.88262e-13,53.37,4.70294e-13,6.32831e-13
72,0.40909090909090917,1.14087e-12,71.364,3.64599e-13,1.08092e-12
73,0.44949494949494984,1.00365e-12,74.22,2.72673e-13,9.65901e-13
74,0.48989898989899006,1.03518e-12,74.544,2.75781e-13,9.97875e-13
75,0.5303030303030307,1.26388e-12,62.688,5.7954e-13,1.12311e-12
76,0.5707070707070709,1.15597e-12,64.506,4.97383e-13,1.04317e-12
77,0.6111111111111112,1.41488e-12,57.396,7.62949e-13,1.19194e-12
78,0.6515151515151518,1.59029e-12,55.872,8.92179e-13,1.31629e-12
79,0.691919191919192,1.42154e-12,54.492,8.25565e-13,1.1573e-12
80,0.7323232323232327,1.9771e-12,54.612,1.14487e-12,1.61161e-12
81,0.7727272727272729,1.80523e-12,52.644,1.09558e-12,1.43486e-12
82,0.8131313131313136,1.94202e-12,52.614,1.17906e-12,1.54322e-12
83,0.8535353535353538,1.86785e-12,49.572,1.21148e-12,1.42198e-12
84,0.893939393939394,1.94646e-12,42.774,1.42864e-12,1.32162e-12
85,0.9343434343434347,2.33415e-12,48.438,1.54855e-12,1.74617e-12
86,0.9747474747474749,2.20803e-12,52.392,1.34737e-12,1.74883e-12
87,1.0151515151515156,2.03394e-12,51.66,1.26166e-12,1.59518e-12
88,1.0555555555555558,2.3186e-12,48.174,1.54588e-12,1.72751e-12
89,1.0959595959595965,2.3075e-12,43.452,1.67511e-12,1.58674e-12
90,1.1363636363636367,2.51933e-12,49.278,1.64314e-12,1.90915e-12
91,1.176767676767677,2.40964e-12,48.18,1.60672e-12,1.79546e-12
92,1.2171717171717176,2.73027e-12,46.506,1.87896e-12,1.98065e-12
93,1.2575757575757578,2.56241e-12,42.054,1.90249e-12,1.71641e-12
94,1.2979797979797985,2.51045e-12,50.862,1.58452e-12,1.9469e-12
95,1.3383838383838387,2.84885e-12,45.174,2.00863e-12,2.02062e-12
96,1.378787878787879,1.95267e-12,29.892,1.69288e-12,9.73006e-13
97,1.4191919191919196,2.56641e-12,67.98,9.62348e-13,2.37944e-12
98,1.4595959595959598,2.99007e-12,45.126,2.10944e-12,2.11876e-12
99,1.5,2.66055e-12,46.866,1.819e-12,1.94113e-12
