T,M,E,X,C
1.5,0.9865211915154273,-1.9511701536119386,0.026690178882571303,0.19729319699537642
1.6428571428571428,0.9758582560696689,-1.916200520562511,0.04705089299882482,0.2678854226027137
1.7857142857142856,0.9591726783008262,-1.8658953810138643,0.10156492493065274,0.3974760025323008
1.9285714285714286,0.931527783702236,-1.792311587067944,0.23682135060650084,0.6076761830601839
2.071428571428571,0.8835109927510764,-1.6885864564430237,0.7119502925334588,0.8902519151289733
2.2142857142857144,0.7620313981205054,-1.5250754755929645,6.625053270115733,1.5255187646940191
2.357142857142857,0.14949593439604728,-1.2581835047295948,46.232364986746774,1.3538218793934464
2.5,0.06220948979524426,-1.1056722314977547,9.339970095098765,0.8553688472826337
2.642857142857143,0.04238625222075393,-0.9996273516582208,4.00876538119272,0.6550585645586199
2.7857142857142856,0.034768646681402685,-0.9159215339228161,2.535215236115109,0.4927118125975421
2.9285714285714284,0.02877032238931885,-0.849793268660971,1.6833996735613364,0.4070464198292932
3.071428571428571,0.025189602444227143,-0.7905499980606709,1.2482450392094149,0.34176883814813896
3.2142857142857144,0.022919922726848646,-0.7396005183828177,0.9433467360863989,0.32490178232417627
3.3571428571428568,0.02197527093787704,-0.6967121233707265,0.7598016389236668,0.26735940032760835
3.5,0.020529273296332178,-0.6594754600101173,0.6828954351932731,0.2509704297334484
