,V_m,fase,Re,Im
0,9.09502e-13,101.31,-2.27375e-13,9.09502e-13
1,4.66119e-12,-33.462,3.86538e-12,-2.61481e-12
2,1.36425e-12,-90.0,0.0,-1.47794e-12
3,2.61481e-12,-75.618,5.68438e-13,-2.61481e-12
4,1.47794e-12,-52.122,9.09502e-13,-1.25056e-12
5,2.04638e-12,-95.526,-2.27375e-13,-2.16006e-12
6,2.61481e-12,-34.878,2.16006e-12,-1.59162e-12
7,3.29693e-12,-35.274,2.7285e-12,-2.04638e-12
8,1.93269e-12,-27.408,1.70531e-12,-1.02319e-12
9,3.86538e-12,-31.8,3.29693e-12,-2.16006e-12
10,2.16006e-12,29.538,1.93269e-12,1.02319e-12
11,1.47794e-12,-34.38,1.25056e-12,-9.09502e-13
12,5.91174e-12,-5.712,5.91174e-12,-6.82124e-13
13,3.41062e-12,2.202,3.41062e-12,1.13688e-13
14,3.52431e-12,-2.118,3.52431e-12,-2.27375e-13
15,5.00225e-12,-117.582,-2.38744e-12,-4.5475e-12
16,3.63801e-12,-1.02,3.63801e-12,-1.13688e-13
17,4.20644e-12,96.24,-5.68438e-13,4.20644e-12
18,1.02319e-12,-169.38,-1.13688e-12,-2.27375e-13
19,3.63801e-12,-23.334,3.29693e-12,-1.47794e-12
20,3.97907e-12,-5.712,3.97907e-12,-4.54751e-13
21,4.77487e-12,-56.31,2.61481e-12,-4.09275e-12
22,1.59162e-12,-94.572,-2.27375e-13,-1.70531e-12
23,3.29693e-12,-45.804,2.27375e-12,-2.50112e-12
24,2.84218e-12,-23.028,2.61481e-12,-1.13688e-12
25,3.52431e-12,-32.802,2.95587e-12,-2.04638e-12
26,2.04638e-12,-35.754,1.59162e-12,-1.25056e-12
27,4.54751e-13,-81.87,0.0,-5.68438e-13
28,2.04638e-12,-5.526,2.04638e-12,-2.27375e-13
29,2.38744e-12,-20.376,2.27375e-12,-9.09502e-13
30,4.20644e-12,-4.464,4.20644e-12,-3.41062e-13
31,2.50112e-12,-23.202,2.27375e-12,-1.02319e-12
32,1.70531e-12,-56.886,9.09502e-13,-1.59162e-12
33,4.77487e-12,-8.688,4.77487e-12,-7.95811e-13
34,1.59162e-12,60.252,7.95811e-13,1.36425e-12
35,4.88856e-12,0.774,4.88856e-12,0.0
36,5.79806e-12,-12.6,5.57068e-12,-1.36425e-12
37,6.82124e-12,16.698,6.59386e-12,1.93269e-12
38,6.36649e-12,0.594,6.36649e-12,0.0
39,5.57068e-12,18.432,5.34331e-12,1.70531e-12
40,8.18551e-12,-17.406,7.84445e-12,-2.50112e-12
41,5.91174e-12,-19.05,5.57068e-12,-2.04638e-12
42,4.32013e-12,8.88,4.20644e-12,5.68438e-13
43,4.20644e-12,-9.018,4.09275e-12,-6.82124e-13
44,6.2528e-12,-10.362,6.13912e-12,-1.13688e-12
45,5.34331e-12,7.122,5.22962e-12,5.68438e-13
46,6.59386e-12,-1.734,6.59386e-12,-2.27375e-13
47,1.33014e-11,-16.89,1.26193e-11,-3.97907e-12
48,1.40972e-11,-1.614,1.40972e-11,-4.54751e-13
49,9.095e-12,10.008,8.98132e-12,1.59162e-12
50,1.18235e-11,21.804,1.0914e-11,4.32013e-12
51,1.08003e-11,9.522,1.06866e-11,1.70531e-12
52,1.52341e-11,0.0,1.52341e-11,0.0
53,1.44383e-11,6.864,1.43246e-11,1.70531e-12
54,1.62573e-11,4.002,1.61436e-11,1.02319e-12
55,2.1828e-11,-0.522,2.1828e-11,-2.27375e-13
56,2.03501e-11,2.808,2.03501e-11,9.09502e-13
57,2.60344e-11,3.228,2.59207e-11,1.36425e-12
58,2.47838e-11,7.26,2.45565e-11,3.06956e-12
59,3.44473e-11,4.314,3.44473e-11,2.50112e-12
