,V_m,fase,Re,Im
0,1.25056e-12,-147.096,-1.13688e-12,-7.95811e-13
1,3.52431e-12,-95.292,-3.41062e-13,-3.63801e-12
2,2.27375e-13,-33.69,1.13688e-13,-2.27375e-13
3,1.59162e-12,-172.878,-1.70531e-12,-2.27375e-13
4,1.36425e-12,31.428,1.13688e-12,6.82124e-13
5,9.09502e-13,111.036,-3.41062e-13,7.95811e-13
6,6.82124e-13,-37.878,5.68438e-13,-5.68438e-13
7,0.0,-45.0,0.0,-1.13688e-13
8,2.38744e-12,-35.91,1.93269e-12,-1.47794e-12
9,1.70531e-12,-28.44,1.59162e-12,-9.09502e-13
10,1.47794e-12,-61.188,6.82124e-13,-1.36425e-12
11,1.70531e-12,-74.358,4.54751e-13,-1.70531e-12
12,2.04638e-12,-114.144,-9.09502e-13,-2.04638e-12
13,1.25056e-12,-117.9,-6.82124e-13,-1.13688e-12
14,3.41062e-12,-73.302,9.09502e-13,-3.41062e-12
15,2.38744e-12,-25.866,2.16006e-12,-1.13688e-12
16,2.04638e-12,-19.026,1.93269e-12,-6.82124e-13
17,1.93269e-12,33.69,1.59162e-12,1.02319e-12
18,3.29693e-12,37.776,2.61481e-12,2.04638e-12
19,7.95811e-13,-4.764,7.95811e-13,-1.13688e-13
20,4.43381e-12,-4.206,4.43381e-12,-3.41062e-13
21,2.7285e-12,-85.812,1.13688e-13,-2.84218e-12
22,2.16006e-12,-158.838,-2.16006e-12,-9.09502e-13
23,4.20644e-12,-0.894,4.20644e-12,-1.13688e-13
24,2.50112e-12,-5.856,2.50112e-12,-3.41062e-13
25,2.7285e-12,-46.908,1.93269e-12,-2.16006e-12
26,2.50112e-12,-43.956,1.819e-12,-1.819e-12
27,2.38744e-12,-62.022,1.02319e-12,-2.16006e-12
28,6.02543e-12,-23.772,5.57068e-12,-2.50112e-12
29,4.54751e-13,-60.252,2.27375e-13,-5.68438e-13
30,4.09275e-12,10.062,4.09275e-12,6.82124e-13
31,3.63801e-12,-29.748,3.18325e-12,-1.93269e-12
32,4.09275e-12,-36.504,3.29693e-12,-2.50112e-12
33,2.61481e-12,11.592,2.50112e-12,4.54751e-13
34,3.86538e-12,-37.266,2.95587e-12,-2.38744e-12
35,2.95587e-12,9.042,2.84218e-12,4.54751e-13
36,5.68437e-12,-35.538,4.66119e-12,-3.41062e-12
37,4.43381e-12,-50.412,2.84218e-12,-3.52431e-12
38,3.63801e-12,-29.358,3.18325e-12,-1.819e-12
39,3.63801e-12,-27.948,3.18325e-12,-1.819e-12
40,4.09275e-12,-4.608,4.09275e-12,-3.41062e-13
41,2.95587e-12,16.458,2.84218e-12,7.95811e-13
42,5.11594e-12,-7.398,5.11594e-12,-6.82124e-13
43,2.04638e-12,18.432,1.93269e-12,5.68438e-13
44,4.66119e-12,-13.842,4.5475e-12,-1.13688e-12
45,5.00225e-12,18.432,4.77487e-12,1.59162e-12
46,5.11594e-12,-7.494,5.00225e-12,-6.82124e-13
47,4.43381e-12,0.858,4.43381e-12,0.0
48,5.457e-12,-8.328,5.457e-12,-9.09502e-13
49,4.20644e-12,-12.726,4.09275e-12,-1.02319e-12
50,5.79806e-12,-11.82,5.68437e-12,-1.25056e-12
51,9.32238e-12,-15.72,8.98132e-12,-2.61481e-12
52,9.54975e-12,6.78,9.43606e-12,1.02319e-12
53,9.43606e-12,1.212,9.43606e-12,1.13688e-13
54,1.01182e-11,-2.616,1.01182e-11,-5.68438e-13
55,1.15961e-11,-1.308,1.15961e-11,-3.41062e-13
56,1.25056e-11,6.372,1.25056e-11,1.36425e-12
57,1.11414e-11,7.17,1.10277e-11,1.36425e-12
58,1.3074e-11,2.034,1.3074e-11,4.54751e-13
59,1.59163e-11,11.592,1.55752e-11,3.18325e-12
