,V_m,fase,Re,Im
0,2.27375e-13,104.034,-1.13688e-13,2.27375e-13
1,2.27375e-13,-104.034,-1.13688e-13,-3.41062e-13
2,3.18325e-12,-21.372,2.95587e-12,-1.25056e-12
3,2.27375e-12,28.74,2.04638e-12,1.02319e-12
4,1.819e-12,-109.092,-6.82124e-13,-1.819e-12
5,2.16006e-12,-27.348,1.93269e-12,-1.02319e-12
6,3.63801e-12,3.12,3.63801e-12,1.13688e-13
7,3.86538e-12,18.738,3.63801e-12,1.25056e-12
8,2.16006e-12,-64.98,9.09502e-13,-2.04638e-12
9,2.50112e-12,-60.804,1.25056e-12,-2.27375e-12
10,3.29693e-12,-62.406,1.47794e-12,-2.95587e-12
11,4.09275e-12,2.724,4.09275e-12,1.13688e-13
12,3.41062e-12,-36.432,2.7285e-12,-2.16006e-12
13,4.5475e-12,-10.008,4.43381e-12,-9.09502e-13
14,3.86538e-12,-20.898,3.63801e-12,-1.47794e-12
15,4.09275e-12,-24.906,3.63801e-12,-1.819e-12
16,6.36649e-12,-8.382,6.2528e-12,-1.02319e-12
17,3.06956e-12,21.126,2.84218e-12,1.02319e-12
18,3.63801e-12,-36.252,2.95587e-12,-2.27375e-12
19,3.52431e-12,5.292,3.52431e-12,2.27375e-13
20,4.66119e-12,-14.034,4.43381e-12,-1.13688e-12
21,4.88856e-12,-3.864,4.88856e-12,-3.41062e-13
22,9.20869e-12,-2.058,9.20869e-12,-3.41062e-13
23,8.41288e-12,11.844,8.18551e-12,1.70531e-12
24,6.59386e-12,-15.156,6.36649e-12,-1.819e-12
25,6.48018e-12,1.17,6.48018e-12,1.13688e-13
26,6.13912e-12,-12.996,6.02543e-12,-1.47794e-12
27,1.20509e-11,0.312,1.20509e-11,0.0
28,5.79806e-12,6.558,5.79806e-12,5.68438e-13
29,9.77712e-12,16.104,9.43606e-12,2.7285e-12
30,1.00045e-11,-5.712,9.89081e-12,-1.02319e-12
31,1.21645e-11,-9.36,1.20509e-11,-2.04638e-12
32,1.25056e-11,-0.306,1.25056e-11,-1.13688e-13
33,1.43246e-11,9.108,1.40972e-11,2.16006e-12
34,1.35288e-11,6.498,1.34151e-11,1.47794e-12
35,1.80763e-11,6.966,1.79626e-11,2.16006e-12
36,1.83037e-11,-1.248,1.83037e-11,-4.54751e-13
37,1.90995e-11,0.396,1.90995e-11,1.13688e-13
38,2.30785e-11,6.45,2.29649e-11,2.50112e-12
39,2.29649e-11,6.654,2.28512e-11,2.61481e-12
40,2.7285e-11,2.784,2.7285e-11,1.25056e-12
41,2.88766e-11,9.552,2.84218e-11,4.77487e-12
42,3.35378e-11,2.16,3.35378e-11,1.25056e-12
43,3.69484e-11,5.484,3.67211e-11,3.52431e-12
44,4.02454e-11,6.078,4.0018e-11,4.20644e-12
45,4.3656e-11,2.358,4.3656e-11,1.70531e-12
46,4.38833e-11,6.618,4.3656e-11,5.00225e-12
47,4.67255e-11,3.846,4.64981e-11,3.06956e-12
48,4.95677e-11,3.084,4.9454e-11,2.61481e-12
49,5.40015e-11,4.74,5.37741e-11,4.43381e-12
