,V_m,fase,Re,Im
0,2.84218e-12,-28.302,2.50112e-12,-1.47794e-12
1,9.09502e-13,-61.698,4.54751e-13,-9.09502e-13
2,9.09502e-13,36.87,7.95811e-13,5.68438e-13
3,2.84218e-12,-14.676,2.7285e-12,-7.95811e-13
4,3.52431e-12,12.996,3.41062e-12,7.95811e-13
5,2.61481e-12,-42.954,1.93269e-12,-1.819e-12
6,4.20644e-12,-9.906,4.09275e-12,-7.95811e-13
7,4.88856e-12,-42.798,3.52431e-12,-3.41062e-12
8,3.52431e-12,-117.51,-1.70531e-12,-3.29693e-12
9,4.09275e-12,-37.236,3.29693e-12,-2.61481e-12
10,2.7285e-12,-45.0,1.93269e-12,-2.04638e-12
11,3.86538e-12,-37.266,2.95587e-12,-2.38744e-12
12,4.32013e-12,-59.184,2.16006e-12,-3.86538e-12
13,2.04638e-12,12.726,2.04638e-12,4.54751e-13
14,2.7285e-12,-38.232,2.16006e-12,-1.819e-12
15,3.86538e-12,-11.886,3.75169e-12,-9.09502e-13
16,9.09502e-13,-118.302,-5.68438e-13,-9.09502e-13
17,2.50112e-12,7.308,2.50112e-12,2.27375e-13
18,2.04638e-12,24.906,1.819e-12,7.95811e-13
19,5.57068e-12,-49.842,3.52431e-12,-4.32013e-12
20,5.91174e-12,-29.43,5.11594e-12,-2.95587e-12
21,5.00225e-12,-18.432,4.77487e-12,-1.70531e-12
22,4.43381e-12,-49.212,2.84218e-12,-3.41062e-12
23,6.02543e-12,-0.624,6.02543e-12,-1.13688e-13
24,5.79806e-12,-45.0,4.09275e-12,-4.20644e-12
25,5.68437e-12,-18.228,5.457e-12,-1.819e-12
26,4.88856e-12,-2.322,4.88856e-12,-2.27375e-13
27,8.75394e-12,4.728,8.75394e-12,6.82124e-13
28,3.63801e-12,11.514,3.52431e-12,6.82124e-13
29,6.82124e-12,-26.562,6.02543e-12,-3.06956e-12
30,7.04861e-12,-18.096,6.70755e-12,-2.27375e-12
31,3.63801e-12,-19.722,3.52431e-12,-1.36425e-12
32,8.18551e-12,-12.126,7.95813e-12,-1.819e-12
33,7.84445e-12,-0.48,7.84445e-12,-1.13688e-13
34,1.0914e-11,-8.718,1.08003e-11,-1.70531e-12
35,1.15961e-11,5.94,1.14824e-11,1.13688e-12
36,1.50068e-11,2.28,1.50068e-11,5.68438e-13
37,1.35288e-11,7.65,1.33014e-11,1.70531e-12
38,1.819e-11,5.25,1.80763e-11,1.59162e-12
39,2.10322e-11,-1.266,2.10322e-11,-5.68438e-13
40,2.25101e-11,-2.868,2.25101e-11,-1.13688e-12
41,2.20554e-11,7.47,2.1828e-11,2.84218e-12
42,2.55796e-11,4.626,2.5466e-11,2.04638e-12
43,2.78534e-11,4.242,2.78534e-11,2.04638e-12
44,3.03546e-11,0.252,3.03546e-11,1.13688e-13
45,3.25147e-11,4.452,3.25147e-11,2.50112e-12
46,3.61526e-11,3.69,3.61526e-11,2.27375e-12
47,3.61526e-11,4.326,3.60389e-11,2.7285e-12
48,3.70621e-11,4.842,3.69484e-11,3.06956e-12
49,3.79716e-11,1.506,3.79716e-11,9.09502e-13
