,V_m,fase,Re,Im
0,2.84218e-12,-40.314,2.16006e-12,-1.93269e-12
1,2.16006e-12,48.654,1.36425e-12,1.59162e-12
2,5.457e-12,19.98,5.11594e-12,1.819e-12
3,5.22962e-12,-15.252,5.11594e-12,-1.47794e-12
4,4.43381e-12,-3.42,4.43381e-12,-3.41062e-13
5,4.20644e-12,-32.196,3.52431e-12,-2.27375e-12
6,5.34331e-12,-6.42,5.22962e-12,-6.82124e-13
7,6.13912e-12,-17.466,5.91174e-12,-1.93269e-12
8,3.41062e-12,11.094,3.29693e-12,5.68438e-13
9,6.13912e-12,18.822,5.79806e-12,1.93269e-12
10,5.91174e-12,-17.43,5.68437e-12,-1.819e-12
11,7.95813e-12,-2.388,7.95813e-12,-3.41062e-13
12,7.04861e-12,-16.392,6.70755e-12,-2.04638e-12
13,6.93492e-12,1.638,6.93492e-12,1.13688e-13
14,4.88856e-12,3.864,4.88856e-12,2.27375e-13
15,8.29919e-12,7.806,8.18551e-12,1.02319e-12
16,6.36649e-12,-1.788,6.36649e-12,-2.27375e-13
17,6.02543e-12,-4.35,6.02543e-12,-5.68438e-13
18,6.59386e-12,-15.708,6.36649e-12,-1.819e-12
19,6.82124e-12,-21.594,6.36649e-12,-2.61481e-12
20,7.27601e-12,-5.196,7.27601e-12,-6.82124e-13
21,6.59386e-12,-13.338,6.36649e-12,-1.59162e-12
22,8.29919e-12,16.134,7.95813e-12,2.27375e-12
23,9.54975e-12,18.186,9.095e-12,2.95587e-12
24,1.04592e-11,-11.382,1.02319e-11,-2.16006e-12
25,9.77712e-12,-1.158,9.77712e-12,-2.27375e-13
26,1.08003e-11,3.864,1.08003e-11,6.82124e-13
27,5.57068e-12,-1.35,5.57068e-12,-2.27375e-13
28,1.18235e-11,1.92,1.18235e-11,3.41062e-13
29,1.05729e-11,5.388,1.05729e-11,9.09502e-13
30,1.62573e-11,-0.468,1.62573e-11,-2.27375e-13
31,1.603e-11,6.918,1.59163e-11,1.93269e-12
32,1.55752e-11,6.882,1.54615e-11,1.819e-12
33,1.90995e-11,3.39,1.90995e-11,1.02319e-12
34,2.04637e-11,5.802,2.02364e-11,2.04638e-12
35,2.3647e-11,4.188,2.3647e-11,1.70531e-12
36,2.56933e-11,3.42,2.55796e-11,1.47794e-12
37,3.28557e-11,7.11,3.25147e-11,3.97907e-12
38,3.06957e-11,1.242,3.06957e-11,5.68438e-13
39,3.79716e-11,4.224,3.78579e-11,2.7285e-12
40,4.30875e-11,6.924,4.27465e-11,5.11594e-12
41,4.57023e-11,4.176,4.55886e-11,3.29693e-12
42,4.86582e-11,7.866,4.82034e-11,6.59386e-12
43,5.1273e-11,4.92,5.10456e-11,4.32013e-12
44,6.26419e-11,3.354,6.25282e-11,3.63801e-12
45,6.37788e-11,4.668,6.35514e-11,5.11594e-12
46,6.76441e-11,2.538,6.75304e-11,2.95587e-12
47,7.35558e-11,7.332,7.29874e-11,9.32238e-12
48,7.53748e-11,4.614,7.51474e-11,6.02543e-12
49,8.29918e-11,3.96,8.27645e-11,5.68437e-12
