,V_m,fase,Re,Im
0,2.50112e-12,-91.47,-1.13688e-13,-2.61481e-12
1,1.02319e-12,120.966,-6.82124e-13,9.09502e-13
2,2.38744e-12,3.096,2.38744e-12,1.13688e-13
3,3.41062e-13,-99.462,-1.13688e-13,-4.54751e-13
4,4.43381e-12,-22.752,4.09275e-12,-1.819e-12
5,2.95587e-12,-28.812,2.61481e-12,-1.47794e-12
6,2.16006e-12,-52.122,1.36425e-12,-1.819e-12
7,1.47794e-12,113.202,-6.82124e-13,1.36425e-12
8,2.84218e-12,-35.538,2.27375e-12,-1.70531e-12
9,6.82124e-13,10.308,6.82124e-13,1.13688e-13
10,5.11594e-12,-29.838,4.43381e-12,-2.61481e-12
11,5.22962e-12,-66.99,2.04638e-12,-4.88856e-12
12,1.93269e-12,36.468,1.47794e-12,1.02319e-12
13,6.2528e-12,-115.2,-2.7285e-12,-5.68437e-12
14,6.82124e-13,-56.31,3.41062e-13,-6.82124e-13
15,1.70531e-12,-15.642,1.59162e-12,-5.68438e-13
16,3.52431e-12,-11.724,3.52431e-12,-7.95811e-13
17,2.7285e-12,11.31,2.61481e-12,4.54751e-13
18,5.68438e-13,150.948,-6.82124e-13,2.27375e-13
19,2.50112e-12,-73.008,6.82124e-13,-2.50112e-12
20,3.97907e-12,-24.06,3.63801e-12,-1.70531e-12
21,7.95811e-13,-85.236,0.0,-9.09502e-13
22,3.75169e-12,-83.988,3.41062e-13,-3.86538e-12
23,3.86538e-12,-54.12,2.16006e-12,-3.18325e-12
24,2.16006e-12,-1.734,2.16006e-12,-1.13688e-13
25,4.20644e-12,-50.082,2.7285e-12,-3.29693e-12
26,3.29693e-12,61.926,1.59162e-12,2.95587e-12
27,2.61481e-12,-75.618,5.68438e-13,-2.61481e-12
28,3.63801e-12,-37.692,2.84218e-12,-2.27375e-12
29,2.38744e-12,35.91,1.93269e-12,1.36425e-12
30,3.18325e-12,-18.06,2.95587e-12,-1.02319e-12
31,2.50112e-12,-7.494,2.50112e-12,-3.41062e-13
32,3.86538e-12,-25.68,3.41062e-12,-1.70531e-12
33,6.36649e-12,-16.758,6.13912e-12,-1.93269e-12
34,2.50112e-12,23.202,2.27375e-12,9.09502e-13
35,5.57068e-12,-26.262,4.88856e-12,-2.50112e-12
36,6.59386e-12,-9.27,6.48018e-12,-1.13688e-12
37,4.32013e-12,-17.04,4.09275e-12,-1.36425e-12
38,8.29919e-12,-35.328,6.82124e-12,-4.88856e-12
39,4.32013e-12,-14.874,4.20644e-12,-1.13688e-12
40,5.57068e-12,-8.904,5.457e-12,-9.09502e-13
41,5.22962e-12,5.004,5.22962e-12,4.54751e-13
42,5.91174e-12,19.05,5.57068e-12,1.93269e-12
43,5.57068e-12,13.548,5.457e-12,1.25056e-12
44,7.95813e-12,-16.926,7.61707e-12,-2.38744e-12
45,5.91174e-12,35.094,4.88856e-12,3.41062e-12
46,1.03456e-11,-10.734,1.01182e-11,-2.04638e-12
47,1.25056e-11,-2.724,1.25056e-11,-6.82124e-13
48,8.18551e-12,-5.112,8.18551e-12,-7.95811e-13
49,1.20509e-11,2.214,1.20509e-11,4.54751e-13
50,1.75079e-11,6.774,1.73942e-11,2.04638e-12
51,9.66344e-12,3.942,9.66344e-12,5.68438e-13
52,1.29604e-11,20.112,1.21645e-11,4.43381e-12
53,1.34151e-11,-9.972,1.31877e-11,-2.38744e-12
54,1.603e-11,10.518,1.56889e-11,2.84218e-12
55,1.48931e-11,-4.848,1.48931e-11,-1.36425e-12
56,1.90995e-11,6.606,1.89858e-11,2.16006e-12
57,1.78489e-11,1.068,1.78489e-11,2.27375e-13
58,1.85311e-11,5.142,1.85311e-11,1.59162e-12
59,2.02364e-11,1.698,2.02364e-11,5.68438e-13
