,V_m,fase,Re,Im
0,7.95811e-13,-102.996,-2.27375e-13,-9.09502e-13
1,4.43381e-12,-76.17,1.02319e-12,-4.43381e-12
2,2.38744e-12,-82.302,2.27375e-13,-2.50112e-12
3,3.29693e-12,34.626,2.7285e-12,1.93269e-12
4,5.68438e-13,-16.698,5.68438e-13,-2.27375e-13
5,7.95811e-13,-124.992,-5.68438e-13,-6.82124e-13
6,7.27601e-12,19.584,6.82124e-12,2.38744e-12
7,2.61481e-12,1.434,2.61481e-12,0.0
8,1.36425e-12,-25.344,1.25056e-12,-6.82124e-13
9,4.66119e-12,28.74,4.09275e-12,2.16006e-12
10,3.41062e-12,-41.904,2.50112e-12,-2.38744e-12
11,1.02319e-12,-118.074,-5.68438e-13,-1.02319e-12
12,4.20644e-12,-13.602,4.09275e-12,-1.02319e-12
13,4.66119e-12,-32.346,3.97907e-12,-2.61481e-12
14,1.70531e-12,-69.444,5.68438e-13,-1.70531e-12
15,2.84218e-12,-75.648,6.82124e-13,-2.95587e-12
16,1.70531e-12,152.448,-1.59162e-12,7.95811e-13
17,4.32013e-12,-22.62,3.97907e-12,-1.70531e-12
18,5.22962e-12,2.862,5.22962e-12,2.27375e-13
19,2.04638e-12,-3.69,2.04638e-12,-2.27375e-13
20,2.04638e-12,-90.0,0.0,-2.16006e-12
21,2.84218e-12,-58.134,1.47794e-12,-2.50112e-12
22,5.57068e-12,12.378,5.457e-12,1.13688e-12
23,2.27375e-13,146.31,-2.27375e-13,1.13688e-13
24,7.84445e-12,13.212,7.61707e-12,1.70531e-12
25,2.95587e-12,27.12,2.7285e-12,1.36425e-12
26,2.27375e-12,-50.826,1.36425e-12,-1.819e-12
27,5.11594e-12,2.934,5.11594e-12,2.27375e-13
28,5.79806e-12,-17.394,5.457e-12,-1.819e-12
29,1.36425e-12,-13.392,1.36425e-12,-3.41062e-13
30,4.77487e-12,40.008,3.63801e-12,3.06956e-12
31,7.04861e-12,-33.09,5.91174e-12,-3.97907e-12
32,4.43381e-12,32.736,3.63801e-12,2.38744e-12
33,4.77487e-12,-3.18,4.77487e-12,-3.41062e-13
34,3.52431e-12,-25.602,3.18325e-12,-1.59162e-12
35,1.25056e-12,86.988,0.0,1.25056e-12
36,4.66119e-12,-25.842,4.20644e-12,-2.16006e-12
37,1.59162e-12,-46.638,1.02319e-12,-1.25056e-12
38,4.43381e-12,13.626,4.32013e-12,1.02319e-12
39,3.41062e-12,-28.524,2.95587e-12,-1.70531e-12
40,6.70755e-12,-34.626,5.57068e-12,-3.97907e-12
41,4.20644e-12,-2.682,4.20644e-12,-2.27375e-13
42,4.5475e-12,32.532,3.86538e-12,2.38744e-12
43,3.86538e-12,-19.056,3.63801e-12,-1.36425e-12
44,8.29919e-12,6.444,8.18551e-12,9.09502e-13
45,5.79806e-12,1.302,5.79806e-12,1.13688e-13
46,7.73076e-12,15.948,7.3897e-12,2.04638e-12
47,9.66344e-12,-10.692,9.43606e-12,-1.819e-12
48,9.20869e-12,-12.84,8.98132e-12,-2.16006e-12
49,6.93492e-12,-1.638,6.93492e-12,-2.27375e-13
50,1.53478e-11,8.73,1.51205e-11,2.27375e-12
51,1.37562e-11,-0.276,1.37562e-11,-1.13688e-13
52,1.22782e-11,-3.096,1.22782e-11,-6.82124e-13
53,1.67121e-11,-5.712,1.65984e-11,-1.70531e-12
54,1.58026e-11,2.166,1.58026e-11,5.68438e-13
55,1.28467e-11,0.594,1.28467e-11,1.13688e-13
56,1.68258e-11,-5.442,1.67121e-11,-1.70531e-12
57,1.59163e-11,4.566,1.58026e-11,1.25056e-12
58,1.62573e-11,-0.468,1.62573e-11,-2.27375e-13
59,1.76216e-11,-1.506,1.76216e-11,-5.68438e-13
