,V_m,fase,Re,Im
0,5.68438e-13,84.288,0.0,5.68438e-13
1,1.59162e-12,-101.766,-3.41062e-13,-1.70531e-12
2,4.54751e-13,-26.562,3.41062e-13,-2.27375e-13
3,5.11594e-12,-61.092,2.38744e-12,-4.5475e-12
4,2.27375e-13,14.034,2.27375e-13,0.0
5,4.09275e-12,-0.924,4.09275e-12,-1.13688e-13
6,4.32013e-12,-112.284,-1.70531e-12,-4.09275e-12
7,2.50112e-12,-63.438,1.02319e-12,-2.27375e-12
8,4.43381e-12,-69.444,1.59162e-12,-4.32013e-12
9,1.36425e-12,-50.526,9.09502e-13,-1.13688e-12
10,4.88856e-12,-33.474,4.09275e-12,-2.84218e-12
11,2.7285e-12,15.018,2.7285e-12,6.82124e-13
12,1.25056e-12,-177.138,-1.36425e-12,-1.13688e-13
13,2.61481e-12,-61.506,1.25056e-12,-2.38744e-12
14,3.41062e-12,-14.574,3.29693e-12,-9.09502e-13
15,4.54751e-13,-66.798,1.13688e-13,-5.68438e-13
16,3.63801e-12,-41.286,2.7285e-12,-2.50112e-12
17,1.70531e-12,-169.506,-1.819e-12,-3.41062e-13
18,3.29693e-12,-77.592,6.82124e-13,-3.41062e-12
19,1.93269e-12,-1.974,1.93269e-12,-1.13688e-13
20,3.86538e-12,-11.688,3.86538e-12,-9.09502e-13
21,6.82124e-13,-5.196,6.82124e-13,-1.13688e-13
22,1.36425e-12,2.724,1.36425e-12,0.0
23,3.86538e-12,11.688,3.86538e-12,7.95811e-13
24,1.36425e-12,-68.196,4.54751e-13,-1.36425e-12
25,2.7285e-12,4.188,2.7285e-12,1.13688e-13
26,5.457e-12,-9.12,5.34331e-12,-9.09502e-13
27,3.52431e-12,3.24,3.52431e-12,1.13688e-13
28,3.18325e-12,-66.642,1.25056e-12,-2.95587e-12
29,5.457e-12,-50.904,3.41062e-12,-4.32013e-12
30,6.93492e-12,13.77,6.70755e-12,1.59162e-12
31,4.20644e-12,48.144,2.84218e-12,3.18325e-12
32,3.41062e-12,-53.568,2.04638e-12,-2.84218e-12
33,2.38744e-12,-12.528,2.38744e-12,-5.68438e-13
34,2.61481e-12,-18.888,2.50112e-12,-9.09502e-13
35,6.59386e-12,31.158,5.68437e-12,3.41062e-12
36,6.93492e-12,-29.748,6.02543e-12,-3.52431e-12
37,5.57068e-12,-31.428,4.77487e-12,-2.95587e-12
38,4.77487e-12,10.374,4.66119e-12,7.95811e-13
39,2.95587e-12,-62.88,1.36425e-12,-2.84218e-12
40,7.95813e-12,-43.998,5.79806e-12,-5.68437e-12
41,5.457e-12,13.2,5.34331e-12,1.25056e-12
42,6.02543e-12,9.462,5.91174e-12,9.09502e-13
43,9.43606e-12,-24.042,8.64026e-12,-3.97907e-12
44,5.57068e-12,8.904,5.457e-12,7.95811e-13
45,6.13912e-12,-13.734,5.91174e-12,-1.47794e-12
46,8.52657e-12,24.966,7.73076e-12,3.52431e-12
47,1.25056e-11,-5.772,1.25056e-11,-1.36425e-12
48,1.25056e-11,-3.348,1.25056e-11,-7.95811e-13
49,1.12551e-11,12.966,1.0914e-11,2.50112e-12
50,1.05729e-11,-10.05,1.04592e-11,-1.93269e-12
51,1.28467e-11,-11.886,1.26193e-11,-2.7285e-12
52,1.59163e-11,-3.846,1.58026e-11,-1.13688e-12
53,1.819e-11,-6.708,1.80763e-11,-2.16006e-12
54,1.93269e-11,2.766,1.93269e-11,9.09502e-13
55,2.17143e-11,7.038,2.14869e-11,2.61481e-12
56,2.04637e-11,10.872,2.01227e-11,3.86538e-12
57,2.09185e-11,-3.654,2.08048e-11,-1.36425e-12
58,2.38743e-11,-1.752,2.3988e-11,-7.95811e-13
59,2.17143e-11,7.584,2.14869e-11,2.84218e-12
