,V_m,fase,Re,Im
0,1.93269e-12,-150.018,-1.819e-12,-1.02319e-12
1,4.77487e-12,-29.052,4.09275e-12,-2.38744e-12
2,2.50112e-12,-40.764,1.93269e-12,-1.70531e-12
3,3.86538e-12,-6.768,3.86538e-12,-5.68438e-13
4,4.54751e-13,-90.0,0.0,-5.68438e-13
5,2.7285e-12,-77.622,5.68438e-13,-2.84218e-12
6,3.86538e-12,-7.854,3.86538e-12,-5.68438e-13
7,5.68438e-13,84.288,0.0,5.68438e-13
8,3.18325e-12,-34.02,2.61481e-12,-1.819e-12
9,2.95587e-12,24.864,2.7285e-12,1.25056e-12
10,5.11594e-12,-7.494,5.00225e-12,-6.82124e-13
11,2.84218e-12,-5.196,2.84218e-12,-3.41062e-13
12,5.79806e-12,-25.098,5.22962e-12,-2.50112e-12
13,4.77487e-12,34.344,3.97907e-12,2.7285e-12
14,5.11594e-12,12.606,5.00225e-12,1.02319e-12
15,5.34331e-12,-6.42,5.22962e-12,-6.82124e-13
16,2.84218e-12,-84.804,2.27375e-13,-2.95587e-12
17,5.22962e-12,-6.582,5.11594e-12,-6.82124e-13
18,5.457e-12,11.85,5.34331e-12,1.02319e-12
19,3.41062e-12,-5.49,3.41062e-12,-3.41062e-13
20,5.91174e-12,8.94,5.91174e-12,9.09502e-13
21,5.457e-12,-13.362,5.22962e-12,-1.36425e-12
22,7.1623e-12,-13.392,6.93492e-12,-1.70531e-12
23,4.5475e-12,-7.542,4.43381e-12,-6.82124e-13
24,7.3897e-12,4.596,7.3897e-12,5.68438e-13
25,6.59386e-12,-4.572,6.59386e-12,-5.68438e-13
26,7.61707e-12,4.476,7.61707e-12,5.68438e-13
27,8.75394e-12,-10.032,8.64026e-12,-1.59162e-12
28,7.73076e-12,0.0,7.73076e-12,0.0
29,8.18551e-12,-0.462,8.18551e-12,-1.13688e-13
30,1.00045e-11,6.468,9.89081e-12,1.02319e-12
31,1.01182e-11,-5.67,1.00045e-11,-1.02319e-12
32,1.01182e-11,-2.634,1.01182e-11,-5.68438e-13
33,8.98132e-12,1.272,8.98132e-12,1.13688e-13
34,1.36425e-11,9.51,1.35288e-11,2.16006e-12
35,1.48931e-11,-6.144,1.47794e-11,-1.70531e-12
36,1.40972e-11,4.608,1.39835e-11,1.02319e-12
37,1.75079e-11,-2.166,1.75079e-11,-6.82124e-13
38,1.97816e-11,0.0,1.97816e-11,0.0
39,2.26238e-11,6.228,2.25101e-11,2.38744e-12
40,2.41017e-11,6.99,2.38743e-11,2.84218e-12
41,2.52386e-11,-0.15,2.52386e-11,-1.13688e-13
42,2.73986e-11,1.53,2.73986e-11,6.82124e-13
43,3.00135e-11,6.114,2.97862e-11,3.18325e-12
44,3.33105e-11,6.414,3.31968e-11,3.63801e-12
45,3.76306e-11,2.844,3.75169e-11,1.819e-12
46,4.0018e-11,7.926,3.96769e-11,5.457e-12
47,4.05864e-11,3.57,4.05864e-11,2.50112e-12
48,4.33149e-11,4.404,4.32012e-11,3.29693e-12
49,4.57023e-11,7.692,4.53613e-11,6.02543e-12
