,V_m,fase,Re,Im
0,1.02319e-12,-135.0,-7.95811e-13,-7.95811e-13
1,3.52431e-12,-152.49,-3.29693e-12,-1.70531e-12
2,1.59162e-12,-90.0,0.0,-1.70531e-12
3,2.16006e-12,-42.612,1.59162e-12,-1.59162e-12
4,2.04638e-12,-159.228,-2.04638e-12,-7.95811e-13
5,1.93269e-12,-84.096,1.13688e-13,-2.04638e-12
6,2.38744e-12,-11.31,2.27375e-12,-5.68438e-13
7,1.25056e-12,-57.096,6.82124e-13,-1.13688e-12
8,2.04638e-12,-32.196,1.70531e-12,-1.13688e-12
9,1.59162e-12,-116.562,-7.95811e-13,-1.47794e-12
10,2.7285e-12,30.966,2.27375e-12,1.36425e-12
11,1.93269e-12,-15.42,1.93269e-12,-5.68438e-13
12,2.50112e-12,-73.008,6.82124e-13,-2.50112e-12
13,2.16006e-12,-62.652,9.09502e-13,-2.04638e-12
14,2.04638e-12,-77.274,4.54751e-13,-2.16006e-12
15,9.09502e-13,140.712,-7.95811e-13,5.68438e-13
16,7.95811e-13,-51.342,4.54751e-13,-6.82124e-13
17,2.38744e-12,-38.418,1.93269e-12,-1.59162e-12
18,1.36425e-12,-35.838,1.13688e-12,-9.09502e-13
19,2.84218e-12,-54.462,1.59162e-12,-2.38744e-12
20,1.25056e-12,-110.226,-5.68438e-13,-1.36425e-12
21,1.25056e-12,-104.742,-3.41062e-13,-1.36425e-12
22,2.7285e-12,-21.036,2.50112e-12,-1.02319e-12
23,6.82124e-13,-52.122,4.54751e-13,-6.82124e-13
24,1.13688e-12,3.18,1.13688e-12,0.0
25,2.38744e-12,-23.808,2.16006e-12,-1.02319e-12
26,4.54751e-13,-74.052,1.13688e-13,-5.68438e-13
27,1.819e-12,-47.862,1.25056e-12,-1.47794e-12
28,5.91174e-12,4.446,5.91174e-12,4.54751e-13
29,2.04638e-12,-29.748,1.819e-12,-1.13688e-12
30,2.16006e-12,-15.252,2.16006e-12,-6.82124e-13
31,9.09502e-13,-42.276,6.82124e-13,-6.82124e-13
32,1.36425e-12,-46.848,9.09502e-13,-1.13688e-12
33,2.04638e-12,5.526,2.04638e-12,1.13688e-13
34,4.66119e-12,-57.654,2.50112e-12,-4.09275e-12
35,2.84218e-12,-52.35,1.70531e-12,-2.38744e-12
36,6.82124e-13,-95.196,-1.13688e-13,-7.95811e-13
37,4.54751e-13,-60.252,2.27375e-13,-5.68438e-13
38,2.38744e-12,-39.402,1.819e-12,-1.59162e-12
39,1.70531e-12,66.252,6.82124e-13,1.59162e-12
40,5.457e-12,-10.368,5.457e-12,-1.02319e-12
41,2.16006e-12,-24.306,2.04638e-12,-1.02319e-12
42,3.86538e-12,23.46,3.52431e-12,1.47794e-12
43,2.61481e-12,-5.712,2.61481e-12,-3.41062e-13
44,5.57068e-12,8.796,5.57068e-12,7.95811e-13
45,5.34331e-12,-2.118,5.34331e-12,-2.27375e-13
46,1.70531e-12,-10.494,1.70531e-12,-3.41062e-13
47,4.43381e-12,16.536,4.20644e-12,1.25056e-12
48,5.91174e-12,-4.5,5.91174e-12,-5.68438e-13
49,7.50339e-12,-4.512,7.50339e-12,-6.82124e-13
50,9.095e-12,-10.416,8.98132e-12,-1.70531e-12
51,6.59386e-12,-16.806,6.36649e-12,-2.04638e-12
52,9.20869e-12,-2.88,9.20869e-12,-5.68438e-13
53,1.37562e-11,-4.422,1.37562e-11,-1.13688e-12
54,1.52341e-11,-5.262,1.51205e-11,-1.47794e-12
55,1.3074e-11,-0.288,1.3074e-11,-1.13688e-13
56,1.48931e-11,5.124,1.47794e-11,1.25056e-12
57,1.58026e-11,1.206,1.58026e-11,2.27375e-13
58,1.67121e-11,4.344,1.65984e-11,1.25056e-12
59,2.13732e-11,4.278,2.13732e-11,1.59162e-12
