,V_m,fase,Re,Im
0,7.95811e-13,12.996,7.95811e-13,1.13688e-13
1,4.43381e-12,-26.94,3.97907e-12,-2.16006e-12
2,2.27375e-13,11.31,2.27375e-13,0.0
3,3.29693e-12,-55.374,1.93269e-12,-2.84218e-12
4,3.52431e-12,-72.9,1.02319e-12,-3.52431e-12
5,1.70531e-12,119.478,-9.09502e-13,1.47794e-12
6,4.09275e-12,15.822,3.97907e-12,1.02319e-12
7,2.50112e-12,-13.326,2.50112e-12,-6.82124e-13
8,2.50112e-12,-74.874,5.68438e-13,-2.50112e-12
9,3.06956e-12,-1.218,3.06956e-12,-1.13688e-13
10,4.43381e-12,-25.068,4.09275e-12,-2.04638e-12
11,3.86538e-12,14.034,3.63801e-12,9.09502e-13
12,2.95587e-12,16.458,2.84218e-12,7.95811e-13
13,3.97907e-12,-12.426,3.86538e-12,-9.09502e-13
14,5.34331e-12,-20.886,5.00225e-12,-2.04638e-12
15,3.41062e-12,-45.0,2.38744e-12,-2.50112e-12
16,2.84218e-12,-12.096,2.7285e-12,-6.82124e-13
17,5.22962e-12,-2.172,5.22962e-12,-2.27375e-13
18,5.22962e-12,-9.342,5.22962e-12,-9.09502e-13
19,7.27601e-12,11.514,7.1623e-12,1.36425e-12
20,4.09275e-12,-60.138,2.04638e-12,-3.63801e-12
21,6.02543e-12,-19.614,5.79806e-12,-2.16006e-12
22,3.63801e-12,-27.474,3.29693e-12,-1.819e-12
23,2.27375e-12,-1.638,2.27375e-12,-1.13688e-13
24,8.98132e-12,6.39,8.86763e-12,9.09502e-13
25,5.34331e-12,-20.886,5.00225e-12,-2.04638e-12
26,7.50339e-12,-7.062,7.50339e-12,-1.02319e-12
27,4.88856e-12,7.698,4.88856e-12,5.68438e-13
28,6.70755e-12,-14.31,6.48018e-12,-1.70531e-12
29,5.11594e-12,-5.856,5.11594e-12,-5.68438e-13
30,7.27601e-12,-13.656,7.04861e-12,-1.819e-12
31,7.3897e-12,-10.806,7.27601e-12,-1.47794e-12
32,1.28467e-11,-3.558,1.28467e-11,-9.09502e-13
33,1.51205e-11,0.252,1.51205e-11,0.0
34,1.2733e-11,-14.472,1.23919e-11,-3.29693e-12
35,1.25056e-11,4.56,1.25056e-11,9.09502e-13
36,1.02319e-11,-10.506,1.00045e-11,-1.93269e-12
37,1.55752e-11,10.83,1.52341e-11,2.84218e-12
38,1.95542e-11,8.598,1.93269e-11,2.84218e-12
39,1.94406e-11,-11.268,1.89858e-11,-3.86538e-12
40,1.85311e-11,4.32,1.85311e-11,1.36425e-12
41,2.05774e-11,3.888,2.05774e-11,1.36425e-12
42,2.61481e-11,3.504,2.60344e-11,1.59162e-12
43,3.20599e-11,2.856,3.20599e-11,1.59162e-12
44,2.96725e-11,6.948,2.94451e-11,3.52431e-12
45,3.29694e-11,-1.044,3.29694e-11,-6.82124e-13
46,3.34242e-11,4.572,3.33105e-11,2.61481e-12
47,3.25147e-11,0.348,3.25147e-11,1.13688e-13
48,3.79716e-11,4.116,3.79716e-11,2.7285e-12
49,4.24054e-11,3.15,4.22917e-11,2.27375e-12
