,V_m,fase,Re,Im
0,6.93492e-12,-1.638,6.93492e-12,-2.27375e-13
1,5.22962e-12,-12.294,5.11594e-12,-1.13688e-12
2,6.93492e-12,-2.184,6.93492e-12,-3.41062e-13
3,3.75169e-12,-32.004,3.18325e-12,-2.04638e-12
4,4.66119e-12,19.212,4.32013e-12,1.47794e-12
5,4.20644e-12,8.13,4.09275e-12,5.68438e-13
6,4.20644e-12,-24.144,3.86538e-12,-1.819e-12
7,5.00225e-12,-6.012,5.00225e-12,-5.68438e-13
8,4.77487e-12,-23.718,4.32013e-12,-2.04638e-12
9,5.22962e-12,-27.858,4.66119e-12,-2.50112e-12
10,4.20644e-12,26.964,3.75169e-12,1.93269e-12
11,3.18325e-12,-8.13,3.18325e-12,-5.68438e-13
12,4.66119e-12,-32.094,3.86538e-12,-2.50112e-12
13,6.70755e-12,-10.866,6.59386e-12,-1.36425e-12
14,7.04861e-12,4.806,7.04861e-12,5.68438e-13
15,6.93492e-12,6.036,6.82124e-12,6.82124e-13
16,7.3897e-12,-20.07,6.82124e-12,-2.61481e-12
17,8.98132e-12,-27.324,7.95813e-12,-4.20644e-12
18,8.07182e-12,-11.862,7.84445e-12,-1.70531e-12
19,5.79806e-12,-47.292,3.97907e-12,-4.43381e-12
20,7.73076e-12,12.372,7.50339e-12,1.59162e-12
21,7.95813e-12,4.722,7.95813e-12,5.68438e-13
22,7.84445e-12,14.742,7.50339e-12,1.93269e-12
23,1.01182e-11,14.766,9.77712e-12,2.50112e-12
24,9.77712e-12,5.442,9.77712e-12,9.09502e-13
25,1.18235e-11,2.574,1.18235e-11,4.54751e-13
26,1.05729e-11,9.342,1.04592e-11,1.70531e-12
27,1.29604e-11,-0.882,1.29604e-11,-2.27375e-13
28,1.62573e-11,-0.702,1.62573e-11,-2.27375e-13
29,1.72805e-11,7.728,1.71668e-11,2.27375e-12
30,1.72805e-11,7.728,1.71668e-11,2.27375e-12
31,1.819e-11,-3.978,1.819e-11,-1.36425e-12
32,1.87584e-11,6.72,1.86448e-11,2.16006e-12
33,2.28512e-11,8.226,2.25101e-11,3.18325e-12
34,2.7626e-11,8.424,2.73986e-11,3.97907e-12
35,2.78534e-11,12.972,2.71713e-11,6.2528e-12
36,3.06957e-11,5.958,3.0582e-11,3.18325e-12
37,3.80853e-11,9.642,3.76306e-11,6.36649e-12
38,3.88811e-11,1.962,3.88811e-11,1.25056e-12
39,4.25191e-11,3.858,4.25191e-11,2.84218e-12
40,4.64981e-11,4.266,4.63845e-11,3.41062e-12
41,5.00224e-11,6.792,4.97951e-11,5.91174e-12
42,5.83218e-11,5.898,5.79805e-11,5.91174e-12
43,6.42335e-11,3.564,6.41198e-11,3.97907e-12
44,6.92357e-11,8.184,6.85536e-11,9.77712e-12
45,7.276e-11,6.312,7.23053e-11,7.95813e-12
46,7.70801e-11,9.102,7.60569e-11,1.21645e-11
47,8.46971e-11,7.632,8.4015e-11,1.12551e-11
48,8.90172e-11,6.702,8.84488e-11,1.03456e-11
49,9.57248e-11,5.394,9.527e-11,8.98132e-12
