,V_m,fase,Re,Im
0,2.84218e-12,-44.064,2.04638e-12,-2.04638e-12
1,1.25056e-12,-40.914,9.09502e-13,-9.09502e-13
2,4.32013e-12,-111.48,-1.70531e-12,-4.09275e-12
3,1.59162e-12,111.372,-6.82124e-13,1.47794e-12
4,2.50112e-12,-25.908,2.27375e-12,-1.13688e-12
5,2.04638e-12,-114.144,-9.09502e-13,-2.04638e-12
6,9.09502e-13,-50.712,5.68438e-13,-7.95811e-13
7,2.61481e-12,-31.704,2.16006e-12,-1.47794e-12
8,2.04638e-12,159.228,-2.04638e-12,6.82124e-13
9,1.02319e-12,-93.366,-1.13688e-13,-1.13688e-12
10,2.7285e-12,-39.096,2.04638e-12,-1.819e-12
11,1.93269e-12,-32.622,1.59162e-12,-1.13688e-12
12,2.50112e-12,1.47,2.50112e-12,0.0
13,1.819e-12,-102.528,-4.54751e-13,-1.819e-12
14,1.36425e-12,-2.724,1.36425e-12,-1.13688e-13
15,2.16006e-12,-59.622,1.02319e-12,-2.04638e-12
16,3.18325e-12,-115.512,-1.47794e-12,-2.95587e-12
17,4.09275e-12,10.956,4.09275e-12,7.95811e-13
18,1.93269e-12,-178.026,-2.04638e-12,-1.13688e-13
19,7.95811e-13,147.528,-7.95811e-13,4.54751e-13
20,1.70531e-12,-83.658,1.13688e-13,-1.819e-12
21,3.18325e-12,-43.314,2.27375e-12,-2.27375e-12
22,2.27375e-12,-8.13,2.27375e-12,-3.41062e-13
23,4.09275e-12,-29.052,3.52431e-12,-2.04638e-12
24,4.43381e-12,-17.352,4.20644e-12,-1.36425e-12
25,3.97907e-12,-71.862,1.25056e-12,-3.97907e-12
26,4.32013e-12,1.734,4.32013e-12,1.13688e-13
27,3.86538e-12,-17.178,3.63801e-12,-1.13688e-12
28,5.457e-12,0.0,5.457e-12,0.0
29,6.82124e-12,-37.092,5.457e-12,-4.20644e-12
30,4.09275e-12,10.062,4.09275e-12,6.82124e-13
31,6.48018e-12,-26.562,5.79806e-12,-2.95587e-12
32,6.02543e-12,-3.114,6.02543e-12,-3.41062e-13
33,4.88856e-12,-14.784,4.77487e-12,-1.36425e-12
34,6.82124e-12,-4.992,6.82124e-12,-6.82124e-13
35,7.3897e-12,0.516,7.3897e-12,0.0
36,1.15961e-11,-14.592,1.12551e-11,-2.95587e-12
37,1.03456e-11,11.454,1.01182e-11,2.04638e-12
38,1.2733e-11,1.494,1.2733e-11,2.27375e-13
39,1.29604e-11,-7.674,1.28467e-11,-1.819e-12
40,1.29604e-11,3.522,1.29604e-11,7.95811e-13
41,1.55752e-11,15.276,1.51205e-11,4.09275e-12
42,1.6371e-11,4.416,1.6371e-11,1.25056e-12
43,1.80763e-11,9.948,1.78489e-11,3.06956e-12
44,2.04637e-11,2.052,2.04637e-11,6.82124e-13
45,2.37607e-11,3.054,2.3647e-11,1.25056e-12
46,2.2169e-11,-3.78,2.2169e-11,-1.47794e-12
47,2.66028e-11,0.0,2.66028e-11,0.0
48,2.62618e-11,5.1,2.60344e-11,2.27375e-12
49,2.70576e-11,-1.974,2.70576e-11,-1.02319e-12
