t,V1,V2
-0.05,-0.16,-3.12
-0.049960000000000004,-0.24,-3.12
-0.049920000000000006,-0.24,-3.12
-0.04988,-0.32,-3.12
-0.04984,-0.4,-3.12
-0.049800000000000004,-0.4,-3.04
-0.049760000000000006,-0.4,-3.12
-0.04972,-0.48,-3.04
-0.04968,-0.48,-3.12
-0.049640000000000004,-0.56,-3.04
-0.049600000000000005,-0.56,-3.04
-0.04956,-0.64,-3.04
-0.04952,-0.64,-2.96
-0.04948,-0.72,-2.96
-0.049440000000000005,-0.72,-2.96
-0.0494,-0.72,-2.96
-0.04936,-0.8,-2.96
-0.04932,-0.8,-2.96
-0.049280000000000004,-0.8,-2.96
-0.049240000000000006,-0.88,-2.96
-0.0492,-0.88,-2.88
-0.04916,-0.96,-2.88
-0.049120000000000004,-0.96,-2.88
-0.049080000000000006,-1.04,-2.88
-0.04904,-1.04,-2.8000000000000003
-0.049,-1.04,-2.8000000000000003
-0.048960000000000004,-1.04,-2.8000000000000003
-0.048920000000000005,-1.12,-2.8000000000000003
-0.04888,-1.12,-2.8000000000000003
-0.04884,-1.12,-2.8000000000000003
-0.0488,-1.2,-2.72
-0.048760000000000005,-1.28,-2.72
-0.04872,-1.28,-2.72
-0.04868,-1.28,-2.72
-0.04864,-1.36,-2.64
-0.048600000000000004,-1.36,-2.64
-0.048560000000000006,-1.36,-2.64
-0.04852,-1.44,-2.64
-0.04848,-1.44,-2.56
-0.048440000000000004,-1.44,-2.56
-0.048400000000000006,-1.52,-2.56
-0.04836,-1.52,-2.56
-0.04832,-1.52,-2.48
-0.04828,-1.6,-2.48
-0.048240000000000005,-1.6,-2.48
-0.0482,-1.6,-2.4
-0.04816,-1.68,-2.4
-0.04812,-1.68,-2.4
-0.048080000000000005,-1.68,-2.32
-0.04804,-1.76,-2.32
-0.048,-1.76,-2.32
-0.04796,-1.76,-2.24
-0.047920000000000004,-1.76,-2.24
-0.047880000000000006,-1.84,-2.24
-0.04784,-1.92,-2.24
-0.0478,-1.92,-2.16
-0.047760000000000004,-1.92,-2.16
-0.047720000000000005,-1.92,-2.16
-0.04768,-2.0,-2.08
-0.04764,-2.0,-2.08
-0.0476,-2.0,-2.0
-0.047560000000000005,-2.08,-2.0
-0.04752,-2.08,-2.0
-0.04748,-2.0,-1.92
-0.04744,-2.08,-1.92
-0.047400000000000005,-2.08,-1.84
-0.04736,-2.08,-1.84
-0.04732,-2.16,-1.76
-0.04728,-2.16,-1.76
-0.047240000000000004,-2.16,-1.76
-0.047200000000000006,-2.24,-1.68
-0.04716,-2.16,-1.68
-0.04712,-2.24,-1.6
-0.047080000000000004,-2.24,-1.6
-0.047040000000000005,-2.24,-1.52
-0.047,-2.24,-1.52
-0.04696,-2.32,-1.52
-0.04692,-2.32,-1.44
-0.046880000000000005,-2.4,-1.44
-0.04684,-2.4,-1.36
-0.0468,-2.4,-1.36
-0.04676,-2.4,-1.28
-0.046720000000000005,-2.48,-1.36
-0.04668,-2.4,-1.28
-0.04664,-2.4,-1.28
-0.0466,-2.48,-1.2
-0.046560000000000004,-2.48,-1.2
-0.046520000000000006,-2.48,-1.12
-0.04648,-2.48,-1.12
-0.04644,-2.48,-1.04
-0.046400000000000004,-2.48,-1.04
-0.046360000000000005,-2.48,-0.96
-0.04632,-2.56,-0.96
-0.04628,-2.56,-0.88
-0.04624,-2.56,-0.88
-0.046200000000000005,-2.56,-0.8
-0.04616,-2.56,-0.8
-0.04612,-2.56,-0.72
-0.04608,-2.56,-0.64
-0.046040000000000005,-2.56,-0.72
-0.046,-2.56,-0.64
-0.04596,-2.64,-0.56
-0.04592,-2.64,-0.48
-0.045880000000000004,-2.64,-0.48
-0.045840000000000006,-2.64,-0.48
-0.0458,-2.64,-0.48
-0.04576,-2.64,-0.4
-0.045720000000000004,-2.72,-0.4
-0.045680000000000005,-2.64,-0.32
-0.04564,-2.64,-0.32
-0.0456,-2.64,-0.24
-0.04556,-2.72,-0.16
-0.045520000000000005,-2.64,-0.16
-0.04548,-2.64,-0.08
-0.04544,-2.72,-0.08
-0.0454,-2.72,0.0
-0.045360000000000004,-2.64,0.0
-0.04532,-2.72,0.08
-0.04528,-2.72,0.08
-0.04524,-2.72,0.16
-0.045200000000000004,-2.72,0.16
-0.045160000000000006,-2.64,0.16
-0.04512,-2.64,0.24
-0.04508,-2.64,0.24
-0.045040000000000004,-2.64,0.32
-0.045000000000000005,-2.64,0.4
-0.04496,-2.64,0.4
-0.04492,-2.64,0.4
-0.04488,-2.64,0.48
-0.044840000000000005,-2.64,0.56
-0.0448,-2.64,0.56
-0.04476,-2.64,0.64
-0.04472,-2.64,0.64
-0.044680000000000004,-2.64,0.72
-0.04464,-2.64,0.72
-0.0446,-2.56,0.72
-0.04456,-2.64,0.8
-0.044520000000000004,-2.56,0.8
-0.044480000000000006,-2.56,0.88
-0.04444,-2.56,0.88
-0.0444,-2.56,0.96
-0.044360000000000004,-2.56,0.96
-0.044320000000000005,-2.56,0.96
-0.04428,-2.56,1.04
-0.04424,-2.56,1.12
-0.0442,-2.48,1.2
-0.044160000000000005,-2.48,1.2
-0.04412,-2.48,1.2
-0.04408,-2.48,1.2
-0.04404,-2.48,1.28
-0.044000000000000004,-2.48,1.28
-0.04396,-2.48,1.36
-0.04392,-2.4,1.36
-0.04388,-2.4,1.44
-0.043840000000000004,-2.4,1.44
-0.043800000000000006,-2.4,1.52
-0.04376,-2.4,1.52
-0.04372,-2.32,1.52
-0.043680000000000004,-2.32,1.52
-0.043640000000000005,-2.32,1.6
-0.0436,-2.32,1.6
-0.04356,-2.32,1.68
-0.04352,-2.32,1.68
-0.043480000000000005,-2.24,1.76
-0.04344,-2.16,1.76
-0.0434,-2.24,1.84
-0.04336,-2.16,1.84
-0.043320000000000004,-2.16,1.84
-0.04328,-2.16,1.92
-0.04324,-2.16,1.92
-0.0432,-2.08,1.92
-0.043160000000000004,-2.08,2.0
-0.043120000000000006,-2.08,2.0
-0.04308,-2.0,2.08
-0.04304,-2.0,2.08
-0.043000000000000003,-2.0,2.16
-0.042960000000000005,-2.0,2.16
-0.04292,-2.0,2.16
-0.04288,-1.92,2.16
-0.04284,-1.92,2.24
-0.042800000000000005,-1.92,2.24
-0.04276,-1.92,2.24
-0.04272,-1.84,2.24
-0.04268,-1.84,2.32
-0.042640000000000004,-1.76,2.32
-0.0426,-1.76,2.4
-0.04256,-1.76,2.32
-0.04252,-1.68,2.4
-0.042480000000000004,-1.68,2.4
-0.042440000000000005,-1.68,2.48
-0.0424,-1.6,2.48
-0.04236,-1.6,2.48
-0.04232,-1.6,2.56
-0.042280000000000005,-1.6,2.56
-0.04224,-1.6,2.56
-0.0422,-1.44,2.64
-0.04216,-1.52,2.64
-0.042120000000000005,-1.44,2.64
-0.042080000000000006,-1.44,2.64
-0.04204,-1.36,2.64
-0.042,-1.36,2.72
-0.041960000000000004,-1.36,2.72
-0.04192,-1.28,2.72
-0.04188,-1.28,2.8000000000000003
-0.04184,-1.28,2.72
-0.041800000000000004,-1.2,2.8000000000000003
-0.041760000000000005,-1.12,2.8000000000000003
-0.04172,-1.12,2.8000000000000003
-0.04168,-1.12,2.88
-0.04164,-1.12,2.88
-0.0416,-1.04,2.88
-0.04156,-1.04,2.88
-0.04152,-1.04,2.88
-0.04148,-0.96,2.96
-0.041440000000000005,-0.96,2.96
-0.041400000000000006,-0.88,2.96
-0.04136,-0.88,2.96
-0.04132,-0.8,2.96
-0.041280000000000004,-0.8,3.04
-0.04124,-0.8,3.04
-0.0412,-0.8,3.04
-0.04116,-0.64,3.04
-0.041120000000000004,-0.64,3.04
-0.041080000000000005,-0.64,3.04
-0.04104,-0.56,3.04
-0.041,-0.56,3.12
-0.04096,-0.56,3.12
-0.04092,-0.56,3.04
-0.04088,-0.48,3.04
-0.04084,-0.48,3.12
-0.0408,-0.4,3.12
-0.040760000000000005,-0.32,3.04
-0.040720000000000006,-0.32,3.12
-0.04068,-0.32,3.12
-0.04064,-0.24,3.12
-0.040600000000000004,-0.16,3.12
-0.04056,-0.24,3.2
-0.04052,-0.16,3.2
-0.04048,-0.16,3.12
-0.040440000000000004,-0.08,3.2
-0.040400000000000005,-0.08,3.12
-0.04036,-0.08,3.12
-0.04032,0.0,3.2
-0.04028,0.0,3.12
-0.04024,0.08,3.12
-0.0402,0.08,3.2
-0.04016,0.08,3.12
-0.04012,0.16,3.12
-0.040080000000000005,0.24,3.12
-0.040040000000000006,0.24,3.2
-0.04,0.24,3.12
-0.03996,0.32,3.12
-0.039920000000000004,0.32,3.12
-0.03988,0.4,3.12
-0.03984,0.4,3.12
-0.0398,0.48,3.12
-0.039760000000000004,0.4,3.04
-0.039720000000000005,0.48,3.04
-0.03968,0.56,3.04
-0.03964,0.56,3.12
-0.0396,0.56,3.04
-0.03956,0.64,3.04
-0.03952,0.72,3.04
-0.03948,0.72,3.04
-0.03944,0.8,3.04
-0.039400000000000004,0.8,2.96
-0.039360000000000006,0.8,2.96
-0.03932,0.8,2.96
-0.03928,0.8,2.96
-0.039240000000000004,0.88,2.96
-0.0392,0.88,2.88
-0.03916,0.96,2.88
-0.03912,1.04,2.88
-0.039080000000000004,1.04,2.88
-0.039040000000000005,1.12,2.88
-0.039,1.04,2.88
-0.03896,1.12,2.8000000000000003
-0.03892,1.12,2.88
-0.03888,1.2,2.8000000000000003
-0.03884,1.28,2.8000000000000003
-0.0388,1.28,2.8000000000000003
-0.03876,1.28,2.72
-0.038720000000000004,1.28,2.72
-0.038680000000000006,1.36,2.72
-0.03864,1.36,2.72
-0.0386,1.36,2.64
-0.038560000000000004,1.44,2.64
-0.03852,1.44,2.64
-0.03848,1.44,2.56
-0.03844,1.44,2.56
-0.038400000000000004,1.52,2.56
-0.038360000000000005,1.52,2.56
-0.03832,1.52,2.48
-0.03828,1.6,2.56
-0.03824,1.6,2.48
-0.0382,1.68,2.48
-0.03816,1.68,2.4
-0.03812,1.68,2.4
-0.03808,1.76,2.32
-0.038040000000000004,1.76,2.32
-0.038000000000000006,1.84,2.32
-0.03796,1.84,2.24
-0.03792,1.84,2.24
-0.037880000000000004,1.92,2.24
-0.03784,1.92,2.24
-0.0378,1.92,2.16
-0.03776,1.92,2.16
-0.037720000000000004,1.92,2.16
-0.037680000000000005,1.92,2.16
-0.03764,2.0,2.08
-0.0376,2.08,2.08
-0.03756,2.08,2.08
-0.03752,2.08,2.0
-0.03748,2.08,1.92
-0.03744,2.16,2.0
-0.0374,2.16,1.92
-0.037360000000000004,2.16,1.92
-0.037320000000000006,2.16,1.84
-0.03728,2.16,1.84
-0.03724,2.24,1.84
-0.037200000000000004,2.24,1.76
-0.03716,2.24,1.76
-0.03712,2.24,1.68
-0.03708,2.24,1.6
-0.037040000000000003,2.32,1.6
-0.037000000000000005,2.24,1.6
-0.03696,2.32,1.52
-0.03692,2.32,1.52
-0.03688,2.32,1.52
-0.03684,2.32,1.44
-0.0368,2.4,1.44
-0.03676,2.4,1.36
-0.03672,2.4,1.36
-0.036680000000000004,2.48,1.28
-0.036640000000000006,2.48,1.28
-0.0366,2.4,1.28
-0.03656,2.48,1.2
-0.036520000000000004,2.48,1.2
-0.03648,2.48,1.12
-0.03644,2.48,1.04
-0.0364,2.48,1.04
-0.03636,2.56,0.96
-0.036320000000000005,2.48,0.96
-0.03628,2.48,0.96
-0.03624,2.56,0.88
-0.0362,2.56,0.88
-0.03616,2.56,0.8
-0.03612,2.56,0.72
-0.03608,2.56,0.8
-0.03604,2.64,0.72
-0.036000000000000004,2.56,0.64
-0.035960000000000006,2.56,0.64
-0.03592,2.64,0.56
-0.03588,2.64,0.56
-0.035840000000000004,2.64,0.48
-0.0358,2.64,0.48
-0.03576,2.64,0.4
-0.03572,2.72,0.4
-0.03568,2.64,0.4
-0.035640000000000005,2.64,0.32
-0.0356,2.64,0.32
-0.03556,2.64,0.24
-0.03552,2.72,0.24
-0.03548,2.72,0.16
-0.03544,2.64,0.16
-0.0354,2.64,0.08
-0.03536,2.72,0.08
-0.035320000000000004,2.72,0.0
-0.035280000000000006,2.72,0.0
-0.03524,2.72,-0.08
-0.0352,2.72,-0.16
