t,V1,V2
-0.04408,-3.04,1.44
-0.04404,-3.04,1.52
-0.044000000000000004,-3.04,1.52
-0.04396,-3.04,1.6
-0.04392,-3.04,1.6
-0.04388,-3.04,1.6
-0.043840000000000004,-2.96,1.76
-0.043800000000000006,-3.04,1.76
-0.04376,-2.96,1.84
-0.04372,-2.88,1.84
-0.043680000000000004,-2.88,1.84
-0.043640000000000005,-2.88,1.92
-0.0436,-2.88,1.92
-0.04356,-2.88,2.0
-0.04352,-2.8000000000000003,2.08
-0.043480000000000005,-2.8000000000000003,2.16
-0.04344,-2.8000000000000003,2.16
-0.0434,-2.72,2.16
-0.04336,-2.72,2.24
-0.043320000000000004,-2.72,2.32
-0.04328,-2.72,2.24
-0.04324,-2.72,2.32
-0.0432,-2.72,2.32
-0.043160000000000004,-2.64,2.4
-0.043120000000000006,-2.64,2.4
-0.04308,-2.64,2.48
-0.04304,-2.56,2.56
-0.043000000000000003,-2.56,2.56
-0.042960000000000005,-2.48,2.56
-0.04292,-2.48,2.64
-0.04288,-2.4,2.72
-0.04284,-2.48,2.64
-0.042800000000000005,-2.4,2.72
-0.04276,-2.32,2.72
-0.04272,-2.32,2.8000000000000003
-0.04268,-2.32,2.88
-0.042640000000000004,-2.24,2.8000000000000003
-0.0426,-2.24,2.88
-0.04256,-2.24,2.96
-0.04252,-2.16,2.96
-0.042480000000000004,-2.16,2.96
-0.042440000000000005,-2.08,3.04
-0.0424,-2.08,3.04
-0.04236,-2.08,3.04
-0.04232,-2.0,3.2
-0.042280000000000005,-2.0,3.2
-0.04224,-2.0,3.12
-0.0422,-1.92,3.2
-0.04216,-1.92,3.2800000000000002
-0.042120000000000005,-1.84,3.2800000000000002
-0.042080000000000006,-1.76,3.2800000000000002
-0.04204,-1.76,3.2800000000000002
-0.042,-1.76,3.2800000000000002
-0.041960000000000004,-1.76,3.36
-0.04192,-1.68,3.36
-0.04188,-1.68,3.44
-0.04184,-1.6,3.36
-0.041800000000000004,-1.52,3.44
-0.041760000000000005,-1.52,3.52
-0.04172,-1.52,3.52
-0.04168,-1.36,3.52
-0.04164,-1.36,3.52
-0.0416,-1.36,3.52
-0.04156,-1.36,3.52
-0.04152,-1.28,3.6
-0.04148,-1.28,3.6
-0.041440000000000005,-1.2,3.68
-0.041400000000000006,-1.2,3.68
-0.04136,-1.12,3.68
-0.04132,-1.12,3.68
-0.041280000000000004,-1.04,3.68
-0.04124,-1.04,3.68
-0.0412,-0.96,3.7600000000000002
-0.04116,-0.96,3.7600000000000002
-0.041120000000000004,-0.88,3.7600000000000002
-0.041080000000000005,-0.88,3.7600000000000002
-0.04104,-0.8,3.7600000000000002
-0.041,-0.8,3.7600000000000002
-0.04096,-0.72,3.7600000000000002
-0.04092,-0.72,3.84
-0.04088,-0.64,3.84
-0.04084,-0.56,3.84
-0.0408,-0.56,3.84
-0.040760000000000005,-0.56,3.84
-0.040720000000000006,-0.48,3.84
-0.04068,-0.4,3.84
-0.04064,-0.4,3.84
-0.040600000000000004,-0.32,3.92
-0.04056,-0.32,3.84
-0.04052,-0.24,3.84
-0.04048,-0.24,3.84
-0.040440000000000004,-0.24,3.84
-0.040400000000000005,-0.16,3.84
-0.04036,-0.08,3.92
-0.04032,-0.08,3.84
-0.04028,-0.08,3.84
-0.04024,0.0,3.84
-0.0402,0.08,3.84
-0.04016,0.08,3.84
-0.04012,0.16,3.84
-0.040080000000000005,0.16,3.84
-0.040040000000000006,0.24,3.84
-0.04,0.24,3.84
-0.03996,0.32,3.84
-0.039920000000000004,0.32,3.92
-0.03988,0.4,3.84
-0.03984,0.4,3.84
-0.0398,0.48,3.84
-0.039760000000000004,0.48,3.84
-0.039720000000000005,0.56,3.7600000000000002
-0.03968,0.56,3.84
-0.03964,0.64,3.84
-0.0396,0.72,3.84
-0.03956,0.72,3.7600000000000002
-0.03952,0.8,3.7600000000000002
-0.03948,0.8,3.7600000000000002
-0.03944,0.88,3.7600000000000002
-0.039400000000000004,0.88,3.7600000000000002
-0.039360000000000006,0.96,3.68
-0.03932,0.96,3.68
-0.03928,1.04,3.68
-0.039240000000000004,1.04,3.68
-0.0392,1.12,3.68
-0.03916,1.12,3.6
-0.03912,1.12,3.6
-0.039080000000000004,1.2,3.6
-0.039040000000000005,1.28,3.6
-0.039,1.28,3.6
-0.03896,1.28,3.52
-0.03892,1.36,3.52
-0.03888,1.36,3.52
-0.03884,1.44,3.44
-0.0388,1.52,3.44
-0.03876,1.52,3.52
-0.038720000000000004,1.52,3.44
-0.038680000000000006,1.6,3.44
-0.03864,1.6,3.44
-0.0386,1.68,3.36
-0.038560000000000004,1.68,3.2800000000000002
-0.03852,1.68,3.36
-0.03848,1.76,3.2800000000000002
-0.03844,1.84,3.2800000000000002
-0.038400000000000004,1.84,3.2
-0.038360000000000005,1.84,3.2
-0.03832,1.92,3.2
-0.03828,1.92,3.12
-0.03824,2.0,3.12
-0.0382,2.0,3.12
-0.03816,2.0,3.04
-0.03812,2.08,3.04
-0.03808,2.08,3.04
-0.038040000000000004,2.16,2.96
-0.038000000000000006,2.16,2.88
-0.03796,2.16,2.88
-0.03792,2.24,2.88
-0.037880000000000004,2.24,2.88
-0.03784,2.24,2.8000000000000003
-0.0378,2.24,2.8000000000000003
-0.03776,2.32,2.72
-0.037720000000000004,2.4,2.72
-0.037680000000000005,2.4,2.64
-0.03764,2.4,2.56
-0.0376,2.4,2.56
-0.03756,2.48,2.56
-0.03752,2.48,2.48
-0.03748,2.48,2.48
-0.03744,2.48,2.48
-0.0374,2.64,2.4
-0.037360000000000004,2.64,2.32
-0.037320000000000006,2.64,2.32
-0.03728,2.64,2.24
-0.03724,2.64,2.24
-0.037200000000000004,2.72,2.24
-0.03716,2.72,2.24
-0.03712,2.72,2.16
-0.03708,2.72,2.08
-0.037040000000000003,2.8000000000000003,2.08
-0.037000000000000005,2.8000000000000003,2.0
-0.03696,2.8000000000000003,2.0
-0.03692,2.88,1.92
-0.03688,2.88,1.92
-0.03684,2.96,1.84
-0.0368,2.96,1.84
-0.03676,2.96,1.76
-0.03672,3.04,1.68
-0.036680000000000004,3.04,1.68
-0.036640000000000006,3.04,1.68
-0.0366,3.04,1.6
-0.03656,3.04,1.52
-0.036520000000000004,3.04,1.52
-0.03648,3.04,1.52
-0.03644,3.12,1.44
-0.0364,3.12,1.36
-0.03636,3.12,1.28
-0.036320000000000005,3.12,1.28
-0.03628,3.12,1.2
-0.03624,3.12,1.2
-0.0362,3.2,1.12
-0.03616,3.2,1.04
-0.03612,3.2,1.04
-0.03608,3.2,0.96
-0.03604,3.2800000000000002,0.96
-0.036000000000000004,3.2,0.88
-0.035960000000000006,3.2800000000000002,0.88
-0.03592,3.2800000000000002,0.8
-0.03588,3.2800000000000002,0.8
-0.035840000000000004,3.2800000000000002,0.72
-0.0358,3.2800000000000002,0.64
-0.03576,3.2800000000000002,0.64
-0.03572,3.2800000000000002,0.56
-0.03568,3.2800000000000002,0.56
-0.035640000000000005,3.2800000000000002,0.48
-0.0356,3.2800000000000002,0.48
-0.03556,3.2800000000000002,0.4
-0.03552,3.2800000000000002,0.32
-0.03548,3.2800000000000002,0.32
-0.03544,3.2800000000000002,0.16
-0.0354,3.2800000000000002,0.16
-0.03536,3.36,0.08
-0.035320000000000004,3.36,0.08
-0.035280000000000006,3.36,0.08
-0.03524,3.2800000000000002,0.0
-0.0352,3.2800000000000002,-0.08
-0.035160000000000004,3.36,-0.16
-0.03512,3.36,-0.16
-0.03508,3.36,-0.16
-0.03504,3.36,-0.24
-0.035,3.36,-0.32
-0.034960000000000005,3.2800000000000002,-0.4
-0.03492,3.2800000000000002,-0.4
-0.03488,3.2800000000000002,-0.48
-0.03484,3.2800000000000002,-0.56
-0.0348,3.2800000000000002,-0.56
-0.03476,3.2800000000000002,-0.64
-0.03472,3.2800000000000002,-0.64
-0.03468,3.2800000000000002,-0.64
-0.034640000000000004,3.2800000000000002,-0.72
-0.034600000000000006,3.2800000000000002,-0.8
-0.03456,3.2800000000000002,-0.8
-0.03452,3.2800000000000002,-0.88
-0.034480000000000004,3.2,-0.96
-0.03444,3.2800000000000002,-0.96
-0.0344,3.2,-1.04
-0.03436,3.2,-1.12
-0.03432,3.12,-1.12
-0.034280000000000005,3.2,-1.12
-0.03424000000000001,3.12,-1.2
-0.0342,3.12,-1.28
-0.03416,3.12,-1.28
-0.03412,3.12,-1.36
-0.03408,3.04,-1.36
-0.03404,3.12,-1.44
-0.034,3.12,-1.44
-0.033960000000000004,3.04,-1.52
-0.033920000000000006,3.04,-1.6
-0.03388,3.04,-1.68
-0.03384,3.04,-1.68
-0.0338,2.96,-1.68
-0.03376,2.96,-1.76
-0.03372,2.96,-1.84
-0.03368,2.96,-1.84
-0.03364,2.88,-1.92
-0.033600000000000005,2.88,-2.0
-0.033560000000000006,2.88,-2.0
-0.03352,2.88,-2.0
-0.03348,2.8000000000000003,-2.08
-0.03344,2.8000000000000003,-2.16
-0.0334,2.72,-2.16
-0.03336,2.72,-2.16
-0.03332,2.72,-2.24
-0.033280000000000004,2.72,-2.24
-0.033240000000000006,2.72,-2.32
-0.0332,2.64,-2.4
-0.03316,2.64,-2.4
-0.03312,2.56,-2.4
-0.03308,2.56,-2.48
-0.03304,2.56,-2.48
-0.033,2.48,-2.48
-0.03296,2.48,-2.56
-0.032920000000000005,2.48,-2.56
-0.032880000000000006,2.4,-2.64
-0.03284,2.48,-2.72
-0.0328,2.4,-2.72
-0.03276,2.32,-2.72
-0.03272,2.32,-2.72
-0.03268,2.32,-2.8000000000000003
-0.03264,2.32,-2.88
-0.032600000000000004,2.24,-2.88
-0.032560000000000006,2.16,-2.88
-0.03252,2.16,-2.88
-0.03248,2.16,-2.96
-0.03244,2.16,-2.96
-0.0324,2.16,-3.04
-0.03236,2.08,-3.04
-0.03232,2.08,-3.12
-0.03228,2.0,-3.12
-0.032240000000000005,2.0,-3.12
-0.032200000000000006,1.92,-3.12
-0.03216,1.92,-3.2
-0.03212,1.92,-3.2
-0.03208,1.84,-3.2
-0.03204,1.76,-3.2
-0.032,1.76,-3.36
-0.03196,1.76,-3.36
-0.031920000000000004,1.68,-3.36
-0.031880000000000006,1.68,-3.44
-0.03184,1.6,-3.44
-0.0318,1.6,-3.44
-0.03176,1.52,-3.44
-0.03172,1.44,-3.44
-0.03168,1.44,-3.44
-0.03164,1.44,-3.44
-0.0316,1.44,-3.44
-0.031560000000000005,1.36,-3.52
