,V_H,V_Bnint,V_B,V_pt,V_pr
0,-2.4287066272705315,0.7123271057895227,-0.016442362679107966,-2.637476141215473,-0.058236724596449865
1,-2.4872854191006493,0.9940285921519925,-0.01282237838482711,-2.639121594877931,-0.0585658140445509
2,-2.544054223667098,1.2619086660295402,-0.01183510993553974,-2.6373115958500115,-0.058401269320530705
3,-2.598848491108755,1.5126764024207342,-0.012328744160472804,-2.6366534143895897,-0.058401269320530705
4,-2.651668218693939,1.725105310363624,-0.013809646831800873,-2.6346788700219976,-0.058401269320530705
5,-2.7002097377957157,1.9085743881692654,-0.01627781793913169,-2.632375234952372,-0.058401269320530705
6,-2.74085299441951,2.057488948056719,-0.01693599689865298,-2.6269452381126963,-0.058236724596449865
7,-2.7757370988003722,2.198176355115359,-0.017594175857151187,-2.6211861507240757,-0.05790763514810608
8,-2.8056847834929965,2.3194473941326357,-0.016113273199091407,-2.6152625181620004,-0.05790763514810608
9,-2.8329997129646376,2.4282129859053634,-0.014632370535847053,-2.6068707056779004,-0.05774309042384314
10,-2.8553782153209264,2.5159166383533393,-0.011176930968061438,-2.597985257562519,-0.057414000975135035
11,-2.874959409285373,2.5868365320364965,-0.010189662514911837,-2.5900870818013146,-0.05757854569951944
12,-2.8924014846990427,2.6431117500135377,-0.009202394059441149,-2.579391635967472,-0.05724945625068985
13,-2.9042489340275055,2.7021843085741297,-0.013645102090799138,-2.569354371945928,-0.057084911526183904
14,-2.9177418642865853,2.764218761042904,-0.013151467867408631,-2.558165291343042,-0.057084911526183904
15,-2.92745019338324,2.836126121060663,-0.013974191572738437,-2.545824394349908,-0.056591277352301364
16,-2.9345257559160607,2.8970088259236992,-0.013974191572738437,-2.533154407562059,-0.05626218790274225
17,-2.9435758948386033,2.946702306675212,-0.013151467867408631,-2.5175226067776175,-0.055604009002893806
18,-2.9508160066238323,2.9799410075950172,-0.011341475710027582,-2.5030426239648667,-0.05543946427777949
19,-2.9575624749425438,3.00824327743123,-0.00969602828746681,-2.4851071921237278,-0.054616740651294016
20,-2.965460779952904,3.019597097491521,-0.010518751999552794,-2.4679944879597526,-0.054616740651294016
21,-2.9743463739128626,3.0112051433949896,-0.012328744160472804,-2.4484136070236913,-0.05412310647467114
22,-2.978130979012857,3.0140024613396514,-0.012657833643439961,-2.429490908676958,-0.05379401702328418
23,-2.981751036213485,3.016470683128187,-0.012657833643439961,-2.411720028270692,-0.053464927571653054
24,-2.9855356416240455,3.0316091115905874,-0.014138736313611816,-2.390329155635874,-0.05330038284574591
25,-2.9899784394827726,3.039507423113962,-0.011506020451929319,-2.3689382850807035,-0.05264220394150643
26,-2.9929403048437546,3.054316759113954,-0.015948728458987135,-2.3478765068459824,-0.051984025036288864
27,-2.9963958145548673,3.0724170620356084,-0.011999654677248409,-2.324675644028497,-0.051819480309831564
28,-2.997712199241671,3.0885427895886957,-0.011341475710027582,-2.2993356972447065,-0.050832211949802183
29,-3.0008386129501674,3.0998966199493836,-0.011012386226030887,-2.2749830237052477,-0.05033857776896049
30,-3.0005095167651983,3.1087822273463,-0.013151467867408631,-2.2519467131959434,-0.05000948831475949
31,-2.999686776308054,3.104174875249925,-0.012657833643439961,-2.2256195038749085,-0.04902221995068401
32,-2.991130276000456,3.0780117018720707,-0.010189662514911837,-2.198140482150897,-0.04852858576781734
33,-2.9750045660927764,3.0589241085966723,-0.013974191572738437,-2.169509648345617,-0.048034951584397606
34,-2.9465377586811354,3.0344064301749025,-0.015619638978586495,-2.140878817739234,-0.04754131740042443
35,-2.9109953989094075,3.016964327494072,-0.016113273199091407,-2.1102734505511953,-0.0468831384875987
36,-2.8655801814099986,2.9786246231680287,-0.014138736313611816,-2.079503541900224,-0.046060414845180836
37,-2.8130894322665347,2.9305766046674186,-0.012657833643439961,-2.048733636696018,-0.04540223593013694
38,-2.7528649723251535,2.8739721220959944,-0.013316012608603031,-2.01845736961662,-0.04474405701410586
39,-2.686387743466554,2.8124312412409327,-0.01496146001701655,-1.9857129321609823,-0.04392133336767749
40,-2.618923275238655,2.7569786637341376,-0.016606907419020267,-1.952968498316029,-0.043427699179078794
41,-2.5514588526700015,2.6988933572990157,-0.018087810075353927,-1.9192367987766306,-0.04227588607018293
42,-2.483994474867073,2.63718804136048,-0.01496146001701655,-1.8836951095087233,-0.0417822518797272
43,-2.4188338004055434,2.576799142678845,-0.015290549497929656,-1.8489761482756695,-0.04095952822772776
44,-2.3516986020070187,2.5058792559865237,-0.016442362679107966,-1.8139281009929775,-0.04030134930501142
45,-2.283411617008709,2.439073096473143,-0.017594175857151187,-1.7770700644558983,-0.03931408091907357
46,-2.216605595446395,2.382304348991942,-0.01677145215886859,-1.740047486887821,-0.03865590199387159
