,V_e,V_m,fase,Re,Im
115,5.2617449664429525,2.18431e-11,-139.41,-1.83934e-11,-1.57591e-11
116,5.34228187919463,2.18431e-11,-139.332,-1.83925e-11,-1.58035e-11
117,5.422818791946309,2.18431e-11,-139.242,-1.84138e-11,-1.58719e-11
118,5.503355704697986,2.18431e-11,-139.224,-1.84556e-11,-1.59163e-11
119,5.5838926174496635,2.18431e-11,-139.218,-1.84822e-11,-1.59447e-11
120,5.6644295302013425,2.18431e-11,-139.158,-1.84982e-11,-1.59918e-11
121,5.74496644295302,2.18431e-11,-139.068,-1.85e-11,-1.60424e-11
122,5.825503355704697,2.18431e-11,-138.99,-1.84902e-11,-1.60788e-11
123,5.906040268456374,2.18431e-11,-138.948,-1.85124e-11,-1.61232e-11
124,5.9865771812080535,2.18431e-11,-138.93,-1.85639e-11,-1.61783e-11
125,6.067114093959731,2.18431e-11,-138.888,-1.85977e-11,-1.62307e-11
126,6.147651006711408,2.18431e-11,-138.828,-1.86039e-11,-1.62715e-11
127,6.228187919463087,2.18431e-11,-138.768,-1.8611e-11,-1.63124e-11
128,6.308724832214764,2.18431e-11,-138.708,-1.86137e-11,-1.63488e-11
129,6.389261744966442,2.18431e-11,-138.618,-1.86128e-11,-1.64003e-11
130,6.469798657718121,2.18431e-11,-138.576,-1.8619e-11,-1.6427e-11
131,6.550335570469798,2.18431e-11,-138.564,-1.8611e-11,-1.64279e-11
132,6.630872483221475,2.18431e-11,-138.51,-1.85915e-11,-1.64412e-11
133,6.7114093959731544,2.18431e-11,-138.45,-1.86039e-11,-1.649e-11
134,6.791946308724832,2.18431e-11,-138.396,-1.86421e-11,-1.65531e-11
135,6.872483221476509,2.18431e-11,-138.45,-1.86829e-11,-1.65602e-11
136,6.953020134228186,2.18431e-11,-138.51,-1.87034e-11,-1.65424e-11
137,7.033557046979865,2.18431e-11,-138.582,-1.87274e-11,-1.65211e-11
138,7.114093959731543,2.18431e-11,-138.648,-1.87407e-11,-1.64954e-11
139,7.19463087248322,2.18431e-11,-138.672,-1.87629e-11,-1.6498e-11
140,7.275167785234899,2.18431e-11,-138.654,-1.87851e-11,-1.65291e-11
141,7.355704697986576,2.18431e-11,-138.6,-1.87949e-11,-1.65717e-11
142,7.436241610738254,2.18431e-11,-138.522,-1.88002e-11,-1.66188e-11
143,7.516778523489933,2.18431e-11,-138.492,-1.88277e-11,-1.66623e-11
144,7.59731543624161,2.18431e-11,-138.51,-1.88739e-11,-1.66916e-11
145,7.677852348993287,2.18431e-11,-138.528,-1.88997e-11,-1.6705e-11
146,7.758389261744966,2.18431e-11,-138.498,-1.8897e-11,-1.67192e-11
147,7.838926174496644,2.18431e-11,-138.468,-1.88837e-11,-1.67272e-11
148,7.919463087248321,2.18431e-11,-138.438,-1.88854e-11,-1.67449e-11
149,8.0,2.18431e-11,-138.36,-1.88863e-11,-1.67911e-11
