,V_e,V_m,fase,Re,Im
78,2.2818791946308723,1.82309e-11,-135.786,-1.30678e-11,-1.27134e-11
79,2.3624161073825496,1.87576e-11,-136.326,-1.35679e-11,-1.29541e-11
80,2.4429530201342278,1.8555e-11,-136.572,-1.34755e-11,-1.2757e-11
81,2.523489932885906,1.89831e-11,-135.906,-1.36345e-11,-1.32099e-11
82,2.6040268456375832,1.87211e-11,-136.026,-1.34746e-11,-1.29985e-11
83,2.6845637583892614,1.89183e-11,-135.858,-1.35768e-11,-1.31762e-11
84,2.7651006711409387,1.91155e-11,-136.344,-1.38308e-11,-1.31966e-11
85,2.845637583892617,1.93402e-11,-135.888,-1.38876e-11,-1.34622e-11
86,2.926174496644295,1.95134e-11,-136.722,-1.42082e-11,-1.33778e-11
87,3.0067114093959724,1.93651e-11,-135.882,-1.39027e-11,-1.34817e-11
88,3.0872483221476505,1.96013e-11,-136.632,-1.425e-11,-1.34604e-11
89,3.1677852348993287,1.99237e-11,-135.732,-1.42678e-11,-1.3908e-11
90,3.248322147651006,2.00232e-11,-136.014,-1.44072e-11,-1.39063e-11
91,3.328859060402684,2.0049e-11,-135.918,-1.44028e-11,-1.39489e-11
92,3.4093959731543624,2.01973e-11,-136.77,-1.47172e-11,-1.38352e-11
93,3.4899328859060397,2.03358e-11,-136.02,-1.46346e-11,-1.41212e-11
94,3.570469798657718,2.0597e-11,-135.912,-1.47954e-11,-1.43308e-11
95,3.651006711409395,2.07169e-11,-136.488,-1.50254e-11,-1.42642e-11
96,3.7315436241610733,2.08377e-11,-136.698,-1.51649e-11,-1.42926e-11
97,3.8120805369127515,2.07666e-11,-136.29,-1.50121e-11,-1.43504e-11
98,3.892617449664429,2.09069e-11,-136.392,-1.51382e-11,-1.44214e-11
99,3.973154362416107,2.09132e-11,-137.058,-1.53105e-11,-1.42482e-11
100,4.053691275167784,2.09176e-11,-136.488,-1.51711e-11,-1.44019e-11
101,4.134228187919463,2.11547e-11,-135.972,-1.52119e-11,-1.4703e-11
102,4.214765100671141,2.14097e-11,-135.918,-1.53798e-11,-1.48958e-11
103,4.295302013422818,2.13626e-11,-136.452,-1.54846e-11,-1.4719e-11
104,4.375838926174495,2.14043e-11,-135.714,-1.5323e-11,-1.49464e-11
105,4.456375838926174,2.18431e-11,-136.5,-1.58576e-11,-1.50485e-11
106,4.536912751677852,2.15544e-11,-136.602,-1.56614e-11,-1.48105e-11
107,4.617449664429529,2.16237e-11,-136.326,-1.56409e-11,-1.49331e-11
108,4.697986577181208,2.18431e-11,-136.608,-1.60637e-11,-1.51871e-11
109,4.778523489932885,2.18084e-11,-136.476,-1.58141e-11,-1.50192e-11
110,4.8590604026845625,2.18431e-11,-135.924,-1.5918e-11,-1.54118e-11
111,4.939597315436242,2.18431e-11,-136.188,-1.57893e-11,-1.5148e-11
