,V_H,V_Bnint,V_B,V_pt,V_pr
0,2.033101867965638,-0.0036078727677964217,-0.048199496312265666,-2.306575681757559,-0.26457576517586506
1,1.953297588085791,0.0021511933462041583,-0.04902221995068401,-2.3205620161150162,-0.26589212244005345
2,1.869379707990084,-0.018087810075353927,-0.048199496312265666,-2.333725625697783,-0.26737302435887467
3,1.7805255052196896,-0.017594175857151187,-0.0468831384875987,-2.345901965237456,-0.268524836959926
4,1.6870640710562927,-0.01249328890198853,-0.04589587011651236,-2.3580783054318166,-0.2696766495588155
5,1.5896535854013185,-0.014467825795166117,-0.048034951584397606,-2.3672928335848593,-0.27148664078128454
6,1.4907622185783471,-0.010847841483935958,-0.048034951584397606,-2.376013726651299,-0.2718157300938897
7,1.391212691970856,-0.026315046961065236,-0.04540223593013694,-2.3852282555464943,-0.2726384533746353
8,1.2923213601255048,-0.014303281054421038,-0.04556678065899042,-2.3926327879730427,-0.273461176654286
9,1.1940882199361127,-0.00870875983083455,-0.04589587011651236,-2.399379139956691,-0.27477753389945375
10,1.0956905454138444,-0.013809646831800873,-0.04375678863820644,-2.4054673114375817,-0.27510662321030915
11,0.9967992446532867,-0.007227857141525407,-0.043427699179078794,-2.410897302361323,-0.2752711678656715
12,0.8962625028505151,-0.01282237838482711,-0.04293406498992339,-2.415010931939371,-0.2762584357969303
13,0.7958903076233054,0.002644827588269616,-0.043427699179078794,-2.418630926032672,-0.2769166144168992
14,0.6943662993357964,-0.011176930968061438,-0.0417822518797272,-2.4215927394268335,-0.2772457037266228
15,0.5918550194526243,-0.008379670344773882,-0.04211134134009298,-2.42307364613916,-0.27708115907178277
16,0.4895082769423974,-0.010189662514911837,-0.04227588607018293,-2.424390007669771,-0.2774102483814195
17,0.38749061335628404,-0.005417864958584345,-0.041617707149451344,-2.4237318269034596,-0.27757479303617266
18,0.28761201689452776,-0.008379670344773882,-0.04112407295825171,-2.4232381913300465,-0.2772457037266228
19,0.1888852174922075,-0.017265086378029898,-0.03997225984328068,-2.422086374996479,-0.2767520697619722
20,0.09328474947632513,-0.017100541638373407,-0.04013680457417711,-2.4189600164077953,-0.27609389114182936
21,-0.000999380117008064,-0.010025117772494652,-0.039643170381301426,-2.4145172963858843,-0.27642298045198777
22,-0.09199263545553618,-0.01249328890198853,-0.041617707149451344,-2.4113909379065706,-0.2759293464866849
23,-0.18117591988056528,-0.024175965386046258,-0.03832681253089726,-2.405302766260189,-0.2744484445884239
24,-0.26871377896779175,-0.018087810075353927,-0.039149536187866374,-2.4006955013435847,-0.2744484445884239
25,-0.35378348876084226,-0.006734222910591434,-0.0388204467252654,-2.3924682428053017,-0.2736257213100849
26,-0.44016958318832805,-0.011341475710027582,-0.03684590994442957,-2.3852282555464943,-0.2726384533746353
27,-0.5272138852542203,-0.016113273199091407,-0.03618773101548943,-2.3766719072739626,-0.27214481940631946
28,-0.615245487696161,0.005606633053051452,-0.03783317833596882,-2.367621923883058,-0.27099300681204763
29,-0.7047580289959696,0.0051129988074445215,-0.03766863360420142,-2.356597399156816,-0.2696766495588155
