,t,V1,V2,V3
0,1.626772165298462,-0.000138108,-0.000302157,2.4314e-05
1,3.1951169967651367,-0.00015204600000000003,-0.000280506,2.5168e-05
2,4.756428956985474,-0.000172072,-0.000268445,2.5584e-05
3,6.319181442260742,-0.00018728800000000003,-0.000261943,2.3888e-05
4,7.887161493301392,-0.00020192800000000004,-0.000258792,2.1254e-05
5,9.452855825424194,-0.00021225000000000004,-0.000257106,2.0193e-05
6,11.017557382583618,-0.00021924,-0.000256729,1.9516e-05
7,12.573259592056274,-0.000220183,-0.000256226,1.9027e-05
8,14.14310598373413,-0.00022462599999999996,-0.000255745,1.9735e-05
9,15.702648162841797,-0.00022651299999999996,-0.000255734,2.0369e-05
10,17.269274473190308,-0.00022803200000000003,-0.000255295,2.1889e-05
11,18.824521780014038,-0.00022920599999999997,-0.0002552,2.2139e-05
12,20.395298957824707,-0.00022948899999999998,-0.000255169,2.2472e-05
13,21.959574937820435,-0.000227927,-0.000254865,2.2899e-05
14,23.524955987930298,-0.00022863,-0.000254174,2.3638e-05
15,25.08046555519104,-0.00022028799999999996,-0.000254227,2.4096e-05
16,26.646812200546265,-0.000207566,-0.000253546,2.4106e-05
17,28.20923089981079,-0.000215405,-0.000252782,2.4991e-05
18,29.774828672409058,-0.00022153499999999997,-0.000252897,2.6583e-05
19,31.333775520324707,-0.00022847200000000002,-0.000252499,2.6968e-05
