,V_H,V_Bnint,V_B,V_pt,V_pr
0,1.913148638759958,-0.00969602828746681,-0.04227588607018293,-1.032834509951324,-0.11138466739139068
1,1.8185353558310442,-0.02532777854315471,-0.04112407295825171,-1.074464292293082,-0.11599191911447183
2,1.7206312032260231,-0.016606907419020267,-0.04079498349714178,-1.1152713528662597,-0.12027008138934651
3,1.6219043518410823,-0.01183510993553974,-0.04095952822772776,-1.1554202363982913,-0.12438369892576552
4,1.5216966206843507,-0.02269506275091482,-0.04046589403578363,-1.195569121463861,-0.1288264058261594
5,1.4211598204515958,-0.009531483544856112,-0.041617707149451344,-1.2357180082513006,-0.13261093389478706
6,1.3196357698117294,-0.015619638978586495,-0.03980771511232212,-1.2763605308390442,-0.13771181950663997
7,1.21794718928486,-0.006405133422978396,-0.03997225984328068,-1.313218528888195,-0.14149634750742007
8,1.1167522542829647,-0.011506020451929319,-0.0388204467252654,-1.3528737878619175,-0.14528087547956614
9,1.015392783280703,-0.016442362679107966,-0.03766863360420142,-1.3905545133397068,-0.14972358219315296
10,0.9166660312080358,-0.004430596491855704,-0.03750408887237171,-1.4274125177995018,-0.15400174417679302
11,0.8174456478899403,-0.01298692312614999,-0.03668136521228811,-1.4639414352694413,-0.15811536143487304
12,0.7183898088402082,-0.0013042463317812503,-0.03783317833596882,-1.5007994445873072,-0.1612417105289246
13,0.617194886942103,-0.012328744160472804,-0.03602318628309835,-1.5366701883492067,-0.16535532772903905
14,0.5159999587471459,-0.0029496937873792206,-0.03816226779931671,-1.5720473006192337,-0.16881076615189072
15,0.413488664254351,1.2111637389039531e-05,-0.03552955208555049,-1.6064371472344585,-0.17358256203150413
16,0.3124582588844032,0.0001766563838289381,-0.0365168204800843,-1.6393460938691784,-0.17720254508362537
17,0.21488327631345727,-0.006240588679074732,-0.03635227574781806,-1.6745586696010535,-0.18049343874581592
18,0.12027008138934651,-0.011012386226030887,-0.03536500735290958,-1.707303076873435,-0.18378433238758407
19,0.028618673260679475,-0.01496146001701655,-0.0365168204800843,-1.7388956734225645,-0.1870752260090336
20,-0.06007094852943617,-0.004595141236472727,-0.03668136521228811,-1.7708173622051182,-0.19069520896928366
21,-0.14629241850683017,-0.011012386226030887,-0.03635227574781806,-1.8022454193543842,-0.19382155786992145
22,-0.23152664046455002,-0.01183510993553974,-0.035200462620206194,-1.8328507551836744,-0.19711245143003947
23,-0.31544452566657055,-0.00805058085845474,-0.03437773895575143,-1.8631270040737729,-0.20007425561712944
24,-0.39936243431159213,0.0008348353702415795,-0.03470682842172096,-1.8917578071922436,-0.20385878316618694
25,-0.48393854809635956,-0.0029496937873792206,-0.03536500735290958,-1.921540426921692,-0.20649149796755806
26,-0.5727928605202358,-0.004266051747173746,-0.03437773895575143,-1.947867606929974,-0.2097823914516354
27,-0.664444472088638,-0.008379670344773882,-0.033884104756327846,-1.976004783061127,-0.21225056155189126
28,-0.756096120151085,-0.008379670344773882,-0.03108684428227408,-2.0026610576230026,-0.21570599967390597
29,-0.8485705332234768,0.0021511933462041583,-0.032896836355789966,-2.0268491607139465,-0.21817416974801634
30,-0.941867714690517,-0.0006460673477179102,-0.03207411268695133,-2.0520245354862885,-0.22080688448180952
31,-1.0331903960480389,-0.011012386226030887,-0.031909567952995405,-2.0767062776495964,-0.2234395992033455
32,-1.1240194861020434,-0.012328744160472804,-0.033225925822886526,-2.1002362072382805,-0.22574322457467644
33,-1.2125449849031549,-0.009037849316636856,-0.03125138901654395,-2.123766138875951,-0.2283759392733733
34,-1.300083256246568,-0.006734222910591434,-0.033390470556340826,-2.14499244263217,-0.23067956462480166
35,-1.388937941124512,-0.017100541638373407,-0.03108684428227408,-2.1653960230633067,-0.23248955596587428
36,-1.475818126694981,-0.00887330457376799,-0.03075775481354584,-2.1866223302310694,-0.23479318130084198
37,-1.5613819952783077,-0.011670565193766719,-0.030922299547941387,-2.2062031888091336,-0.23759044062383744
38,-1.6459586384857507,-0.008215125601646625,-0.030428665344566216,-2.2269358642735915,-0.2397295212735166
39,-1.730699879351117,-0.004266051747173746,-0.030428665344566216,-2.243884005038833,-0.24104587859249765
40,-1.8146184424200356,-0.00870875983083455,-0.030593210079087454,-2.2601739666950746,-0.2425267805728108
41,-1.9008407087511405,-0.005253320214291771,-0.027960494319194562,-2.276628474540967,-0.24450131654074608
42,-1.984923929906558,0.006264812048114146,-0.030099575875335044,-2.2930829835278357,-0.24713403115435684
43,-2.068842662352086,-0.005746954446974956,-0.028454128525402828,-2.308385677920957,-0.24861493311935634
44,-2.147331412872099,-0.0019624253148017995,-0.029770486405852253,-2.3213847416918276,-0.2500958350806551
45,-2.2220356400456986,-0.00936693880218091,-0.027631404848073693,-2.3345483513218386,-0.2504249244048865
46,-2.2921326030828144,-0.006898767654300822,-0.026479591697162366,-2.347218326307893,-0.25190582636167486
47,-2.358938670400377,0.001986648598979901,-0.028125039054660364,-2.3587364860016162,-0.2533867283147835
48,-2.4226183839281035,0.015643862842497996,-0.028947762731043755,-2.370254646286117,-0.2551967195858217
49,-2.4833362860328885,-0.005911499191073019,-0.030264120609982056,-2.379962810416573,-0.25585489822847957
50,-2.545535149424594,-0.017594175857151187,-0.028947762731043755,-2.390164610469857,-0.2566776215307868
51,-2.607734050800213,-0.015455094238290112,-0.02779594958366567,-2.39724005271988,-0.25700671085139426
52,-2.6669711356838723,-0.01693599689865298,-0.026644136433196325,-2.4043154951984413,-0.2566776215307868
53,-2.720449090176375,0.0013284696107371124,-0.028454128525402828,-2.41254275418318,-0.2584876127919004
54,-2.766522428483293,0.006922991044229179,-0.026150502224904906,-2.417479109723687,-0.26079123802546056
55,-2.8065075222169567,0.0008348353702415795,-0.02828958379006312,-2.42241546537687,-0.26079123802546056
56,-2.839746172670496,-0.005088775469934331,-0.02878321799589313,-2.4258709144013273,-0.2602976040475798
57,-2.8700229734434686,-0.012164199418892754,-0.030428665344566216,-2.429490908676958,-0.2602976040475798
58,-2.8956924426931847,-0.01792326533601689,-0.026973225905074685,-2.4306427250501828,-0.26013305938819664
59,-2.9203746313975896,-0.019733257465214704,-0.02549232327963126,-2.4308072702468624,-0.26013305938819664
60,-2.9369939755331727,-0.011176930968061438,-0.025821412752394565,-2.4319590866271565,-0.2599685147287688
61,-2.9516387466358824,-0.001139701585863212,-0.02516323380661488,-2.432781812616871,-0.2606266933662117
62,-2.9657898760099384,0.0001766563838289381,-0.02565686801604454,-2.431136360640601,-0.2611203273438241
63,-2.9778018829109096,-0.003114238532581054,-0.026479591697162366,-2.429490908676958,-0.2606266933662117
64,-2.988826602979831,0.015314773337296667,-0.0291123074661314,-2.4270227307551417,-0.2602976040475798
65,-2.998699487769435,-0.00870875983083455,-0.02532777854315471,-2.42241546537687,-0.2594748807502163
66,-3.010217854729516,-0.022201428538062007,-0.024505054859822475,-2.4171500193508186,-0.2586521574517319
67,-3.018116164358409,0.001493014357699704,-0.025821412752394565,-2.4128718445490485,-0.258323068132024
68,-3.0217362231715965,0.009720251789477392,-0.024669599596615563,-2.407770943934132,-0.2581585234721026
69,-3.0296345338192885,0.008403893789339874,-0.02598595748868135,-2.3995436851296192,-0.25782943415212517
70,-3.0345709783296595,0.00807480428996514,-0.025821412752394565,-2.391645516968443,-0.25634853220999915
71,-3.04131745293691,0.018112034139995105,-0.02828958379006312,-2.3827600781262315,-0.25552580890724086
72,-3.045102060867765,0.01383387056718012,-0.028947762731043755,-2.375191000875713,-0.25470308560335403
73,-3.0490512171416606,0.004290275066079707,-0.026479591697162366,-2.3615337534447955,-0.25289309433082224
74,-3.056784982021279,-0.009202394059441149,-0.025821412752394565,-2.3501801387443857,-0.25091855839089205
75,-3.056455885629657,0.005935722550451314,-0.02499868907001175,-2.3381683441029484,-0.25091855839089205
76,-3.0585950121970895,0.01975748167999515,-0.026808681169167084,-2.32434655379271,-0.2500958350806551
77,-3.0617214280426017,0.015643862842497996,-0.027631404848073693,-2.310853854530149,-0.24861493311935634
78,-3.0656705850582595,0.013175691559965536,-0.026644136433196325,-2.294728434489776,-0.24647585250205556
79,-3.068467904717933,-0.013809646831800873,-0.02549232327963126,-2.2802484664197302,-0.24466586120444128
80,-3.0663287779113797,0.01202387829989264,-0.024505054859822475,-2.2634648681735974,-0.2425267805728108
81,-3.0640251029469354,0.02617472714997464,-0.02499868907001175,-2.2458585457871876,-0.24137496792177976
82,-3.05135489171602,0.016960220865964742,-0.026150502224904906,-2.229568585092118,-0.24038769993337783
83,-3.0358873635786745,0.013011146808327705,-0.026808681169167084,-2.2085068193307187,-0.23759044062383744
84,-3.007091440694001,-0.0004815226015390389,-0.02434051012296605,-2.1885968705228214,-0.23446409196783735
85,-2.9703972209340272,-0.003936962257615029,-0.024505054859822475,-2.169509648345617,-0.23265410063296255
86,-2.9184000560572505,0.025516548122711896,-0.027960494319194562,-2.1491060675899347,-0.23100865395996556
87,-2.8617955809562603,0.01630204185369888,-0.026644136433196325,-2.1270570385711762,-0.22886957327802976
88,-2.8007483512995033,0.004783909310701648,-0.028618673260679475,-2.102868926759575,-0.22574322457467644
89,-2.7324610655393515,0.0001766563838289381,-0.026973225905074685,-2.080161721728038,-0.2227814205241077
90,-2.6640092805970204,-0.0016333358234218304,-0.027302315376700442,-2.0571254286874505,-0.22080688448180952
91,-2.592102048165322,0.01185933354871866,-0.028947762731043755,-2.0319500534616286,-0.2180096250767461
92,-2.523650359861964,-0.002785149042112328,-0.029276852201156056,-2.006610135541029,-0.21471873164122263
93,-2.456844188913845,-0.009037849316636856,-0.027631404848073693,-1.9801184055224865,-0.21192147220582264
94,-2.3865825723840572,0.011201154544684712,-0.030264120609982056,-1.9526394085466217,-0.2094533021041068
95,-2.313359156983522,0.01202387829989264,-0.029605941671016475,-1.92483132430107,-0.20616240861807383
96,-2.2421103526586603,0.00807480428996514,-0.029605941671016475,-1.896858697667234,-0.20303605978817718
97,-2.166418831910509,0.010707520292353966,-0.030922299547941387,-1.8675697147390042,-0.19990971094049048
98,-2.0841454963836443,0.009555707039229186,-0.03108684428227408,-1.8387743688836125,-0.19777063013967194
99,-2.0022013112285664,0.016631131359698632,-0.030428665344566216,-1.8068526740386532,-0.19415064722683162
100,-1.9133462331541822,0.005935722550451314,-0.030428665344566216,-1.7767409748610676,-0.19053066428980103
101,-1.821529385298648,0.005935722550451314,-0.03125138901654395,-1.743173837739842,-0.1870752260090336
102,-1.723295302799844,0.012682057305250953,-0.032896836355789966,-1.7120748751446349,-0.18378433238758407
103,-1.6235803777563793,0.011530244046569313,-0.03273229162214765,-1.6788368332131773,-0.1803288940631923
104,-1.521726426888061,0.009062072788880701,-0.033884104756327846,-1.646092428241533,-0.17588618761300767
105,-1.4187207264286175,-0.0009751568398799898,-0.03306138108936958,-1.6121962127156166,-0.17259529392205153
106,-1.3176896435595689,0.0031384618309244633,-0.033884104756327846,-1.5781354550933757,-0.1693044002104241
107,-1.216164987689736,0.010707520292353966,-0.03618773101548943,-1.5425937976623114,-0.16486169366675352
108,-1.1152985750935327,0.002644827588269616,-0.03421319422267281,-1.5067230534717782,-0.1610771658402379
109,-1.0170649463886867,0.002644827588269616,-0.035200462620206194,-1.4708523118207937,-0.1569635486059469
110,-0.9165277351405298,0.0172893103724973,-0.03470682842172096,-1.43481702790494,-0.15301447602991908
111,-0.8186232989092307,0.006922991044229179,-0.03552955208555049,-1.3969717550237617,-0.14988812688549846
112,-0.7190734570611262,0.016137497100798842,-0.0373395441404797,-1.358961939862515,-0.14511633078571828
113,-0.62100456560455,0.004619364562428702,-0.03602318628309835,-1.3201294037313525,-0.14149634750742007
114,-0.520796629473362,0.01827657889369473,-0.03766863360420142,-1.2816259590199797,-0.13705364072096105
115,-0.41894328321949864,0.014327504823287866,-0.035858641550644846,-1.2436161501333178,-0.13343365738412355
116,-0.31906451338646746,0.009720251789477392,-0.0373395441404797,-1.2023154506756126,-0.12866186112686306
117,-0.22000850109242281,0.0013284696107371124,-0.03684590994442957,-1.16233110994261,-0.12454824362649976
118,-0.12506613870768735,-0.005911499191073019,-0.0373395441404797,-1.122511315365503,-0.1197764472826366
119,-0.031604704166079405,-0.0019624253148017995,-0.03783317833596882,-1.0823624329500185,-0.11582737441083564
120,0.057084911526183904,-0.0009751568398799898,-0.03849135726241555,-1.0405681057962108,-0.11105557798090752
121,0.14314179445534053,-0.004266051747173746,-0.03849135726241555,-0.9995965026656015,-0.10611923679646894
122,0.22590776924370065,-0.003936962257615029,-0.0388204467252654,-0.9571439990961637,-0.10134744026949043
123,0.3091673659598425,0.0003412011303341317,-0.03865590199387159,-0.9145269516175819,-0.09772745666517611
124,0.3934142199644836,0.0005057458769046203,-0.03832681253089726,-0.8714162708461605,-0.09312020476481754
125,0.47881287726287924,-0.004430596491855704,-0.03832681253089726,-0.8294574023813182,-0.08818386339258942
126,0.566021517725378,0.004125730318003645,-0.04013680457417711,-0.7860176326790596,-0.08357661139782034
127,0.6558628658077125,0.009555707039229186,-0.03898499145659699,-0.742413318159697,-0.07847572520706893
128,0.7478432894227646,0.021238384471709094,-0.03832681253089726,-0.6988090031640327,-0.07485574142436459
129,0.8404818893804875,0.019263847417293978,-0.04030134930501142,-0.6543819645043605,-0.0699193998561524
130,0.933449578806905,0.007252080542681581,-0.039149536187866374,-0.6099549248446118,-0.06498305823414897
131,1.0251009141420018,0.005771177801718513,-0.03997225984328068,-0.5658569731268087,-0.059388537663742094
132,1.1146131744594232,0.013998415319149644,-0.04013680457417711,-0.5202781184804284,-0.05543946427777949
133,1.2036318076007235,0.024693824340147344,-0.041946796609941064,-0.476344708089666,-0.05066766722291624
134,1.2914986369581052,0.011694788797610892,-0.04227588607018293,-0.4299431264230219,-0.04622495957378764
135,1.3792009320632068,-0.0006460673477179102,-0.041288617688713614,-0.3860097116972216,-0.04079498349714178
136,1.4652577927009556,-0.0029496937873792206,-0.04227588607018293,-0.338620857064618,-0.03618773101548943
137,1.550821032940498,0.0034675513263552893,-0.04260497553017699,-0.2960037940968912,-0.030922299547941387
138,1.6352324754022138,0.005771177801718513,-0.044085878097086764,-0.24943765643164523,-0.026479591697162366
139,1.7199730241361146,0.005606633053051452,-0.04523769120122176,-0.2033651491395288,-0.021872339062509183
140,1.8053717707407042,-0.010518751999552794,-0.04276952026008114,-0.15860899550362023,-0.016442362679107966
141,1.8904414483730725,-0.005417864958584345,-0.04359224390867353,-0.1135237485540271,-0.011012386226030887
142,1.9738656994035646,-0.00015243310898559181,-0.04474405701410586,-0.06794486321382558,-0.00706331239794547
143,2.056631793857472,0.012682057305250953,-0.04507314647224485,-0.021543249586702132,-0.0021269700603940983
144,2.1357779229617235,-0.0016333358234218304,-0.04392133336767749,0.025516548122711896,0.0039611855699931975
145,2.2111395399529137,-0.0008106120938315559,-0.04457951228494375,0.07010817969711548,0.008568438539126144
146,2.281564827116635,-0.002456059551383394,-0.04260497553017699,0.11601617483401928,0.013340236311669675
147,2.349028322792249,0.011036609793841655,-0.04457951228494375,0.16258235503197643,0.017453855125863525
148,2.4130363897321705,0.021896563491988777,-0.04556678065899042,0.2075030930894401,0.022061108247226173
149,2.4757281137061065,0.0036320960741690195,-0.04638950430233284,0.2535756512650811,0.027820174722847056
150,2.539242582931791,0.004783909310701648,-0.04507314647224485,0.30014185078552164,0.032921062241685735
151,2.6011116188899885,0.017618399879296413,-0.044908601743206225,0.3450626083052535,0.037528315540558355
152,2.6598543122514946,0.02107383971680659,-0.046060414845180836,0.3891606480298287,0.04114830031290118
153,2.7157997515889787,0.024529279583836154,-0.04556678065899042,0.4344105093901097,0.04526191941264423
154,2.763682479478225,0.016631131359698632,-0.04754131740042443,0.480483103235535,0.05102098622461519
155,2.8031733987790974,0.023048376780058305,-0.04885767522312322,0.5268847952102307,0.056615508351810034
156,2.8393734160063975,0.007910259540376656,-0.047870406856468053,0.5696665045485961,0.061387306700456
157,2.8699788910934285,-0.00805058085845474,-0.043263154449422206,0.6159036680214853,0.06615910510806756
158,2.8956480035182444,-0.011670565193766719,-0.043427699179078794,0.6609890246849631,0.07158908267851274
