,V_H,V_Bnint,V_B,V_pt,V_pr
0,1.9858774770637078,0.00823934903961955,-0.044908601743206225,-1.6312834017113047,-0.17670891103252895
1,2.6300715999106035,0.007087535793422459,-0.04737677267231033,-1.5982099109629149,-0.1721016598666278
2,3.068091889609271,0.001163924863839913,-0.046718593759238355,-1.5639846096822108,-0.16831713209288945
3,3.073028263176485,-0.0036078727677964217,-0.04754131740042443,-1.5276202298158337,-0.1638744255407703
4,3.0407772920650524,0.012188423051132852,-0.046554049030816405,-1.4929012995146966,-0.16173534459466926
5,3.0123108792527917,0.01185933354871866,-0.04737677267231033,-1.4548914780141675,-0.15762172736565044
6,2.973642638870768,0.006264812048114146,-0.04573132538778224,-1.4196789184580472,-0.15350811010359539
7,2.929873492925438,-0.00870875983083455,-0.046718593759238355,-1.380023655337119,-0.14840722465246248
8,2.8744216218085388,-0.023024152225832567,-0.044085878097086764,-1.3428365644165465,-0.14396451792727494
9,2.812058856850437,-0.0008106120938315559,-0.04441496755571987,-1.3046622077470427,-0.14067362403143086
10,2.7441015685929306,0.003796640822048322,-0.04556678065899042,-1.265994219213023,-0.1359018278439249
11,2.67400521589962,-0.013480557349733177,-0.04573132538778224,-1.2266680541022836,-0.13244638919675533
12,2.604237980267876,-0.016113273199091407,-0.04573132538778224,-1.1858609892686247,-0.12751004823024387
13,2.53479986034653,-0.01627781793913169,-0.044085878097086764,-1.1466993722285206,-0.12339643072019478
14,2.4665135809345338,-0.011341475710027582,-0.043263154449422206,-1.105892310602572,-0.1189537237703364
15,2.39674641720666,-0.009531483544856112,-0.04457951228494375,-1.0639334381530425,-0.11401738266712862
16,2.324182008674993,-0.01874598903206373,-0.04260497553017699,-1.0241136465943665,-0.10941013092509795
17,2.2479976316160526,-0.004430596491855704,-0.04309860971970374,-0.983306588411277,-0.10529651326075849
18,2.1711550984770196,0.012188423051132852,-0.04359224390867353,-0.9393731838616324,-0.10134744026949043
19,2.092173503863658,-0.004924230725512027,-0.04276952026008114,-0.8969206811832144,-0.09641109898397797
20,2.008749219435605,-0.01183510993553974,-0.04095952822772776,-0.8539745451169787,-0.09196839178264136
21,1.9210467923177592,-0.003278783277717856,-0.041946796609941064,-0.8111929537696234,-0.08752568453900027
22,1.8290662242624436,-0.00887330457376799,-0.041946796609941064,-0.7684113623301032,-0.08242479839194942
23,1.731984792704678,-0.021049615372514707,-0.04063043876649375,-0.7238197801394829,-0.07798209105656921
