t,V1
-0.0939,0.68
-0.0938,0.6
-0.0937,0.64
-0.09359999999999999,0.64
-0.0935,0.6
-0.0934,0.6
-0.0933,0.6
-0.0932,0.56
-0.09309999999999999,0.6
-0.093,0.6
-0.0929,0.6
-0.0928,0.68
-0.0927,0.64
-0.0926,0.6
-0.0925,0.72
-0.0924,0.72
-0.0923,0.64
-0.0922,0.68
-0.0921,0.6
-0.092,0.56
-0.0919,0.56
-0.09179999999999999,0.6
-0.0917,0.52
-0.0916,0.48
-0.0915,0.6
-0.0914,0.68
-0.09129999999999999,0.6
-0.0912,0.56
-0.0911,0.56
-0.091,0.56
-0.09090000000000001,0.52
-0.09079999999999999,0.6
-0.0907,0.56
-0.0906,0.52
-0.0905,0.56
-0.09040000000000001,0.56
-0.09029999999999999,0.52
-0.0902,0.48
-0.0901,0.44
-0.09,0.48
-0.08990000000000001,0.48
-0.08979999999999999,0.52
-0.0897,0.44
-0.0896,0.52
-0.0895,0.56
-0.08940000000000001,0.52
-0.08929999999999999,0.56
-0.0892,0.52
-0.0891,0.48
-0.089,0.52
-0.0889,0.52
-0.08879999999999999,0.52
-0.0887,0.44
-0.0886,0.44
-0.0885,0.44
-0.0884,0.4
-0.08829999999999999,0.36
-0.0882,0.36
-0.0881,0.36
-0.088,0.36
-0.0879,0.4
-0.08779999999999999,0.48
-0.0877,0.4
-0.0876,0.4
-0.0875,0.36
-0.0874,0.32
-0.08729999999999999,0.32
-0.0872,0.32
-0.0871,0.36
-0.087,0.36
-0.0869,0.32
-0.08679999999999999,0.36
-0.0867,0.32
-0.0866,0.24
-0.0865,0.28
-0.0864,0.4
-0.08629999999999999,0.36
-0.0862,0.32
-0.0861,0.36
-0.086,0.36
-0.0859,0.32
-0.0858,0.32
-0.0857,0.32
-0.0856,0.32
-0.08549999999999999,0.32
-0.0854,0.28
-0.0853,0.24
-0.0852,0.24
-0.0851,0.24
-0.08499999999999999,0.28
-0.0849,0.28
-0.0848,0.24
-0.0847,0.28
-0.0846,0.24
-0.08449999999999999,0.24
-0.0844,0.24
-0.0843,0.28
-0.0842,0.24
-0.08410000000000001,0.28
-0.08399999999999999,0.32
-0.0839,0.24
-0.0838,0.2
-0.0837,0.12
-0.08360000000000001,0.12
-0.08349999999999999,0.24
-0.0834,0.24
-0.0833,0.24
-0.0832,0.2
-0.08310000000000001,0.16
-0.08299999999999999,0.2
-0.0829,0.12
-0.0828,0.16
-0.0827,0.2
-0.0826,0.16
-0.08249999999999999,0.2
-0.0824,0.2
-0.0823,0.24
-0.0822,0.2
-0.0821,0.24
-0.08199999999999999,0.24
-0.0819,0.24
-0.0818,0.24
-0.0817,0.24
-0.0816,0.24
-0.08149999999999999,0.24
-0.0814,0.2
-0.0813,0.16
-0.0812,0.16
-0.0811,0.16
-0.08099999999999999,0.16
-0.0809,0.2
-0.0808,0.16
-0.0807,0.12
-0.0806,0.2
-0.08049999999999999,0.28
-0.0804,0.24
-0.0803,0.24
-0.0802,0.24
-0.0801,0.2
-0.07999999999999999,0.28
-0.0799,0.24
-0.0798,0.24
-0.0797,0.24
-0.0796,0.28
-0.0795,0.24
-0.0794,0.24
-0.0793,0.28
-0.07919999999999999,0.36
-0.0791,0.28
-0.079,0.24
-0.0789,0.24
-0.0788,0.24
-0.07869999999999999,0.24
-0.0786,0.28
-0.0785,0.28
-0.0784,0.28
-0.0783,0.28
-0.07819999999999999,0.32
-0.0781,0.32
-0.078,0.28
-0.0779,0.32
-0.07780000000000001,0.24
-0.07769999999999999,0.2
-0.0776,0.2
-0.0775,0.24
-0.0774,0.24
-0.07730000000000001,0.24
-0.07719999999999999,0.24
-0.0771,0.24
-0.077,0.24
-0.0769,0.24
-0.07680000000000001,0.2
-0.07669999999999999,0.2
-0.0766,0.24
-0.0765,0.2
-0.0764,0.24
-0.0763,0.28
-0.07619999999999999,0.28
-0.0761,0.28
-0.076,0.32
-0.0759,0.32
-0.0758,0.32
-0.07569999999999999,0.28
-0.0756,0.32
-0.0755,0.36
-0.0754,0.2
-0.0753,0.28
-0.07519999999999999,0.28
-0.0751,0.28
-0.075,0.24
-0.0749,0.24
-0.0748,0.32
-0.07469999999999999,0.28
-0.0746,0.24
-0.0745,0.28
-0.0744,0.32
-0.0743,0.32
-0.07419999999999999,0.28
-0.0741,0.36
-0.074,0.32
-0.0739,0.4
-0.0738,0.32
-0.07369999999999999,0.36
-0.0736,0.32
-0.0735,0.32
-0.07339999999999999,0.32
-0.0733,0.36
-0.07319999999999999,0.32
-0.0731,0.32
-0.073,0.28
-0.07289999999999999,0.28
-0.0728,0.32
-0.0727,0.36
-0.0726,0.4
-0.0725,0.36
-0.07239999999999999,0.36
-0.0723,0.36
-0.0722,0.4
-0.0721,0.36
-0.072,0.28
-0.07189999999999999,0.24
-0.0718,0.28
-0.0717,0.32
-0.0716,0.28
-0.0715,0.28
-0.07139999999999999,0.24
-0.0713,0.28
-0.0712,0.24
-0.0711,0.28
-0.07100000000000001,0.28
-0.07089999999999999,0.28
-0.0708,0.28
-0.0707,0.24
-0.0706,0.24
-0.07050000000000001,0.28
-0.07039999999999999,0.32
-0.0703,0.32
-0.0702,0.36
-0.0701,0.28
-0.07,0.28
-0.06989999999999999,0.28
-0.0698,0.32
-0.0697,0.28
-0.0696,0.4
-0.0695,0.44
-0.06939999999999999,0.4
-0.0693,0.36
-0.0692,0.48
-0.0691,0.48
-0.069,0.52
-0.06889999999999999,0.48
-0.0688,0.44
-0.0687,0.44
-0.0686,0.48
-0.0685,0.48
-0.06839999999999999,0.52
-0.0683,0.48
-0.0682,0.56
-0.0681,0.48
-0.068,0.48
-0.06789999999999999,0.48
-0.0678,0.52
-0.0677,0.52
-0.0676,0.56
-0.0675,0.52
-0.06739999999999999,0.56
-0.0673,0.56
-0.0672,0.68
-0.06709999999999999,0.64
-0.067,0.64
-0.06689999999999999,0.56
-0.0668,0.56
-0.0667,0.6
-0.06659999999999999,0.6
-0.0665,0.6
-0.06639999999999999,0.6
-0.0663,0.6
-0.0662,0.56
-0.06609999999999999,0.56
-0.066,0.56
-0.0659,0.64
-0.0658,0.64
-0.0657,0.6
-0.06559999999999999,0.64
-0.0655,0.52
-0.0654,0.56
-0.0653,0.52
-0.0652,0.56
-0.06509999999999999,0.56
-0.065,0.6
-0.0649,0.56
-0.0648,0.56
-0.06470000000000001,0.64
-0.06459999999999999,0.64
-0.0645,0.6
-0.0644,0.64
-0.0643,0.56
-0.06420000000000001,0.56
-0.06409999999999999,0.52
-0.064,0.6
-0.0639,0.52
-0.0638,0.56
-0.0637,0.56
-0.06359999999999999,0.56
-0.0635,0.6
-0.0634,0.6
-0.0633,0.6
-0.0632,0.68
-0.06309999999999999,0.68
-0.063,0.68
-0.0629,0.68
-0.0628,0.68
-0.0627,0.68
-0.06259999999999999,0.68
-0.0625,0.68
-0.0624,0.68
-0.062299999999999994,0.6
-0.06219999999999999,0.6
-0.0621,0.6
-0.062,0.64
-0.0619,0.68
-0.061799999999999994,0.76
-0.06169999999999999,0.76
-0.0616,0.64
-0.0615,0.64
-0.061399999999999996,0.68
-0.06129999999999999,0.64
-0.06119999999999999,0.6
-0.0611,0.6
-0.061,0.6
-0.060899999999999996,0.68
-0.06079999999999999,0.72
-0.06069999999999999,0.64
-0.0606,0.68
-0.0605,0.72
-0.060399999999999995,0.64
-0.06029999999999999,0.68
-0.060200000000000004,0.6
-0.0601,0.6
-0.06,0.64
-0.059899999999999995,0.64
-0.05979999999999999,0.6
-0.0597,0.64
-0.0596,0.64
-0.0595,0.68
-0.059399999999999994,0.6
-0.05929999999999999,0.56
-0.0592,0.64
-0.0591,0.68
-0.059,0.64
-0.058899999999999994,0.64
-0.05879999999999999,0.68
-0.0587,0.68
-0.0586,0.72
-0.058499999999999996,0.64
-0.058399999999999994,0.72
-0.05829999999999999,0.76
-0.0582,0.64
-0.0581,0.6
-0.057999999999999996,0.56
-0.05789999999999999,0.64
-0.05779999999999999,0.68
-0.0577,0.8
-0.0576,0.72
-0.057499999999999996,0.72
-0.05739999999999999,0.76
-0.05729999999999999,0.68
-0.0572,0.8
-0.0571,0.72
-0.056999999999999995,0.84
-0.05689999999999999,0.84
-0.0568,0.72
-0.0567,0.76
-0.0566,0.76
-0.056499999999999995,0.76
-0.05639999999999999,0.72
-0.0563,0.84
-0.0562,0.8
-0.0561,0.76
-0.055999999999999994,0.68
-0.05589999999999999,0.64
-0.0558,0.64
-0.0557,0.72
-0.0556,0.68
-0.055499999999999994,0.76
-0.05539999999999999,0.8
-0.0553,0.8
-0.0552,0.8
-0.055099999999999996,0.76
-0.05499999999999999,0.8
-0.05489999999999999,0.8
-0.0548,0.68
-0.0547,0.68
-0.054599999999999996,0.72
-0.05449999999999999,0.76
-0.05439999999999999,0.8
-0.0543,0.8
-0.0542,0.8
-0.054099999999999995,0.72
-0.05399999999999999,0.68
-0.0539,0.68
-0.0538,0.76
-0.0537,0.76
-0.053599999999999995,0.72
-0.05349999999999999,0.68
-0.0534,0.68
-0.0533,0.64
-0.0532,0.64
-0.053099999999999994,0.64
-0.05299999999999999,0.6
-0.0529,0.64
-0.0528,0.6
-0.0527,0.64
-0.052599999999999994,0.72
-0.05249999999999999,0.64
-0.0524,0.6
-0.0523,0.72
-0.052199999999999996,0.8
-0.052099999999999994,0.72
-0.05199999999999999,0.68
-0.0519,0.6
-0.0518,0.64
-0.051699999999999996,0.6
-0.05159999999999999,0.64
-0.05149999999999999,0.68
-0.0514,0.6
-0.0513,0.64
-0.051199999999999996,0.68
-0.05109999999999999,0.68
-0.05099999999999999,0.68
-0.0509,0.6
-0.0508,0.64
-0.050699999999999995,0.6
-0.05059999999999999,0.64
-0.0505,0.64
-0.0504,0.6
-0.0503,0.6
-0.050199999999999995,0.6
-0.05009999999999999,0.64
-0.05,0.6
-0.0499,0.68
-0.0498,0.76
-0.049699999999999994,0.76
-0.04959999999999999,0.8
-0.0495,0.72
-0.0494,0.72
-0.0493,0.68
-0.049199999999999994,0.72
-0.04909999999999999,0.68
-0.049,0.64
-0.0489,0.68
-0.048799999999999996,0.72
-0.04869999999999999,0.68
-0.04859999999999999,0.84
-0.0485,0.8
-0.0484,0.76
-0.048299999999999996,0.76
