Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.005
Label,,
TIME,CH1,CH2
-3.2560e-04,-9.8,0.0004
-3.2544e-04,-9.8,0.0006
-3.2528e-04,-9.8,0.0006
-3.2512e-04,-9.8,0.0006
-3.2496e-04,-9.8,0.0008
-3.2480e-04,-9.8,0.0004
-3.2464e-04,-9.8,0.0008
-3.2448e-04,-9.8,0.0006
-3.2432e-04,-9.8,0.0008
-3.2416e-04,-9.8,0.0008
-3.2400e-04,-9.8,0.0006
-3.2384e-04,-9.8,0.0008
-3.2368e-04,-9.8,0.0006
-3.2352e-04,-10,0.0006
-3.2336e-04,-9.8,0.0004
-3.2320e-04,-9.8,0.0004
-3.2304e-04,-9.8,0.0008
-3.2288e-04,-9.8,0.0008
-3.2272e-04,-9.8,0.0008
-3.2256e-04,-9.8,0.0004
-3.2240e-04,-9.8,0.0004
-3.2224e-04,-9.8,0.0004
-3.2208e-04,-9.8,0.0008
-3.2192e-04,-9.8,0.0008
-3.2176e-04,-9.8,0.0006
-3.2160e-04,-9.8,0.0004
-3.2144e-04,-9.8,0.0006
-3.2128e-04,-9.8,0.0006
-3.2112e-04,-9.8,0.0004
-3.2096e-04,-9.8,0.0006
-3.2080e-04,-10,0.0006
-3.2064e-04,-9.8,0.0004
-3.2048e-04,-9.8,0.0006
-3.2032e-04,-9.8,0.0004
-3.2016e-04,-9.8,0.0004
-3.2000e-04,-9.8,0.0004
-3.1984e-04,-9.8,0.0006
-3.1968e-04,-9.8,0.0006
-3.1952e-04,-9.8,0.0004
-3.1936e-04,-9.8,0.0006
-3.1920e-04,-9.8,0.0004
-3.1904e-04,-9.8,0.0004
-3.1888e-04,-9.8,0.0004
-3.1872e-04,-9.8,0.0004
-3.1856e-04,-9.8,0.0004
-3.1840e-04,-9.8,0.0006
-3.1824e-04,-9.8,0.0006
-3.1808e-04,-9.8,0.0004
-3.1792e-04,-9.8,0.0006
-3.1776e-04,-9.8,0.0006
-3.1760e-04,-9.8,0.0006
-3.1744e-04,-9.8,0.0006
-3.1728e-04,-9.8,0.0006
-3.1712e-04,-9.8,0.0004
-3.1696e-04,-9.8,0.0006
-3.1680e-04,-9.8,0.0004
-3.1664e-04,-9.8,0.0006
-3.1648e-04,-9.8,0.0006
-3.1632e-04,-9.8,0.0006
-3.1616e-04,-9.8,0.0008
-3.1600e-04,-9.8,0.0006
-3.1584e-04,-9.8,0.0004
-3.1568e-04,-9.8,0.0002
-3.1552e-04,-9.8,0.0006
-3.1536e-04,-9.8,0.0006
-3.1520e-04,-9.8,0.0008
-3.1504e-04,-9.8,0.0006
-3.1488e-04,-9.8,0.0006
-3.1472e-04,-9.8,0.0006
-3.1456e-04,-9.8,0.0004
-3.1440e-04,-9.8,0.0004
-3.1424e-04,-9.8,0.0006
-3.1408e-04,-9.8,0.0006
-3.1392e-04,-9.8,0.0006
-3.1376e-04,-9.8,0.0006
-3.1360e-04,-9.8,0.0006
-3.1344e-04,-9.8,0.0006
-3.1328e-04,-9.8,0.0006
-3.1312e-04,-9.8,0.0008
-3.1296e-04,-10,0.0006
-3.1280e-04,-9.8,0.0004
-3.1264e-04,-9.8,0.0006
-3.1248e-04,-9.8,0.0006
-3.1232e-04,-9.8,0.0004
-3.1216e-04,-9.8,0.0006
-3.1200e-04,-9.8,0.0004
-3.1184e-04,-9.8,0.0004
-3.1168e-04,-9.8,0.0004
-3.1152e-04,-9.8,0.0004
-3.1136e-04,-10,0.0004
-3.1120e-04,-9.8,0.0002
