Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.005
Label,,
TIME,CH1,CH2
6.30400e-05,10,0.0004
6.31200e-05,10.2,0.0006
6.32000e-05,10.2,0.0004
6.32800e-05,10,0.0006
6.33600e-05,10,0.0004
6.34400e-05,10,0.0004
6.35200e-05,10,0.0004
6.36000e-05,10,0.0006
6.36800e-05,10,0.0002
6.37600e-05,10,0.0002
6.38400e-05,10,0.0006
6.39200e-05,10,0
6.40000e-05,10.2,0.0004
6.40800e-05,10,0.0002
6.41600e-05,10,0
6.42400e-05,10,0.0008
6.43200e-05,10.2,0.0006
6.44000e-05,10.2,0.0004
6.44800e-05,10.2,0.0006
6.45600e-05,10.2,0.0004
6.46400e-05,10.2,0.0006
6.47200e-05,10.2,0.0002
6.48000e-05,10.2,0.0004
6.48800e-05,10.2,0.0002
6.49600e-05,10.2,0.0002
6.50400e-05,10.2,0.0006
6.51200e-05,10.2,0.0002
6.52000e-05,10.2,0.0006
6.52800e-05,10.2,0.0004
6.53600e-05,10.2,0.0006
6.54400e-05,10.2,0.0006
6.55200e-05,10.2,0.0004
6.56000e-05,10.2,0.0004
6.56800e-05,10.2,0.0008
6.57600e-05,10.2,0.0004
6.58400e-05,10.2,0.0004
6.59200e-05,10.2,0.0004
6.60000e-05,10.2,0.0002
6.60800e-05,10.2,0.0004
6.61600e-05,10.2,0.0004
6.62400e-05,10.2,0.0004
6.63200e-05,10.2,0.0004
6.64000e-05,10.2,0.0004
6.64800e-05,10,0.0004
6.65600e-05,10,0.0006
6.66400e-05,10.2,0.0004
6.67200e-05,10.2,0.0004
6.68000e-05,10.2,0.0004
6.68800e-05,10.2,0.0006
6.69600e-05,10.2,0.0002
6.70400e-05,10,0.0006
6.71200e-05,10.2,0.0002
6.72000e-05,10.2,0.0002
6.72800e-05,10,0.0004
6.73600e-05,10.2,0.0002
6.74400e-05,10.2,0.0004
6.75200e-05,10.2,0.0006
6.76000e-05,10.2,0.0002
6.76800e-05,10.2,0.0006
6.77600e-05,10.2,0.0004
6.78400e-05,10.2,0.0006
6.79200e-05,10.2,0.0006
6.80000e-05,10.2,0.0006
6.80800e-05,10.2,0.0004
6.81600e-05,10.4,0.0002
6.82400e-05,10.2,0.0004
6.83200e-05,10.2,0.0004
6.84000e-05,10.2,0.0002
6.84800e-05,10.2,0.0006
6.85600e-05,10.2,0.0004
6.86400e-05,10.2,0.0004
6.87200e-05,10.2,0.0006
6.88000e-05,10.2,0.0004
6.88800e-05,10.2,0.0006
6.89600e-05,10.2,0.0006
6.90400e-05,10.2,0.0004
6.91200e-05,10.2,0.0006
6.92000e-05,10.2,0.0002
6.92800e-05,10.2,0.0004
6.93600e-05,10.2,0.0002
6.94400e-05,10.2,0.0002
6.95200e-05,10.2,0.0004
6.96000e-05,10.2,0.0002
6.96800e-05,10.2,0.0008
6.97600e-05,10.2,0.0006
6.98400e-05,10,0.0004
6.99200e-05,10.2,0.0006
7.00000e-05,10.2,0.0004
7.00800e-05,10.2,0.0004
7.01600e-05,10.2,0.0004
7.02400e-05,10.2,0.0004
7.03200e-05,10.2,0.0002
7.04000e-05,10.2,0.0004
7.04800e-05,10.2,0.0002
7.05600e-05,10.2,0.0004
7.06400e-05,10.2,0.0004
7.07200e-05,10.2,0.0004
7.08000e-05,10.2,0.0002
