Record Length,2500,Points,-2.4999999E-6,560.000002384E-3,,Record Length,2500,Points,-2.4999999E-6,-79.999998212E-3,
Sample Interval,1.9999999E-9,s,-2.4980000E-6,399.99997616E-3,,Sample Interval,1.9999999E-9,s,-2.4980000E-6,0.0,
Trigger Point,1.2500001E3,Samples,-2.4960000E-6,479.999989271E-3,,Trigger Point,1.2500001E3,Samples,-2.4960000E-6,0.0,
,,,-2.4940000E-6,479.999989271E-3,,,,,-2.4940000E-6,0.0,
,,,-2.4920000E-6,479.999989271E-3,,,,,-2.4920000E-6,79.999998212E-3,
,,,-2.4900000E-6,560.000002384E-3,,,,,-2.4900000E-6,79.999998212E-3,
Source,CH1,,-2.4879998E-6,560.000002384E-3,,Source,CH2,,-2.4879998E-6,79.999998212E-3,
Vertical Units,Volts,,-2.4859999E-6,479.999989271E-3,,Vertical Units,Volts,,-2.4859999E-6,159.99999642E-3,
Vertical Scale,2.0000000,,-2.4839999E-6,560.000002384E-3,,Vertical Scale,2.0000000,,-2.4839999E-6,79.999998212E-3,
Vertical Offset,0,,-2.4819999E-6,479.999989271E-3,,Vertical Offset,0,,-2.4819999E-6,79.999998212E-3,
Horizontal Units,s,,-2.4799999E-6,560.000002384E-3,,Horizontal Units,s,,-2.4799999E-6,79.999998212E-3,
Horizontal Scale,499.999985859E-9,,-2.4779999E-6,479.999989271E-3,,Horizontal Scale,499.999985859E-9,,-2.4779999E-6,159.99999642E-3,
Pt Fmt,Y,,-2.4760000E-6,639.999985695E-3,,Pt Fmt,Y,,-2.4760000E-6,79.999998212E-3,
Yzero,40.00000000E-3,,-2.4740000E-6,639.999985695E-3,,Yzero,-160.00000000E-3,,-2.4740000E-6,79.999998212E-3,
Probe Atten,1.000000,,-2.4720000E-6,639.999985695E-3,,Probe Atten,1.000000,,-2.4720000E-6,159.99999642E-3,
,,,-2.4700000E-6,560.000002384E-3,,,,,-2.4700000E-6,159.99999642E-3,
Note,TBS 1052B-EDU - 16:57:51   22/8/2023,,-2.4680000E-6,639.999985695E-3,,Note,TBS 1052B-EDU - 16:57:51   22/8/2023,,-2.4680000E-6,159.99999642E-3,
,,,-2.4659998E-6,639.999985695E-3,,,,,-2.4659998E-6,159.99999642E-3,
,,,-2.4639999E-6,719.999969006E-3,,,,,-2.4639999E-6,159.99999642E-3,
,,,-2.4619999E-6,719.999969006E-3,,,,,-2.4619999E-6,79.999998212E-3,
,,,-2.4599999E-6,639.999985695E-3,,,,,-2.4599999E-6,159.99999642E-3,
,,,-2.4579999E-6,639.999985695E-3,,,,,-2.4579999E-6,159.99999642E-3,
,,,-2.4559999E-6,719.999969006E-3,,,,,-2.4559999E-6,239.99999464E-3,
,,,-2.4540000E-6,639.999985695E-3,,,,,-2.4540000E-6,159.99999642E-3,
,,,-2.4520000E-6,719.999969006E-3,,,,,-2.4520000E-6,159.99999642E-3,
,,,-2.4500000E-6,719.999969006E-3,,,,,-2.4500000E-6,239.99999464E-3,
,,,-2.4480000E-6,719.999969006E-3,,,,,-2.4480000E-6,79.999998212E-3,
,,,-2.4459998E-6,719.999969006E-3,,,,,-2.4459998E-6,239.99999464E-3,
,,,-2.4439998E-6,719.999969006E-3,,,,,-2.4439998E-6,159.99999642E-3,
,,,-2.4419999E-6,799.999952316E-3,,,,,-2.4419999E-6,239.99999464E-3,
,,,-2.4399999E-6,799.999952316E-3,,,,,-2.4399999E-6,159.99999642E-3,
,,,-2.4379999E-6,719.999969006E-3,,,,,-2.4379999E-6,159.99999642E-3,
,,,-2.4359999E-6,719.999969006E-3,,,,,-2.4359999E-6,159.99999642E-3,
,,,-2.4340000E-6,719.999969006E-3,,,,,-2.4340000E-6,239.99999464E-3,
,,,-2.4320000E-6,719.999969006E-3,,,,,-2.4320000E-6,159.99999642E-3,
,,,-2.4300000E-6,719.999969006E-3,,,,,-2.4300000E-6,319.99999285E-3,
